"unlist.a.","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"algarrobo","mapuche","mapuche","mujer",496,"2009",5602
"algarrobo","mapuche","mapuche","hombre",359,"2009",5602
"algarrobo","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",5579,"2009",5602
"algarrobo","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",5757,"2009",5602
"alhué","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",2180,"2009",13502
"alhué","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",2120,"2009",13502
"alhué","aymara","aymara","hombre",18,"2009",13502
"alhué","mapuche","mapuche","hombre",48,"2009",13502
"alhué","mapuche","mapuche","mujer",27,"2009",13502
"alhué","aymara","aymara","mujer",6,"2009",13502
"alto bío bío","mapuche","mapuche","mujer",3722,"2009",8314
"alto bío bío","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",1227,"2009",8314
"alto bío bío","quechua","quechua","mujer",17,"2009",8314
"alto bío bío","mapuche","mapuche","hombre",3692,"2009",8314
"alto bío bío","quechua","quechua","hombre",7,"2009",8314
"alto bío bío","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",1374,"2009",8314
"alto del carmen","diaguita","diaguita","mujer",652,"2009",3302
"alto del carmen","aymara","aymara","hombre",8,"2009",3302
"alto del carmen","kawésqar","kawésqar","mujer",27,"2009",3302
"alto del carmen","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",1665,"2009",3302
"alto del carmen","diaguita","diaguita","hombre",494,"2009",3302
"alto del carmen","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",1725,"2009",3302
"alto del carmen","aymara","aymara","mujer",16,"2009",3302
"alto hospicio","quechua","quechua","hombre",318,"2009",1107
"alto hospicio","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",37164,"2009",1107
"alto hospicio","rapa nui ","rapa nui ","mujer",442,"2009",1107
"alto hospicio","aymara","aymara","hombre",4890,"2009",1107
"alto hospicio","atacameño","atacameño","hombre",46,"2009",1107
"alto hospicio","kawésqar","kawésqar","hombre",64,"2009",1107
"alto hospicio","aymara","aymara","mujer",6066,"2009",1107
"alto hospicio","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",33232,"2009",1107
"alto hospicio","mapuche","mapuche","hombre",1709,"2009",1107
"alto hospicio","mapuche","mapuche","mujer",1625,"2009",1107
"alto hospicio","quechua","quechua","mujer",395,"2009",1107
"alto hospicio","rapa nui ","rapa nui ","hombre",756,"2009",1107
"ancud","mapuche","mapuche","mujer",3403,"2009",10202
"ancud","mapuche","mapuche","hombre",2978,"2009",10202
"ancud","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",17250,"2009",10202
"ancud","quechua","quechua","mujer",47,"2009",10202
"ancud","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",17380,"2009",10202
"ancud","diaguita","diaguita","hombre",47,"2009",10202
"andacollo","diaguita","diaguita","hombre",40,"2009",4103
"andacollo","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",4174,"2009",4103
"andacollo","diaguita","diaguita","mujer",10,"2009",4103
"andacollo","mapuche","mapuche","hombre",10,"2009",4103
"andacollo","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",4459,"2009",4103
"angol","mapuche","mapuche","mujer",1841,"2009",9201
"angol","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",23413,"2009",9201
"angol","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",22517,"2009",9201
"angol","mapuche","mapuche","hombre",1496,"2009",9201
"antofagasta","atacameño","atacameño","hombre",403,"2009",2101
"antofagasta","quechua","quechua","hombre",408,"2009",2101
"antofagasta","mapuche","mapuche","mujer",1069,"2009",2101
"antofagasta","atacameño","atacameño","mujer",347,"2009",2101
"antofagasta","coya","coya","hombre",326,"2009",2101
"antofagasta","aymara","aymara","hombre",1407,"2009",2101
"antofagasta","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",160759,"2009",2101
"antofagasta","quechua","quechua","mujer",816,"2009",2101
"antofagasta","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",173856,"2009",2101
"antofagasta","mapuche","mapuche","hombre",872,"2009",2101
"antofagasta","aymara","aymara","mujer",696,"2009",2101
"antofagasta","coya","coya","mujer",326,"2009",2101
"antuco","kawésqar","kawésqar","hombre",4,"2009",8302
"antuco","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",1765,"2009",8302
"antuco","mapuche","mapuche","hombre",5,"2009",8302
"antuco","mapuche","mapuche","mujer",15,"2009",8302
"antuco","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",1801,"2009",8302
"arauco","atacameño","atacameño","mujer",26,"2009",8202
"arauco","mapuche","mapuche","mujer",1287,"2009",8202
"arauco","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",20513,"2009",8202
"arauco","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",17962,"2009",8202
"arauco","atacameño","atacameño","hombre",80,"2009",8202
"arauco","mapuche","mapuche","hombre",988,"2009",8202
"arica","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",71539,"2009",15101
"arica","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",60633,"2009",15101
"arica","aymara","aymara","mujer",19031,"2009",15101
"arica","quechua","quechua","hombre",352,"2009",15101
"arica","mapuche","mapuche","hombre",3559,"2009",15101
"arica","quechua","quechua","mujer",422,"2009",15101
"arica","mapuche","mapuche","mujer",1783,"2009",15101
"arica","aymara","aymara","hombre",17279,"2009",15101
"arica","diaguita","diaguita","mujer",179,"2009",15101
"arica","diaguita","diaguita","hombre",259,"2009",15101
"aysén","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",9731,"2009",11201
"aysén","mapuche","mapuche","mujer",2803,"2009",11201
"aysén","quechua","quechua","hombre",19,"2009",11201
"aysén","yagán","yagán","mujer",19,"2009",11201
"aysén","yagán","yagán","hombre",19,"2009",11201
"aysén","aymara","aymara","mujer",6,"2009",11201
"aysén","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",9861,"2009",11201
"aysén","aymara","aymara","hombre",6,"2009",11201
"aysén","mapuche","mapuche","hombre",2268,"2009",11201
"buin","mapuche","mapuche","hombre",337,"2009",13402
"buin","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",35726,"2009",13402
"buin","mapuche","mapuche","mujer",152,"2009",13402
"buin","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",35390,"2009",13402
"bulnes","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",11216,"2009",16102
"bulnes","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",9526,"2009",16102
"bulnes","aymara","aymara","hombre",28,"2009",16102
"bulnes","mapuche","mapuche","hombre",168,"2009",16102
"bulnes","mapuche","mapuche","mujer",253,"2009",16102
"cabildo","diaguita","diaguita","mujer",48,"2009",5402
"cabildo","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",9697,"2009",5402
"cabildo","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",10308,"2009",5402
"cabildo","diaguita","diaguita","hombre",76,"2009",5402
"cabildo","mapuche","mapuche","hombre",188,"2009",5402
"cabildo","mapuche","mapuche","mujer",400,"2009",5402
"cabo de hornos","yagán","yagán","hombre",58,"2009",12201
"cabo de hornos","mapuche","mapuche","mujer",38,"2009",12201
"cabo de hornos","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",886,"2009",12201
"cabo de hornos","mapuche","mapuche","hombre",98,"2009",12201
"cabo de hornos","yagán","yagán","mujer",62,"2009",12201
"cabo de hornos","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",856,"2009",12201
"cabrero","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",14713,"2009",8303
"cabrero","mapuche","mapuche","mujer",405,"2009",8303
"cabrero","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",14048,"2009",8303
"cabrero","mapuche","mapuche","hombre",440,"2009",8303
"calama","mapuche","mapuche","mujer",258,"2009",2201
"calama","atacameño","atacameño","hombre",8065,"2009",2201
"calama","aymara","aymara","hombre",974,"2009",2201
"calama","coya","coya","hombre",154,"2009",2201
"calama","diaguita","diaguita","hombre",241,"2009",2201
"calama","quechua","quechua","hombre",1238,"2009",2201
"calama","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",64008,"2009",2201
"calama","aymara","aymara","mujer",580,"2009",2201
"calama","coya","coya","mujer",462,"2009",2201
"calama","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",59329,"2009",2201
"calama","mapuche","mapuche","hombre",371,"2009",2201
"calama","atacameño","atacameño","mujer",6707,"2009",2201
"calama","quechua","quechua","mujer",1710,"2009",2201
"calbuco","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",12466,"2009",10102
"calbuco","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",11171,"2009",10102
"calbuco","mapuche","mapuche","hombre",5113,"2009",10102
"calbuco","mapuche","mapuche","mujer",5887,"2009",10102
"caldera","yagán","yagán","hombre",170,"2009",3102
"caldera","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",6347,"2009",3102
"caldera","atacameño","atacameño","mujer",39,"2009",3102
"caldera","mapuche","mapuche","hombre",85,"2009",3102
"caldera","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",7209,"2009",3102
"caldera","yagán","yagán","mujer",255,"2009",3102
"caldera","diaguita","diaguita","mujer",24,"2009",3102
"caldera","diaguita","diaguita","hombre",12,"2009",3102
"caldera","mapuche","mapuche","mujer",128,"2009",3102
"caldera","coya","coya","mujer",30,"2009",3102
"calera de tango","mapuche","mapuche","mujer",123,"2009",13403
"calera de tango","mapuche","mapuche","hombre",83,"2009",13403
"calera de tango","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",12782,"2009",13403
"calera de tango","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",12437,"2009",13403
"calle larga","quechua","quechua","hombre",14,"2009",5302
"calle larga","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",5003,"2009",5302
"calle larga","mapuche","mapuche","mujer",10,"2009",5302
"calle larga","aymara","aymara","mujer",44,"2009",5302
"calle larga","mapuche","mapuche","hombre",41,"2009",5302
"calle larga","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",5086,"2009",5302
"camarones","diaguita","diaguita","hombre",6,"2009",15102
"camarones","coya","coya","mujer",3,"2009",15102
"camarones","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",168,"2009",15102
"camarones","aymara","aymara","mujer",541,"2009",15102
"camarones","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",124,"2009",15102
"camarones","mapuche","mapuche","mujer",3,"2009",15102
"camarones","aymara","aymara","hombre",518,"2009",15102
"camiña","mapuche","mapuche","hombre",3,"2009",1402
"camiña","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",106,"2009",1402
"camiña","quechua","quechua","hombre",3,"2009",1402
"camiña","quechua","quechua","mujer",3,"2009",1402
"camiña","mapuche","mapuche","mujer",5,"2009",1402
"camiña","aymara","aymara","hombre",392,"2009",1402
"camiña","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",106,"2009",1402
"camiña","aymara","aymara","mujer",378,"2009",1402
"canela","mapuche","mapuche","hombre",30,"2009",4202
"canela","mapuche","mapuche","mujer",10,"2009",4202
"canela","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",3985,"2009",4202
"canela","diaguita","diaguita","hombre",7,"2009",4202
"canela","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",4066,"2009",4202
"cañete","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",13477,"2009",8203
"cañete","mapuche","mapuche","mujer",3702,"2009",8203
"cañete","mapuche","mapuche","hombre",3091,"2009",8203
"cañete","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",12949,"2009",8203
"carahue","mapuche","mapuche","hombre",4257,"2009",9102
"carahue","mapuche","mapuche","mujer",4270,"2009",9102
"carahue","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",8970,"2009",9102
"carahue","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",7037,"2009",9102
"cartagena","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",12377,"2009",5603
"cartagena","mapuche","mapuche","mujer",320,"2009",5603
"cartagena","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",10594,"2009",5603
"cartagena","mapuche","mapuche","hombre",171,"2009",5603
"casablanca","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",14347,"2009",5102
"casablanca","mapuche","mapuche","mujer",206,"2009",5102
"casablanca","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",13267,"2009",5102
"casablanca","mapuche","mapuche","hombre",396,"2009",5102
"castro","mapuche","mapuche","hombre",3223,"2009",10201
"castro","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",21575,"2009",10201
"castro","rapa nui ","rapa nui ","mujer",110,"2009",10201
"castro","mapuche","mapuche","mujer",3557,"2009",10201
"castro","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",21079,"2009",10201
"catemu","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",6583,"2009",5702
"catemu","mapuche","mapuche","hombre",162,"2009",5702
"catemu","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",6234,"2009",5702
"catemu","mapuche","mapuche","mujer",155,"2009",5702
"cauquenes","mapuche","mapuche","hombre",243,"2009",7201
"cauquenes","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",22352,"2009",7201
"cauquenes","mapuche","mapuche","mujer",288,"2009",7201
"cauquenes","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",18726,"2009",7201
"cerrillos","atacameño","atacameño","hombre",219,"2009",13102
"cerrillos","mapuche","mapuche","hombre",2074,"2009",13102
"cerrillos","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",30606,"2009",13102
"cerrillos","mapuche","mapuche","mujer",3047,"2009",13102
"cerrillos","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",30540,"2009",13102
"cerrillos","aymara","aymara","mujer",54,"2009",13102
"cerro navia","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",63239,"2009",13103
"cerro navia","mapuche","mapuche","mujer",4569,"2009",13103
"cerro navia","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",64842,"2009",13103
"cerro navia","mapuche","mapuche","hombre",3816,"2009",13103
"chanco","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",4590,"2009",7202
"chanco","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",4504,"2009",7202
"chanco","mapuche","mapuche","hombre",40,"2009",7202
"chanco","mapuche","mapuche","mujer",105,"2009",7202
"chañaral","coya","coya","hombre",119,"2009",3201
"chañaral","diaguita","diaguita","hombre",35,"2009",3201
