"a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"alto hospicio","aimara","aimara","mujer",7564,"2015",1107
"alto hospicio","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",45271,"2015",1107
"alto hospicio","diaguita","diaguita","mujer",428,"2015",1107
"alto hospicio","collas","collas","hombre",38,"2015",1107
"alto hospicio","mapuche","mapuche","hombre",1742,"2015",1107
"alto hospicio","sin dato","sin dato","hombre",54,"2015",1107
"alto hospicio","mapuche","mapuche","mujer",1626,"2015",1107
"alto hospicio","collas","collas","mujer",76,"2015",1107
"alto hospicio","aimara","aimara","hombre",5712,"2015",1107
"alto hospicio","sin dato","sin dato","mujer",54,"2015",1107
"alto hospicio","atacameño (likán-antai)","atacameño (likán-antai)","hombre",134,"2015",1107
"alto hospicio","atacameño (likán-antai)","atacameño (likán-antai)","mujer",222,"2015",1107
"alto hospicio","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",49143,"2015",1107
"alto hospicio","diaguita","diaguita","hombre",645,"2015",1107
"alto hospicio","quechua","quechua","mujer",979,"2015",1107
"alto hospicio","quechua","quechua","hombre",1132,"2015",1107
"ancud","aimara","aimara","hombre",56,"2015",10202
"ancud","aimara","aimara","mujer",56,"2015",10202
"ancud","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",14914,"2015",10202
"ancud","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",16039,"2015",10202
"ancud","kawashkar o alacalufes","kawashkar o alacalufes","mujer",29,"2015",10202
"ancud","mapuche","mapuche","hombre",4616,"2015",10202
"ancud","mapuche","mapuche","mujer",5473,"2015",10202
"angol","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",24867,"2015",9201
"angol","atacameño (likán-antai)","atacameño (likán-antai)","mujer",23,"2015",9201
"angol","mapuche","mapuche","hombre",1960,"2015",9201
"angol","aimara","aimara","mujer",99,"2015",9201
"angol","mapuche","mapuche","mujer",1544,"2015",9201
"angol","aimara","aimara","hombre",142,"2015",9201
"angol","collas","collas","hombre",172,"2015",9201
"angol","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",20663,"2015",9201
"antofagasta","quechua","quechua","mujer",156,"2015",2101
"antofagasta","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",188306,"2015",2101
"antofagasta","mapuche","mapuche","mujer",2788,"2015",2101
"antofagasta","mapuche","mapuche","hombre",5073,"2015",2101
"antofagasta","diaguita","diaguita","hombre",758,"2015",2101
"antofagasta","atacameño (likán-antai)","atacameño (likán-antai)","hombre",762,"2015",2101
"antofagasta","aimara","aimara","hombre",900,"2015",2101
"antofagasta","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",172590,"2015",2101
"antofagasta","aimara","aimara","mujer",1189,"2015",2101
"antofagasta","diaguita","diaguita","mujer",2893,"2015",2101
"antofagasta","collas","collas","hombre",102,"2015",2101
"antofagasta","atacameño (likán-antai)","atacameño (likán-antai)","mujer",861,"2015",2101
"arauco","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","mujer",22403,"2015",8202
"arauco","mapuche","mapuche","hombre",1812,"2015",8202
"arauco","mapuche","mapuche","mujer",1557,"2015",8202
"arauco","no pertenece a ningún pueblo indígena","no pertenece a ningún pueblo indígena","hombre",18804,"2015",8202
"arica","diaguita","diaguita","mujer",806,"2015",15101
"arica","aimara","aimara","mujer",16871,"2015",15101
"arica","quechua","quechua","mujer",894,"2015",15101
