"","a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"1","Algarrobo","Sí, firmó","No sabe/no responde","Hombre",99,"2017",5602
"2","Algarrobo","Sí, firmó","No pertenece a ningún pueblo indígena","Hombre",2161,"2017",5602
"3","Algarrobo","Sí, pero no ha firmado","No pertenece a ningún pueblo indígena","Mujer",97,"2017",5602
"4","Algarrobo","No tiene","No pertenece a ningún pueblo indígena","Hombre",239,"2017",5602
"5","Algarrobo","Sí, firmó","Mapuche","Mujer",88,"2017",5602
"6","Algarrobo","Sí, firmó","No pertenece a ningún pueblo indígena","Mujer",1299,"2017",5602
"7","Algarrobo","Sí, firmó","Mapuche","Hombre",99,"2017",5602
"8","Algarrobo","No tiene","No pertenece a ningún pueblo indígena","Mujer",240,"2017",5602
"9","Alhué","Sí, firmó","No pertenece a ningún pueblo indígena","Hombre",979,"2017",13502
"10","Alhué","No se acuerda o no sabe si firmó contrato","No pertenece a ningún pueblo indígena","Mujer",33,"2017",13502
"11","Alhué","No tiene","No pertenece a ningún pueblo indígena","Hombre",96,"2017",13502
"12","Alhué","No tiene","No pertenece a ningún pueblo indígena","Mujer",141,"2017",13502
"13","Alhué","Sí, firmó","Mapuche","Hombre",16,"2017",13502
"14","Alhué","Sí, firmó","No pertenece a ningún pueblo indígena","Mujer",383,"2017",13502
"15","Alto Biobío","No tiene","Mapuche","Mujer",12,"2017",8314
"16","Alto Biobío","No tiene","No pertenece a ningún pueblo indígena","Hombre",12,"2017",8314
"17","Alto Biobío","No se acuerda o no sabe si firmó contrato","Mapuche","Mujer",102,"2017",8314
"18","Alto Biobío","Sí, firmó","Mapuche","Mujer",462,"2017",8314
"19","Alto Biobío","No tiene","No pertenece a ningún pueblo indígena","Mujer",8,"2017",8314
"20","Alto Biobío","Sí, firmó","Mapuche","Hombre",280,"2017",8314
"21","Alto Biobío","Sí, firmó","No pertenece a ningún pueblo indígena","Mujer",356,"2017",8314
"22","Alto Biobío","Sí, firmó","No sabe/no responde","Mujer",12,"2017",8314
"23","Alto Biobío","No tiene","Mapuche","Hombre",12,"2017",8314
"24","Alto Biobío","Sí, firmó","No pertenece a ningún pueblo indígena","Hombre",380,"2017",8314
"25","Alto del Carmen","Sí, firmó","No pertenece a ningún pueblo indígena","Mujer",97,"2017",3302
"26","Alto del Carmen","No se acuerda o no sabe si firmó contrato","No pertenece a ningún pueblo indígena","Mujer",70,"2017",3302
"27","Alto del Carmen","Sí, firmó","Diaguita","Hombre",275,"2017",3302
"28","Alto del Carmen","Sí, firmó","No pertenece a ningún pueblo indígena","Hombre",244,"2017",3302
"29","Alto del Carmen","Sí, firmó","Diaguita","Mujer",229,"2017",3302
"30","Alto del Carmen","No tiene","Diaguita","Mujer",27,"2017",3302
"31","Alto del Carmen","No se acuerda o no sabe si firmó contrato","No pertenece a ningún pueblo indígena","Hombre",140,"2017",3302
"32","Alto Hospicio","Sí, firmó","Quechua","Mujer",215,"2017",1107
"33","Alto Hospicio","No tiene","Mapuche","Hombre",37,"2017",1107
"34","Alto Hospicio","No sabe/no responde","No pertenece a ningún pueblo indígena","Mujer",38,"2017",1107
"35","Alto Hospicio","Sí, firmó","No pertenece a ningún pueblo indígena","Mujer",9406,"2017",1107
"36","Alto Hospicio","No se acuerda o no sabe si firmó contrato","Mapuche","Hombre",55,"2017",1107
"37","Alto Hospicio","Sí, firmó","Mapuche","Hombre",564,"2017",1107
"38","Alto Hospicio","Sí, firmó","No pertenece a ningún pueblo indígena","Hombre",14584,"2017",1107
"39","Alto Hospicio","Sí, pero no ha firmado","No pertenece a ningún pueblo indígena","Hombre",206,"2017",1107
"40","Alto Hospicio","Sí, firmó","Aimara","Hombre",1040,"2017",1107
"41","Alto Hospicio","No se acuerda o no sabe si firmó contrato","No pertenece a ningún pueblo indígena","Mujer",60,"2017",1107
"42","Alto Hospicio","No sabe/no responde","Aimara","Mujer",230,"2017",1107
"43","Alto Hospicio","No tiene","No pertenece a ningún pueblo indígena","Hombre",2003,"2017",1107
"44","Alto Hospicio","Sí, firmó","Diaguita","Mujer",177,"2017",1107
"45","Alto Hospicio","Sí, firmó","No sabe/no responde","Mujer",84,"2017",1107
"46","Alto Hospicio","Sí, firmó","Atacameño (Likan-Antai)","Mujer",74,"2017",1107
"47","Alto Hospicio","Sí, firmó","Mapuche","Mujer",379,"2017",1107
"48","Alto Hospicio","No tiene","Aimara","Mujer",67,"2017",1107
"49","Alto Hospicio","No tiene","Aimara","Hombre",181,"2017",1107
"50","Alto Hospicio","No tiene","Mapuche","Mujer",83,"2017",1107
"51","Alto Hospicio","Sí, firmó","Aimara","Mujer",1040,"2017",1107
"52","Alto Hospicio","No se acuerda o no sabe si firmó contrato","No pertenece a ningún pueblo indígena","Hombre",349,"2017",1107
"53","Alto Hospicio","Sí, firmó","Diaguita","Hombre",356,"2017",1107
"54","Alto Hospicio","No sabe/no responde","No pertenece a ningún pueblo indígena","Hombre",85,"2017",1107
"55","Alto Hospicio","Sí, firmó","Quechua","Hombre",312,"2017",1107
"56","Alto Hospicio","Sí, firmó","Atacameño (Likan-Antai)","Hombre",40,"2017",1107
"57","Alto Hospicio","Sí, pero no ha firmado","No pertenece a ningún pueblo indígena","Mujer",115,"2017",1107
"58","Alto Hospicio","No tiene","No pertenece a ningún pueblo indígena","Mujer",1509,"2017",1107
"59","Alto Hospicio","Sí, pero no ha firmado","Aimara","Mujer",33,"2017",1107
"60","Ancud","No tiene","Mapuche","Hombre",280,"2017",10202
"61","Ancud","Sí, firmó","No pertenece a ningún pueblo indígena","Hombre",2864,"2017",10202
"62","Ancud","No tiene","No pertenece a ningún pueblo indígena","Mujer",990,"2017",10202
"63","Ancud","Sí, firmó","Mapuche","Mujer",1174,"2017",10202
"64","Ancud","Sí, firmó","No pertenece a ningún pueblo indígena","Mujer",2991,"2017",10202
"65","Ancud","Sí, pero no ha firmado","No pertenece a ningún pueblo indígena","Hombre",73,"2017",10202
"66","Ancud","No tiene","No pertenece a ningún pueblo indígena","Hombre",514,"2017",10202
"67","Ancud","No se acuerda o no sabe si firmó contrato","No pertenece a ningún pueblo indígena","Mujer",118,"2017",10202
"68","Ancud","Sí, firmó","Mapuche","Hombre",866,"2017",10202
"69","Ancud","No se acuerda o no sabe si firmó contrato","Mapuche","Mujer",103,"2017",10202
"70","Ancud","No sabe/no responde","No pertenece a ningún pueblo indígena","Hombre",103,"2017",10202
"71","Andacollo","Sí, firmó","Aimara","Hombre",26,"2017",4103
"72","Andacollo","Sí, firmó","No pertenece a ningún pueblo indígena","Mujer",548,"2017",4103
"73","Andacollo","No tiene","No pertenece a ningún pueblo indígena","Hombre",27,"2017",4103
"74","Andacollo","Sí, firmó","Mapuche","Hombre",7,"2017",4103
"75","Andacollo","Sí, firmó","No pertenece a ningún pueblo indígena","Hombre",1155,"2017",4103
"76","Andacollo","No tiene","No pertenece a ningún pueblo indígena","Mujer",32,"2017",4103
"77","Andacollo","No sabe/no responde","No pertenece a ningún pueblo indígena","Hombre",13,"2017",4103
"78","Andacollo","No sabe/no responde","No pertenece a ningún pueblo indígena","Mujer",13,"2017",4103
"79","Angol","No se acuerda o no sabe si firmó contrato","No pertenece a ningún pueblo indígena","Mujer",138,"2017",9201
"80","Angol","No tiene","No pertenece a ningún pueblo indígena","Mujer",491,"2017",9201
"81","Angol","Sí, firmó","No pertenece a ningún pueblo indígena","Hombre",6916,"2017",9201
"82","Angol","Sí, pero no ha firmado","No pertenece a ningún pueblo indígena","Hombre",272,"2017",9201
"83","Angol","No sabe/no responde","No pertenece a ningún pueblo indígena","Mujer",67,"2017",9201
"84","Angol","Sí, firmó","Quechua","Hombre",28,"2017",9201
"85","Angol","No se acuerda o no sabe si firmó contrato","No pertenece a ningún pueblo indígena","Hombre",161,"2017",9201
"86","Angol","Sí, firmó","Mapuche","Hombre",325,"2017",9201
"87","Angol","Sí, firmó","Mapuche","Mujer",406,"2017",9201
"88","Angol","No sabe/no responde","No pertenece a ningún pueblo indígena","Hombre",67,"2017",9201
"89","Angol","Sí, pero no ha firmado","Mapuche","Hombre",78,"2017",9201
"90","Angol","Sí, pero no ha firmado","No pertenece a ningún pueblo indígena","Mujer",292,"2017",9201
"91","Angol","No tiene","Mapuche","Hombre",73,"2017",9201
"92","Angol","No tiene","No pertenece a ningún pueblo indígena","Hombre",447,"2017",9201
"93","Angol","Sí, firmó","No pertenece a ningún pueblo indígena","Mujer",4344,"2017",9201
"94","Antofagasta","No se acuerda o no sabe si firmó contrato","No pertenece a ningún pueblo indígena","Hombre",1513,"2017",2101
"95","Antofagasta","No tiene","Quechua","Hombre",61,"2017",2101
"96","Antofagasta","Sí, firmó","Diaguita","Hombre",722,"2017",2101
"97","Antofagasta","No tiene","Diaguita","Hombre",43,"2017",2101
"98","Antofagasta","No sabe/no responde","Atacameño (Likan-Antai)","Hombre",66,"2017",2101
"99","Antofagasta","No tiene","Mapuche","Hombre",181,"2017",2101
"100","Antofagasta","Sí, firmó","Aimara","Hombre",210,"2017",2101
"101","Antofagasta","No se acuerda o no sabe si firmó contrato","No pertenece a ningún pueblo indígena","Mujer",995,"2017",2101
"102","Antofagasta","Sí, firmó","Mapuche","Hombre",1147,"2017",2101
"103","Antofagasta","No tiene","No sabe/no responde","Mujer",112,"2017",2101
"104","Antofagasta","No tiene","No pertenece a ningún pueblo indígena","Mujer",4724,"2017",2101
"105","Antofagasta","Sí, firmó","No pertenece a ningún pueblo indígena","Mujer",41284,"2017",2101
"106","Antofagasta","Sí, firmó","No sabe/no responde","Hombre",347,"2017",2101
"107","Antofagasta","No tiene","Mapuche","Mujer",140,"2017",2101
"108","Antofagasta","Sí, pero no ha firmado","No pertenece a ningún pueblo indígena","Hombre",1068,"2017",2101
"109","Antofagasta","No sabe/no responde","No pertenece a ningún pueblo indígena","Mujer",639,"2017",2101
"110","Antofagasta","Sí, firmó","Diaguita","Mujer",373,"2017",2101
"111","Antofagasta","Sí, firmó","Quechua","Mujer",107,"2017",2101
"112","Antofagasta","No tiene","No pertenece a ningún pueblo indígena","Hombre",4004,"2017",2101
"113","Antofagasta","Sí, firmó","No pertenece a ningún pueblo indígena","Hombre",67039,"2017",2101
"114","Antofagasta","Sí, firmó","Atacameño (Likan-Antai)","Hombre",537,"2017",2101
"115","Antofagasta","Sí, firmó","Aimara","Mujer",361,"2017",2101
"116","Antofagasta","Sí, pero no ha firmado","Atacameño (Likan-Antai)","Hombre",73,"2017",2101
"117","Antofagasta","No tiene","Aimara","Mujer",59,"2017",2101
"118","Antofagasta","No tiene","No sabe/no responde","Hombre",112,"2017",2101
"119","Antofagasta","No se acuerda o no sabe si firmó contrato","Mapuche","Hombre",43,"2017",2101
"120","Antofagasta","Sí, firmó","Atacameño (Likan-Antai)","Mujer",140,"2017",2101
"121","Antofagasta","Sí, firmó","Mapuche","Mujer",714,"2017",2101
"122","Antofagasta","No sabe/no responde","No pertenece a ningún pueblo indígena","Hombre",579,"2017",2101
"123","Antofagasta","Sí, pero no ha firmado","No pertenece a ningún pueblo indígena","Mujer",774,"2017",2101
"124","Antuco","Sí, firmó","No pertenece a ningún pueblo indígena","Mujer",186,"2017",8302
"125","Antuco","Sí, firmó","No pertenece a ningún pueblo indígena","Hombre",324,"2017",8302
"126","Antuco","No tiene","No pertenece a ningún pueblo indígena","Mujer",28,"2017",8302
"127","Arauco","Sí, firmó","Mapuche","Hombre",751,"2017",8202
"128","Arauco","Sí, pero no ha firmado","No pertenece a ningún pueblo indígena","Mujer",33,"2017",8202
"129","Arauco","No tiene","No pertenece a ningún pueblo indígena","Mujer",209,"2017",8202
"130","Arauco","Sí, firmó","Mapuche","Mujer",450,"2017",8202
"131","Arauco","No tiene","No pertenece a ningún pueblo indígena","Hombre",537,"2017",8202
"132","Arauco","Sí, firmó","No pertenece a ningún pueblo indígena","Hombre",5274,"2017",8202
"133","Arauco","No sabe/no responde","No pertenece a ningún pueblo indígena","Mujer",35,"2017",8202
"134","Arauco","No tiene","Mapuche","Mujer",78,"2017",8202
"135","Arauco","Sí, firmó","No pertenece a ningún pueblo indígena","Mujer",5079,"2017",8202
"136","Arauco","No sabe/no responde","No pertenece a ningún pueblo indígena","Hombre",70,"2017",8202
"137","Arauco","No tiene","Mapuche","Hombre",164,"2017",8202
"138","Arica","No sabe/no responde","Atacameño (Likan-Antai)","Hombre",24,"2017",15101
"139","Arica","Sí, firmó","Aimara","Mujer",2614,"2017",15101
"140","Arica","Sí, firmó","Mapuche","Hombre",470,"2017",15101
"141","Arica","Sí, pero no ha firmado","Aimara","Mujer",55,"2017",15101
"142","Arica","No se acuerda o no sabe si firmó contrato","Diaguita","Hombre",46,"2017",15101
"143","Arica","No sabe/no responde","Mapuche","Mujer",16,"2017",15101
"144","Arica","Sí, firmó","No pertenece a ningún pueblo indígena","Mujer",11129,"2017",15101
"145","Arica","No se acuerda o no sabe si firmó contrato","No pertenece a ningún pueblo indígena","Mujer",161,"2017",15101
"146","Arica","No tiene","Mapuche","Hombre",53,"2017",15101
"147","Arica","No se acuerda o no sabe si firmó contrato","No pertenece a ningún pueblo indígena","Hombre",570,"2017",15101
"148","Arica","Sí, pero no ha firmado","Aimara","Hombre",126,"2017",15101
"149","Arica","No sabe/no responde","Aimara","Mujer",20,"2017",15101
"150","Arica","Sí, firmó","Mapuche","Mujer",224,"2017",15101
"151","Arica","Sí, pero no ha firmado","No pertenece a ningún pueblo indígena","Mujer",126,"2017",15101
"152","Arica","No tiene","Quechua","Mujer",29,"2017",15101
"153","Arica","Sí, pero no ha firmado","No pertenece a ningún pueblo indígena","Hombre",395,"2017",15101
"154","Arica","No tiene","Aimara","Hombre",626,"2017",15101
"155","Arica","No tiene","Collas","Mujer",10,"2017",15101
"156","Arica","Sí, pero no ha firmado","Mapuche","Hombre",16,"2017",15101
"157","Arica","No tiene","Mapuche","Mujer",26,"2017",15101
"158","Arica","No tiene","Diaguita","Hombre",41,"2017",15101
"159","Arica","Sí, firmó","Aimara","Hombre",3315,"2017",15101
"160","Arica","No sabe/no responde","No pertenece a ningún pueblo indígena","Hombre",229,"2017",15101
"161","Arica","No tiene","Quechua","Hombre",23,"2017",15101
"162","Arica","Sí, firmó","No sabe/no responde","Mujer",36,"2017",15101
"163","Arica","No sabe/no responde","No pertenece a ningún pueblo indígena","Mujer",190,"2017",15101
"164","Arica","Sí, firmó","Quechua","Mujer",41,"2017",15101
"165","Arica","No se acuerda o no sabe si firmó contrato","Aimara","Hombre",40,"2017",15101
"166","Arica","No tiene","Diaguita","Mujer",95,"2017",15101
"167","Arica","Sí, firmó","Atacameño (Likan-Antai)","Hombre",37,"2017",15101
"168","Arica","No tiene","Aimara","Mujer",745,"2017",15101
"169","Arica","No tiene","No pertenece a ningún pueblo indígena","Hombre",1331,"2017",15101
"170","Arica","No tiene","No pertenece a ningún pueblo indígena","Mujer",1612,"2017",15101
"171","Arica","Sí, firmó","Diaguita","Hombre",33,"2017",15101
"172","Arica","Sí, firmó","No pertenece a ningún pueblo indígena","Hombre",16390,"2017",15101
"173","Arica","No tiene","Atacameño (Likan-Antai)","Mujer",26,"2017",15101
"174","Arica","Sí, firmó","Quechua","Hombre",54,"2017",15101
"175","Arica","Sí, firmó","Diaguita","Mujer",31,"2017",15101
"176","Arica","No se acuerda o no sabe si firmó contrato","Aimara","Mujer",17,"2017",15101
"177","Aysén","Sí, firmó","Rapa-Nui o Pascuenses","Mujer",30,"2017",11201
"178","Aysén","Sí, firmó","Rapa-Nui o Pascuenses","Hombre",30,"2017",11201
"179","Aysén","No sabe/no responde","No pertenece a ningún pueblo indígena","Hombre",12,"2017",11201
"180","Aysén","No tiene","Mapuche","Mujer",237,"2017",11201
"181","Aysén","No se acuerda o no sabe si firmó contrato","Mapuche","Hombre",40,"2017",11201
"182","Aysén","Sí, pero no ha firmado","No pertenece a ningún pueblo indígena","Hombre",44,"2017",11201
"183","Aysén","No sabe/no responde","No pertenece a ningún pueblo indígena","Mujer",23,"2017",11201
"184","Aysén","No tiene","No pertenece a ningún pueblo indígena","Hombre",221,"2017",11201
"185","Aysén","Sí, firmó","Mapuche","Mujer",937,"2017",11201
"186","Aysén","Sí, firmó","Collas","Hombre",19,"2017",11201
"187","Aysén","Sí, pero no ha firmado","Mapuche","Hombre",43,"2017",11201
"188","Aysén","Sí, pero no ha firmado","No pertenece a ningún pueblo indígena","Mujer",55,"2017",11201
"189","Aysén","No se acuerda o no sabe si firmó contrato","No pertenece a ningún pueblo indígena","Hombre",97,"2017",11201
"190","Aysén","Sí, firmó","No pertenece a ningún pueblo indígena","Mujer",1986,"2017",11201
"191","Aysén","No tiene","Mapuche","Hombre",50,"2017",11201
"192","Aysén","Sí, firmó","Mapuche","Hombre",1327,"2017",11201
"193","Aysén","No sabe/no responde","Mapuche","Mujer",18,"2017",11201
"194","Aysén","Sí, firmó","No pertenece a ningún pueblo indígena","Hombre",3045,"2017",11201
"195","Aysén","No se acuerda o no sabe si firmó contrato","No pertenece a ningún pueblo indígena","Mujer",51,"2017",11201
"196","Aysén","No se acuerda o no sabe si firmó contrato","Mapuche","Mujer",68,"2017",11201
"197","Aysén","No tiene","No pertenece a ningún pueblo indígena","Mujer",261,"2017",11201
"198","Buin","No se acuerda o no sabe si firmó contrato","No pertenece a ningún pueblo indígena","Mujer",438,"2017",13402
"199","Buin","Sí, firmó","No pertenece a ningún pueblo indígena","Mujer",8261,"2017",13402
"200","Buin","Sí, firmó","Atacameño (Likan-Antai)","Hombre",193,"2017",13402
"201","Buin","Sí, pero no ha firmado","No pertenece a ningún pueblo indígena","Mujer",200,"2017",13402
"202","Buin","Sí, firmó","No pertenece a ningún pueblo indígena","Hombre",13500,"2017",13402
"203","Buin","Sí, firmó","Mapuche","Mujer",870,"2017",13402
"204","Buin","Sí, firmó","Mapuche","Hombre",1309,"2017",13402
"205","Buin","No tiene","No pertenece a ningún pueblo indígena","Hombre",1232,"2017",13402
"206","Buin","No tiene","No pertenece a ningún pueblo indígena","Mujer",1124,"2017",13402
"207","Bulnes","Sí, firmó","No pertenece a ningún pueblo indígena","Mujer",2083,"2017",16102
"208","Bulnes","Sí, pero no ha firmado","No pertenece a ningún pueblo indígena","Mujer",171,"2017",16102
"209","Bulnes","Sí, firmó","Atacameño (Likan-Antai)","Hombre",60,"2017",16102
"210","Bulnes","No tiene","No pertenece a ningún pueblo indígena","Hombre",1130,"2017",16102
"211","Bulnes","Sí, firmó","Mapuche","Hombre",141,"2017",16102
"212","Bulnes","No tiene","Mapuche","Hombre",121,"2017",16102
"213","Bulnes","Sí, firmó","No pertenece a ningún pueblo indígena","Hombre",2451,"2017",16102
"214","Bulnes","No tiene","No pertenece a ningún pueblo indígena","Mujer",624,"2017",16102
"215","Bulnes","Sí, firmó","Atacameño (Likan-Antai)","Mujer",60,"2017",16102
"216","Cabildo","Sí, pero no ha firmado","No pertenece a ningún pueblo indígena","Hombre",129,"2017",5402
"217","Cabildo","No tiene","No pertenece a ningún pueblo indígena","Hombre",637,"2017",5402
"218","Cabildo","Sí, firmó","No pertenece a ningún pueblo indígena","Mujer",1714,"2017",5402
"219","Cabildo","No tiene","No pertenece a ningún pueblo indígena","Mujer",298,"2017",5402
"220","Cabildo","Sí, firmó","No pertenece a ningún pueblo indígena","Hombre",3152,"2017",5402
"221","Cabrero","Sí, pero no ha firmado","No pertenece a ningún pueblo indígena","Mujer",115,"2017",8303
"222","Cabrero","Sí, firmó","Mapuche","Hombre",79,"2017",8303
"223","Cabrero","Sí, firmó","No pertenece a ningún pueblo indígena","Hombre",5475,"2017",8303
"224","Cabrero","No tiene","No pertenece a ningún pueblo indígena","Hombre",730,"2017",8303
"225","Cabrero","No tiene","No pertenece a ningún pueblo indígena","Mujer",480,"2017",8303
"226","Cabrero","Sí, firmó","No pertenece a ningún pueblo indígena","Mujer",2724,"2017",8303
"227","Cabrero","Sí, pero no ha firmado","No pertenece a ningún pueblo indígena","Hombre",115,"2017",8303
"228","Calama","No se acuerda o no sabe si firmó contrato","Atacameño (Likan-Antai)","Hombre",69,"2017",2201
"229","Calama","No sabe/no responde","Quechua","Hombre",77,"2017",2201
"230","Calama","Sí, firmó","Quechua","Mujer",61,"2017",2201
"231","Calama","Sí, firmó","No sabe/no responde","Hombre",168,"2017",2201
"232","Calama","No se acuerda o no sabe si firmó contrato","No pertenece a ningún pueblo indígena","Mujer",69,"2017",2201
"233","Calama","No sabe/no responde","Atacameño (Likan-Antai)","Mujer",114,"2017",2201
"234","Calama","Sí, firmó","Diaguita","Hombre",547,"2017",2201
"235","Calama","No tiene","No pertenece a ningún pueblo indígena","Hombre",684,"2017",2201
"236","Calama","No sabe/no responde","Atacameño (Likan-Antai)","Hombre",106,"2017",2201
"237","Calama","Sí, firmó","Aimara","Mujer",248,"2017",2201
"238","Calama","Sí, firmó","No pertenece a ningún pueblo indígena","Hombre",24622,"2017",2201
"239","Calama","Sí, firmó","No sabe/no responde","Mujer",62,"2017",2201
"240","Calama","No se acuerda o no sabe si firmó contrato","No pertenece a ningún pueblo indígena","Hombre",136,"2017",2201
"241","Calama","Sí, firmó","Aimara","Hombre",578,"2017",2201
"242","Calama","Sí, firmó","Mapuche","Hombre",301,"2017",2201
"243","Calama","No tiene","No pertenece a ningún pueblo indígena","Mujer",2211,"2017",2201
"244","Calama","Sí, firmó","Quechua","Hombre",303,"2017",2201
"245","Calama","Sí, firmó","Atacameño (Likan-Antai)","Hombre",845,"2017",2201
"246","Calama","No sabe/no responde","No pertenece a ningún pueblo indígena","Hombre",563,"2017",2201
"247","Calama","Sí, pero no ha firmado","Aimara","Mujer",11,"2017",2201
"248","Calama","Sí, firmó","No pertenece a ningún pueblo indígena","Mujer",15986,"2017",2201
"249","Calama","No tiene","Diaguita","Mujer",61,"2017",2201
"250","Calama","Sí, pero no ha firmado","Atacameño (Likan-Antai)","Hombre",125,"2017",2201
"251","Calama","Sí, firmó","Atacameño (Likan-Antai)","Mujer",738,"2017",2201
"252","Calama","No se acuerda o no sabe si firmó contrato","Atacameño (Likan-Antai)","Mujer",69,"2017",2201
"253","Calama","Sí, pero no ha firmado","No pertenece a ningún pueblo indígena","Mujer",224,"2017",2201
"254","Calama","No tiene","Atacameño (Likan-Antai)","Mujer",249,"2017",2201
"255","Calama","No sabe/no responde","No pertenece a ningún pueblo indígena","Mujer",329,"2017",2201
"256","Calama","No tiene","Atacameño (Likan-Antai)","Hombre",69,"2017",2201
"257","Calama","Sí, pero no ha firmado","No pertenece a ningún pueblo indígena","Hombre",192,"2017",2201
"258","Calama","Sí, firmó","Diaguita","Mujer",146,"2017",2201
"259","Calama","Sí, firmó","Mapuche","Mujer",220,"2017",2201
"260","Calbuco","Sí, firmó","No pertenece a ningún pueblo indígena","Mujer",2983,"2017",10102
"261","Calbuco","Sí, firmó","Mapuche","Hombre",567,"2017",10102
"262","Calbuco","Sí, firmó","No pertenece a ningún pueblo indígena","Hombre",3456,"2017",10102
"263","Calbuco","Sí, firmó","Mapuche","Mujer",480,"2017",10102
"264","Calbuco","Sí, firmó","Quechua","Hombre",121,"2017",10102
"265","Calbuco","No tiene","No pertenece a ningún pueblo indígena","Mujer",272,"2017",10102
"266","Calbuco","No tiene","No pertenece a ningún pueblo indígena","Hombre",1005,"2017",10102
"267","Calbuco","Sí, pero no ha firmado","No pertenece a ningún pueblo indígena","Hombre",63,"2017",10102
"268","Caldera","No tiene","Diaguita","Hombre",42,"2017",3102
"269","Caldera","No sabe/no responde","No pertenece a ningún pueblo indígena","Mujer",66,"2017",3102
"270","Caldera","Sí, firmó","No pertenece a ningún pueblo indígena","Mujer",1052,"2017",3102
"271","Caldera","Sí, firmó","Diaguita","Hombre",139,"2017",3102
"272","Caldera","Sí, firmó","No pertenece a ningún pueblo indígena","Hombre",1527,"2017",3102
"273","Caldera","No tiene","Diaguita","Mujer",26,"2017",3102
"274","Caldera","Sí, pero no ha firmado","No pertenece a ningún pueblo indígena","Hombre",42,"2017",3102
"275","Caldera","Sí, firmó","Diaguita","Mujer",82,"2017",3102
"276","Caldera","Sí, firmó","Collas","Mujer",92,"2017",3102
"277","Caldera","Sí, firmó","Collas","Hombre",21,"2017",3102
"278","Caldera","No tiene","No pertenece a ningún pueblo indígena","Mujer",211,"2017",3102
"279","Caldera","No se acuerda o no sabe si firmó contrato","No pertenece a ningún pueblo indígena","Mujer",55,"2017",3102
"280","Caldera","No tiene","No pertenece a ningún pueblo indígena","Hombre",215,"2017",3102
