"","a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"1","algarrobo","sí, firmó","mapuche","mujer",194,"2011",5602
"2","algarrobo","no tiene","no pertenece a ningún pueblo indígena","mujer",383,"2011",5602
"3","algarrobo","sí, firmó","no pertenece a ningún pueblo indígena","mujer",307,"2011",5602
"4","algarrobo","sí, firmó","mapuche","hombre",388,"2011",5602
"5","algarrobo","no se acuerda o no sabe si firmó contrato","mapuche","mujer",194,"2011",5602
"6","algarrobo","no tiene","no pertenece a ningún pueblo indígena","hombre",51,"2011",5602
"7","algarrobo","sí, firmó","no pertenece a ningún pueblo indígena","hombre",1549,"2011",5602
"8","alhué","sí, firmó","mapuche","mujer",27,"2011",13502
"9","alhué","sí, firmó","no pertenece a ningún pueblo indígena","hombre",751,"2011",13502
"10","alhué","no tiene","mapuche","mujer",22,"2011",13502
"11","alhué","no se acuerda o no sabe si firmó contrato","no pertenece a ningún pueblo indígena","mujer",18,"2011",13502
"12","alhué","no tiene","no pertenece a ningún pueblo indígena","mujer",368,"2011",13502
"13","alhué","no tiene","no pertenece a ningún pueblo indígena","hombre",237,"2011",13502
"14","alhué","sí, firmó","mapuche","hombre",27,"2011",13502
"15","alhué","sí, firmó","no pertenece a ningún pueblo indígena","mujer",356,"2011",13502
"16","alto biobío","sí, firmó","mapuche","hombre",1126,"2011",8314
"17","alto biobío","sí, pero no ha firmado","mapuche","hombre",154,"2011",8314
"18","alto biobío","no tiene","no pertenece a ningún pueblo indígena","mujer",107,"2011",8314
"19","alto biobío","sí, firmó","no pertenece a ningún pueblo indígena","hombre",405,"2011",8314
"20","alto biobío","no tiene","no pertenece a ningún pueblo indígena","hombre",18,"2011",8314
"21","alto biobío","no tiene","mapuche","mujer",140,"2011",8314
"22","alto biobío","sí, firmó","mapuche","mujer",294,"2011",8314
"23","alto biobío","sí, pero no ha firmado","mapuche","mujer",43,"2011",8314
"24","alto biobío","sí, firmó","no pertenece a ningún pueblo indígena","mujer",182,"2011",8314
"25","alto biobío","no se acuerda o no sabe si firmó contrato","mapuche","hombre",14,"2011",8314
"26","alto biobío","no tiene","mapuche","hombre",258,"2011",8314
"27","alto del carmen","sí, firmó","no pertenece a ningún pueblo indígena","hombre",538,"2011",3302
"28","alto del carmen","no tiene","no pertenece a ningún pueblo indígena","hombre",99,"2011",3302
"29","alto del carmen","sí, pero no ha firmado","diaguita","mujer",7,"2011",3302
"30","alto del carmen","no tiene","diaguita","hombre",20,"2011",3302
"31","alto del carmen","no tiene","diaguita","mujer",11,"2011",3302
"32","alto del carmen","sí, firmó","diaguita","hombre",162,"2011",3302
"33","alto del carmen","sí, pero no ha firmado","no pertenece a ningún pueblo indígena","hombre",22,"2011",3302
"34","alto del carmen","sí, firmó","diaguita","mujer",129,"2011",3302
"35","alto del carmen","sí, firmó","no pertenece a ningún pueblo indígena","mujer",287,"2011",3302
"36","alto del carmen","no tiene","no pertenece a ningún pueblo indígena","mujer",83,"2011",3302
"37","alto hospicio","no tiene","mapuche","mujer",42,"2011",1107
"38","alto hospicio","sí, firmó","coya","hombre",67,"2011",1107
"39","alto hospicio","sí, firmó","diaguita","mujer",26,"2011",1107
"40","alto hospicio","no tiene","aymara","hombre",276,"2011",1107
"41","alto hospicio","no tiene","no pertenece a ningún pueblo indígena","hombre",1344,"2011",1107
"42","alto hospicio","no tiene","no pertenece a ningún pueblo indígena","mujer",1257,"2011",1107
"43","alto hospicio","sí, pero no ha firmado","mapuche","mujer",21,"2011",1107
"44","alto hospicio","sí, pero no ha firmado","no pertenece a ningún pueblo indígena","mujer",73,"2011",1107
"45","alto hospicio","no tiene","mapuche","hombre",20,"2011",1107
"46","alto hospicio","no tiene","diaguita","mujer",46,"2011",1107
"47","alto hospicio","sí, firmó","aymara","hombre",893,"2011",1107
"48","alto hospicio","sí, firmó","atacameño (likán antai)","hombre",11,"2011",1107
"49","alto hospicio","sí, firmó","no pertenece a ningún pueblo indígena","hombre",12427,"2011",1107
"50","alto hospicio","sí, firmó","no pertenece a ningún pueblo indígena","mujer",6507,"2011",1107
"51","alto hospicio","no tiene","quechua","hombre",18,"2011",1107
"52","alto hospicio","no tiene","atacameño (likán antai)","hombre",14,"2011",1107
"53","alto hospicio","sí, firmó","diaguita","hombre",96,"2011",1107
"54","alto hospicio","no se acuerda o no sabe si firmó contrato","aymara","hombre",15,"2011",1107
"55","alto hospicio","sí, firmó","mapuche","mujer",487,"2011",1107
"56","alto hospicio","sí, pero no ha firmado","no pertenece a ningún pueblo indígena","hombre",92,"2011",1107
"57","alto hospicio","sí, firmó","quechua","mujer",41,"2011",1107
"58","alto hospicio","no tiene","aymara","mujer",198,"2011",1107
"59","alto hospicio","no se acuerda o no sabe si firmó contrato","no pertenece a ningún pueblo indígena","hombre",172,"2011",1107
"60","alto hospicio","no tiene","quechua","mujer",40,"2011",1107
"61","alto hospicio","sí, pero no ha firmado","aymara","hombre",12,"2011",1107
"62","alto hospicio","no se acuerda o no sabe si firmó contrato","no pertenece a ningún pueblo indígena","mujer",151,"2011",1107
"63","alto hospicio","sí, firmó","aymara","mujer",663,"2011",1107
"64","alto hospicio","no se acuerda o no sabe si firmó contrato","aymara","mujer",10,"2011",1107
"65","alto hospicio","sí, firmó","mapuche","hombre",344,"2011",1107
"66","alto hospicio","sí, firmó","rapa nui (pascuense)","hombre",15,"2011",1107
"67","alto hospicio","sí, firmó","atacameño (likán antai)","mujer",34,"2011",1107
"68","alto hospicio","sí, firmó","quechua","hombre",99,"2011",1107
"69","ancud","no tiene","mapuche","hombre",115,"2011",10202
"70","ancud","sí, pero no ha firmado","mapuche","mujer",32,"2011",10202
"71","ancud","sí, firmó","no pertenece a ningún pueblo indígena","mujer",3729,"2011",10202
"72","ancud","no se acuerda o no sabe si firmó contrato","no pertenece a ningún pueblo indígena","mujer",100,"2011",10202
"73","ancud","sí, firmó","no pertenece a ningún pueblo indígena","hombre",3230,"2011",10202
"74","ancud","no tiene","no pertenece a ningún pueblo indígena","hombre",678,"2011",10202
"75","ancud","sí, pero no ha firmado","no pertenece a ningún pueblo indígena","hombre",33,"2011",10202
"76","ancud","no se acuerda o no sabe si firmó contrato","no pertenece a ningún pueblo indígena","hombre",100,"2011",10202
"77","ancud","sí, firmó","mapuche","mujer",750,"2011",10202
"78","ancud","sí, firmó","mapuche","hombre",897,"2011",10202
