"","a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"1","alto hospicio","no se acuerda o no sabe si firmó contrato","aimara","mujer",40,"2015",1107
"2","alto hospicio","sí, firmó","mapuche","mujer",244,"2015",1107
"3","alto hospicio","sí, firmó","diaguita","mujer",161,"2015",1107
"4","alto hospicio","no se acuerda o no sabe si firmó contrato","no pertenece a ningún pueblo indígena","mujer",84,"2015",1107
"5","alto hospicio","no tiene","aimara","mujer",78,"2015",1107
"6","alto hospicio","no tiene","aimara","hombre",104,"2015",1107
"7","alto hospicio","sí, firmó","atacameño (likán-antai)","mujer",31,"2015",1107
"8","alto hospicio","no se acuerda o no sabe si firmó contrato","aimara","hombre",69,"2015",1107
"9","alto hospicio","sí, firmó","aimara","mujer",761,"2015",1107
"10","alto hospicio","sin dato","no pertenece a ningún pueblo indígena","hombre",44,"2015",1107
"11","alto hospicio","sí, firmó","diaguita","hombre",293,"2015",1107
"12","alto hospicio","sí, firmó","quechua","hombre",232,"2015",1107
"13","alto hospicio","no tiene","mapuche","mujer",75,"2015",1107
"14","alto hospicio","sí, pero no ha firmado","no pertenece a ningún pueblo indígena","mujer",180,"2015",1107
"15","alto hospicio","sí, firmó","aimara","hombre",1173,"2015",1107
"16","alto hospicio","no tiene","quechua","hombre",71,"2015",1107
"17","alto hospicio","sí, firmó","quechua","mujer",185,"2015",1107
"18","alto hospicio","no tiene","no pertenece a ningún pueblo indígena","hombre",780,"2015",1107
"19","alto hospicio","sí, firmó","no pertenece a ningún pueblo indígena","hombre",17043,"2015",1107
"20","alto hospicio","no tiene","no pertenece a ningún pueblo indígena","mujer",488,"2015",1107
"21","alto hospicio","sí, firmó","mapuche","hombre",596,"2015",1107
"22","alto hospicio","no se acuerda o no sabe si firmó contrato","quechua","hombre",69,"2015",1107
"23","alto hospicio","no tiene","quechua","mujer",270,"2015",1107
"24","alto hospicio","sí, firmó","no pertenece a ningún pueblo indígena","mujer",8071,"2015",1107
