"","a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"1","Algarrobo","Estudiante","No pertenece a ningún pueblo indígena","Mujer",476,"2017",5602
"2","Algarrobo","Está enfermo o tiene una discapacidad","No pertenece a ningún pueblo indígena","Mujer",239,"2017",5602
"3","Algarrobo","Quehaceres del hogar","Mapuche","Mujer",56,"2017",5602
"4","Algarrobo","Tiene otra fuente de ingreso (seguro de cesantía, mesadas, r","No pertenece a ningún pueblo indígena","Mujer",99,"2017",5602
"5","Algarrobo","Jubilado(a), pensionado(a) o montepiado(a)","No pertenece a ningún pueblo indígena","Hombre",1072,"2017",5602
"6","Algarrobo","Jubilado(a), pensionado(a) o montepiado(a)","Mapuche","Hombre",89,"2017",5602
"7","Algarrobo","Está esperando resultado de gestiones ya emprendidas","No pertenece a ningún pueblo indígena","Hombre",174,"2017",5602
"8","Algarrobo","No tiene con quien dejar a los niños","Mapuche","Mujer",88,"2017",5602
"9","Algarrobo","Está esperando resultado de gestiones ya emprendidas","No pertenece a ningún pueblo indígena","Mujer",41,"2017",5602
"10","Algarrobo","Estudiante","Mapuche","Hombre",88,"2017",5602
"11","Algarrobo","No tiene con quien dejar a los niños","No pertenece a ningún pueblo indígena","Mujer",198,"2017",5602
"12","Algarrobo","Quehaceres del hogar","No pertenece a ningún pueblo indígena","Hombre",99,"2017",5602
"13","Algarrobo","Busca cuando realmente lo necesita o tiene trabajo esporádic","No pertenece a ningún pueblo indígena","Mujer",99,"2017",5602
"14","Algarrobo","Está enfermo o tiene una discapacidad","Mapuche","Mujer",89,"2017",5602
"15","Algarrobo","Está enfermo o tiene una discapacidad","No pertenece a ningún pueblo indígena","Hombre",41,"2017",5602
"16","Algarrobo","No tiene con quien dejar a adultos mayores","No pertenece a ningún pueblo indígena","Mujer",41,"2017",5602
"17","Algarrobo","Jubilado(a), pensionado(a) o montepiado(a)","No pertenece a ningún pueblo indígena","Mujer",1800,"2017",5602
"18","Algarrobo","No tiene interés en trabajar","No pertenece a ningún pueblo indígena","Hombre",112,"2017",5602
"19","Algarrobo","No tiene interés en trabajar","No pertenece a ningún pueblo indígena","Mujer",89,"2017",5602
"20","Algarrobo","Quehaceres del hogar","No pertenece a ningún pueblo indígena","Mujer",888,"2017",5602
"21","Algarrobo","Jubilado(a), pensionado(a) o montepiado(a)","Mapuche","Mujer",94,"2017",5602
"22","Algarrobo","Estudiante","No pertenece a ningún pueblo indígena","Hombre",315,"2017",5602
