"unlist.a.","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"algarrobo","pobre no indigente","pobre no indigente","mujer",222,"2009",5602
"algarrobo","indigente","indigente","mujer",56,"2009",5602
"algarrobo","pobre no indigente","pobre no indigente","hombre",168,"2009",5602
"algarrobo","indigente","indigente","hombre",42,"2009",5602
"algarrobo","no pobre","no pobre","mujer",5797,"2009",5602
"algarrobo","no pobre","no pobre","hombre",5906,"2009",5602
"alhué","indigente","indigente","mujer",100,"2009",13502
"alhué","pobre no indigente","pobre no indigente","mujer",75,"2009",13502
"alhué","indigente","indigente","hombre",69,"2009",13502
"alhué","no pobre","no pobre","mujer",1978,"2009",13502
"alhué","pobre no indigente","pobre no indigente","hombre",72,"2009",13502
"alhué","no pobre","no pobre","hombre",2105,"2009",13502
"alto bío bío","indigente","indigente","hombre",1480,"2009",8314
"alto bío bío","no pobre","no pobre","hombre",2688,"2009",8314
"alto bío bío","pobre no indigente","pobre no indigente","hombre",905,"2009",8314
"alto bío bío","indigente","indigente","mujer",1590,"2009",8314
"alto bío bío","no pobre","no pobre","mujer",2423,"2009",8314
"alto bío bío","pobre no indigente","pobre no indigente","mujer",953,"2009",8314
"alto del carmen","no pobre","no pobre","hombre",2148,"2009",3302
"alto del carmen","pobre no indigente","pobre no indigente","hombre",25,"2009",3302
"alto del carmen","pobre no indigente","pobre no indigente","mujer",19,"2009",3302
"alto del carmen","no pobre","no pobre","mujer",2241,"2009",3302
"alto del carmen","indigente","indigente","hombre",54,"2009",3302
"alto del carmen","indigente","indigente","mujer",100,"2009",3302
"alto hospicio","pobre no indigente","pobre no indigente","mujer",5301,"2009",1107
"alto hospicio","no pobre","no pobre","hombre",37909,"2009",1107
"alto hospicio","indigente","indigente","hombre",1348,"2009",1107
"alto hospicio","no pobre","no pobre","mujer",34701,"2009",1107
"alto hospicio","pobre no indigente","pobre no indigente","hombre",5690,"2009",1107
"alto hospicio","indigente","indigente","mujer",1758,"2009",1107
"ancud","pobre no indigente","pobre no indigente","hombre",1319,"2009",10202
"ancud","pobre no indigente","pobre no indigente","mujer",1723,"2009",10202
