"a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"alto hospicio","no","atacameño (likán-antai)","hombre",31,"2015",1107
"alto hospicio","no","no pertenece a ningún pueblo indígena","mujer",30373,"2015",1107
"alto hospicio","no","quechua","hombre",608,"2015",1107
"alto hospicio","sí","aimara","hombre",230,"2015",1107
"alto hospicio","no","aimara","mujer",4007,"2015",1107
"alto hospicio","ns/nr","no pertenece a ningún pueblo indígena","hombre",90,"2015",1107
"alto hospicio","no","no pertenece a ningún pueblo indígena","hombre",26976,"2015",1107
"alto hospicio","sí","quechua","hombre",56,"2015",1107
"alto hospicio","no","diaguita","hombre",444,"2015",1107
"alto hospicio","no","sin dato","mujer",54,"2015",1107
"alto hospicio","no","diaguita","mujer",281,"2015",1107
"alto hospicio","no","collas","mujer",38,"2015",1107
"alto hospicio","sí","aimara","mujer",185,"2015",1107
"alto hospicio","no","mapuche","hombre",977,"2015",1107
"alto hospicio","sí","quechua","mujer",56,"2015",1107
"alto hospicio","no","mapuche","mujer",1000,"2015",1107
"alto hospicio","no","aimara","hombre",2295,"2015",1107
"alto hospicio","ns/nr","no pertenece a ningún pueblo indígena","mujer",79,"2015",1107
"alto hospicio","sí","no pertenece a ningún pueblo indígena","hombre",3966,"2015",1107
"alto hospicio","no","quechua","mujer",684,"2015",1107
"alto hospicio","sí","no pertenece a ningún pueblo indígena","mujer",2295,"2015",1107
"alto hospicio","no","atacameño (likán-antai)","mujer",130,"2015",1107
"alto hospicio","sí","mapuche","hombre",30,"2015",1107
"ancud","ns/nr","no pertenece a ningún pueblo indígena","hombre",453,"2015",10202
"ancud","sí","mapuche","hombre",126,"2015",10202
"ancud","ns/nr","mapuche","hombre",98,"2015",10202
"ancud","no","aimara","mujer",56,"2015",10202
"ancud","ns/nr","mapuche","mujer",151,"2015",10202
"ancud","sí","no pertenece a ningún pueblo indígena","hombre",997,"2015",10202
"ancud","no","kawashkar o alacalufes","mujer",29,"2015",10202
"ancud","no","no pertenece a ningún pueblo indígena","mujer",11171,"2015",10202
"ancud","sí","no pertenece a ningún pueblo indígena","mujer",1057,"2015",10202
"ancud","no","mapuche","hombre",2821,"2015",10202
"ancud","sí","mapuche","mujer",159,"2015",10202
"ancud","no","aimara","hombre",56,"2015",10202
"ancud","no","mapuche","mujer",3702,"2015",10202
"ancud","no","no pertenece a ningún pueblo indígena","hombre",9615,"2015",10202
"ancud","ns/nr","no pertenece a ningún pueblo indígena","mujer",380,"2015",10202
"angol","sí","no pertenece a ningún pueblo indígena","hombre",1305,"2015",9201
"angol","sí","no pertenece a ningún pueblo indígena","mujer",1168,"2015",9201
"angol","no","mapuche","hombre",867,"2015",9201
"angol","ns/nr","mapuche","hombre",61,"2015",9201
"angol","no","no pertenece a ningún pueblo indígena","mujer",17939,"2015",9201
"angol","ns/nr","no pertenece a ningún pueblo indígena","mujer",196,"2015",9201
"angol","ns/nr","no pertenece a ningún pueblo indígena","hombre",98,"2015",9201
"angol","no","no pertenece a ningún pueblo indígena","hombre",13660,"2015",9201
"angol","no","aimara","mujer",76,"2015",9201
"angol","sí","mapuche","hombre",26,"2015",9201
"angol","sí","mapuche","mujer",60,"2015",9201
"angol","no","aimara","hombre",88,"2015",9201
"angol","no","atacameño (likán-antai)","mujer",23,"2015",9201
"angol","no","mapuche","mujer",1009,"2015",9201
"antofagasta","no","atacameño (likán-antai)","hombre",484,"2015",2101
"antofagasta","sí","no pertenece a ningún pueblo indígena","hombre",14489,"2015",2101
"antofagasta","sí","aimara","hombre",96,"2015",2101
"antofagasta","no","no pertenece a ningún pueblo indígena","hombre",103580,"2015",2101
"antofagasta","sí","no pertenece a ningún pueblo indígena","mujer",8468,"2015",2101
"antofagasta","no","diaguita","hombre",374,"2015",2101
"antofagasta","no","diaguita","mujer",1213,"2015",2101
"antofagasta","no","quechua","mujer",54,"2015",2101
"antofagasta","no","aimara","mujer",853,"2015",2101
"antofagasta","ns/nr","mapuche","mujer",36,"2015",2101
"antofagasta","no","mapuche","hombre",3218,"2015",2101
"antofagasta","no","no pertenece a ningún pueblo indígena","mujer",129584,"2015",2101
"antofagasta","no","atacameño (likán-antai)","mujer",489,"2015",2101
"antofagasta","sí","mapuche","hombre",226,"2015",2101
"antofagasta","sí","mapuche","mujer",124,"2015",2101
"antofagasta","sí","atacameño (likán-antai)","mujer",182,"2015",2101
"antofagasta","no","aimara","hombre",384,"2015",2101
"antofagasta","ns/nr","mapuche","hombre",36,"2015",2101
"antofagasta","no","collas","hombre",102,"2015",2101
"antofagasta","ns/nr","no pertenece a ningún pueblo indígena","hombre",1564,"2015",2101
"antofagasta","ns/nr","no pertenece a ningún pueblo indígena","mujer",1940,"2015",2101
"antofagasta","no","mapuche","mujer",2287,"2015",2101
"arauco","no","mapuche","hombre",1228,"2015",8202
"arauco","ns/nr","no pertenece a ningún pueblo indígena","hombre",167,"2015",8202
"arauco","no","no pertenece a ningún pueblo indígena","hombre",13915,"2015",8202
"arauco","no","no pertenece a ningún pueblo indígena","mujer",17141,"2015",8202
"arauco","ns/nr","mapuche","mujer",57,"2015",8202
"arauco","sí","no pertenece a ningún pueblo indígena","hombre",843,"2015",8202
"arauco","sí","mapuche","mujer",146,"2015",8202
"arauco","no","mapuche","mujer",881,"2015",8202
"arauco","sí","no pertenece a ningún pueblo indígena","mujer",892,"2015",8202
"arica","sí","collas","mujer",172,"2015",15101
"arica","no","mapuche","mujer",628,"2015",15101
"arica","no","aimara","hombre",8669,"2015",15101
"arica","no","kawashkar o alacalufes","mujer",252,"2015",15101
"arica","no","collas","hombre",86,"2015",15101
"arica","sí","no pertenece a ningún pueblo indígena","hombre",5744,"2015",15101
