"a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"Algarrobo","No","Colombia","Mujer",188,"2017",5602
"Alhué","No","Haití","Mujer",25,"2017",13502
"Alhué","No","Perú","Mujer",32,"2017",13502
"Alhué","No","Colombia","Hombre",17,"2017",13502
"Alhué","No","Colombia","Mujer",17,"2017",13502
"Alhué","No","Haití","Hombre",75,"2017",13502
"Alto Hospicio","No","Ecuador","Mujer",207,"2017",1107
"Alto Hospicio","No","Bolivia","Hombre",1533,"2017",1107
"Alto Hospicio","No","Cuba","Hombre",265,"2017",1107
"Alto Hospicio","No","Argentina","Mujer",39,"2017",1107
"Alto Hospicio","Si","El Salvador","Hombre",29,"2017",1107
"Alto Hospicio","No","Colombia","Mujer",199,"2017",1107
"Alto Hospicio","No","Argentina","Hombre",25,"2017",1107
"Alto Hospicio","Si","Ecuador","Mujer",35,"2017",1107
"Alto Hospicio","No","Colombia","Hombre",383,"2017",1107
"Alto Hospicio","No","Paraguay","Mujer",31,"2017",1107
"Alto Hospicio","No sabe/No responde","Perú","Mujer",25,"2017",1107
"Alto Hospicio","No","Perú","Hombre",1632,"2017",1107
"Alto Hospicio","No","Perú","Mujer",2250,"2017",1107
"Alto Hospicio","Si","Paraguay","Mujer",29,"2017",1107
"Alto Hospicio","No","Venezuela","Mujer",265,"2017",1107
"Alto Hospicio","Si","Perú","Hombre",26,"2017",1107
"Alto Hospicio","No","Bolivia","Mujer",2734,"2017",1107
"Alto Hospicio","No","México","Mujer",132,"2017",1107
"Alto Hospicio","No","El Salvador","Mujer",29,"2017",1107
"Alto Hospicio","Si","Bolivia","Mujer",45,"2017",1107
"Alto Hospicio","No sabe/No responde","Bolivia","Hombre",124,"2017",1107
"Alto Hospicio","No","Ecuador","Hombre",35,"2017",1107
"Alto Hospicio","Si","Perú","Mujer",63,"2017",1107
"Alto Hospicio","No","Venezuela","Hombre",234,"2017",1107
"Alto Hospicio","No sabe/No responde","Bolivia","Mujer",124,"2017",1107
"Alto Hospicio","Si","Bolivia","Hombre",32,"2017",1107
"Alto Hospicio","No","Holanda","Mujer",36,"2017",1107
"Ancud","No","Estados Unidos","Hombre",73,"2017",10202
"Ancud","No","Ecuador","Mujer",168,"2017",10202
"Ancud","No","Ecuador","Hombre",84,"2017",10202
"Angol","No","Colombia","Mujer",144,"2017",9201
"Angol","Si","Rusia","Mujer",68,"2017",9201
"Antofagasta","No","Paraguay","Hombre",142,"2017",2101
"Antofagasta","No","Colombia","Mujer",3545,"2017",2101
"Antofagasta","No","Argentina","Mujer",197,"2017",2101
"Antofagasta","No","Ecuador","Mujer",142,"2017",2101
"Antofagasta","No","Perú","Hombre",1170,"2017",2101
"Antofagasta","No sabe/No responde","Perú","Mujer",238,"2017",2101
"Antofagasta","No sabe/No responde","Colombia","Hombre",71,"2017",2101
"Antofagasta","No","Bolivia","Mujer",1833,"2017",2101
"Antofagasta","No","España","Mujer",118,"2017",2101
"Antofagasta","No sabe/No responde","Colombia","Mujer",142,"2017",2101
"Antofagasta","No sabe/No responde","Perú","Hombre",135,"2017",2101
"Antofagasta","No sabe/No responde","India","Hombre",51,"2017",2101
"Antofagasta","No","Paraguay","Mujer",142,"2017",2101
"Antofagasta","No","China","Mujer",156,"2017",2101
"Antofagasta","Si","Colombia","Hombre",58,"2017",2101
"Antofagasta","Si","Perú","Hombre",138,"2017",2101
"Antofagasta","Si","Venezuela","Hombre",206,"2017",2101
"Antofagasta","No","China","Hombre",39,"2017",2101
"Antofagasta","No","México","Mujer",47,"2017",2101
"Antofagasta","No","Venezuela","Hombre",288,"2017",2101
"Antofagasta","No","Argentina","Hombre",170,"2017",2101
"Antofagasta","No","Colombia","Hombre",3281,"2017",2101
"Antofagasta","No","Perú","Mujer",1973,"2017",2101
"Antofagasta","Si","China","Mujer",51,"2017",2101
"Antofagasta","Si","Argentina","Mujer",58,"2017",2101
"Antofagasta","No sabe/No responde","Bolivia","Hombre",99,"2017",2101
"Antofagasta","No sabe/No responde","Israel","Hombre",60,"2017",2101
"Antofagasta","No sabe/No responde","Bolivia","Mujer",161,"2017",2101
"Antofagasta","Si","Uruguay","Hombre",78,"2017",2101
"Antofagasta","Si","Bolivia","Hombre",183,"2017",2101
"Antofagasta","No sabe/No responde","México","Mujer",73,"2017",2101
"Antofagasta","No","Bolivia","Hombre",1313,"2017",2101
"Antofagasta","No","Venezuela","Mujer",674,"2017",2101
"Antuco","No","Argentina","Mujer",22,"2017",8302
"Arica","Si","Perú","Mujer",94,"2017",15101
"Arica","No sabe/No responde","Perú","Hombre",63,"2017",15101
