"a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"Algarrobo","No es necesario porque lo(a) cuidan en la casa","No pertenece a ningún pueblo indígena","Mujer",297,"2017",5602
"Algarrobo","No existe establecimiento cercano","No pertenece a ningún pueblo indígena","Hombre",99,"2017",5602
"Algarrobo","No es necesario porque lo(a) cuidan en la casa","No pertenece a ningún pueblo indígena","Hombre",198,"2017",5602
"Algarrobo","No me parece necesario que asista a esta edad","Mapuche","Mujer",41,"2017",5602
"Algarrobo","No me parece necesario que asista a esta edad","No pertenece a ningún pueblo indígena","Hombre",41,"2017",5602
"Alhué","No lo aceptan","No pertenece a ningún pueblo indígena","Mujer",17,"2017",13502
"Alhué","No es necesario porque lo(a) cuidan en la casa","No pertenece a ningún pueblo indígena","Mujer",61,"2017",13502
"Alhué","No es necesario porque lo(a) cuidan en la casa","Mapuche","Hombre",16,"2017",13502
"Alhué","No es necesario porque lo(a) cuidan en la casa","No pertenece a ningún pueblo indígena","Hombre",40,"2017",13502
"Alto Biobío","No es necesario porque lo(a) cuidan en la casa","No pertenece a ningún pueblo indígena","Hombre",20,"2017",8314
"Alto Biobío","No es necesario porque lo(a) cuidan en la casa","Mapuche","Mujer",254,"2017",8314
"Alto Biobío","No es necesario porque lo(a) cuidan en la casa","No sabe/no responde","Mujer",12,"2017",8314
"Alto Biobío","No sabe/no responde","Mapuche","Mujer",50,"2017",8314
"Alto Biobío","No es necesario porque lo(a) cuidan en la casa","No pertenece a ningún pueblo indígena","Mujer",102,"2017",8314
"Alto del Carmen","No es necesario porque lo(a) cuidan en la casa","Diaguita","Mujer",31,"2017",3302
"Alto del Carmen","Se enfermaría mucho","No pertenece a ningún pueblo indígena","Hombre",27,"2017",3302
"Alto del Carmen","No es necesario porque lo(a) cuidan en la casa","Diaguita","Hombre",31,"2017",3302
"Alto Hospicio","No es necesario porque lo(a) cuidan en la casa","Aimara","Mujer",248,"2017",1107
"Alto Hospicio","Otra razón. Especifique","No pertenece a ningún pueblo indígena","Mujer",97,"2017",1107
"Alto Hospicio","No es necesario porque lo(a) cuidan en la casa","Kawashkar o Alacalufes","Mujer",44,"2017",1107
"Alto Hospicio","Desconfío del cuidado que recibiría","Aimara","Mujer",55,"2017",1107
"Alto Hospicio","No es necesario porque lo(a) cuidan en la casa","Aimara","Hombre",265,"2017",1107
"Alto Hospicio","No existe establecimiento cercano","Aimara","Mujer",51,"2017",1107
"Alto Hospicio","No es necesario porque lo(a) cuidan en la casa","Mapuche","Mujer",117,"2017",1107
"Alto Hospicio","Otra razón. Especifique","No pertenece a ningún pueblo indígena","Hombre",64,"2017",1107
"Alto Hospicio","No sabe/no responde","Quechua","Mujer",40,"2017",1107
"Alto Hospicio","Dada su discapacidad, prefiero que no asista","No pertenece a ningún pueblo indígena","Mujer",52,"2017",1107
"Alto Hospicio","Dificultad de acceso o movilización","No pertenece a ningún pueblo indígena","Hombre",35,"2017",1107
"Alto Hospicio","No me parece necesario que asista a esta edad","No pertenece a ningún pueblo indígena","Hombre",554,"2017",1107
"Alto Hospicio","No sabe/no responde","No pertenece a ningún pueblo indígena","Hombre",153,"2017",1107
"Alto Hospicio","No sabe/no responde","Diaguita","Mujer",52,"2017",1107
"Alto Hospicio","No hay matrícula (vacantes)","No pertenece a ningún pueblo indígena","Hombre",187,"2017",1107
"Alto Hospicio","No sabe/no responde","Aimara","Hombre",54,"2017",1107
"Alto Hospicio","Desconfío del cuidado que recibiría","Aimara","Hombre",111,"2017",1107
"Alto Hospicio","No lo aceptan","Aimara","Hombre",34,"2017",1107
"Alto Hospicio","No es necesario porque lo(a) cuidan en la casa","Diaguita","Mujer",32,"2017",1107
"Alto Hospicio","No me parece necesario que asista a esta edad","Aimara","Hombre",164,"2017",1107
"Alto Hospicio","No es necesario porque lo(a) cuidan en la casa","Quechua","Hombre",73,"2017",1107
"Alto Hospicio","No hay matrícula (vacantes)","No pertenece a ningún pueblo indígena","Mujer",26,"2017",1107
"Alto Hospicio","No lo aceptan","No pertenece a ningún pueblo indígena","Mujer",36,"2017",1107
"Alto Hospicio","Desconfío del cuidado que recibiría","No pertenece a ningún pueblo indígena","Hombre",217,"2017",1107
"Alto Hospicio","No me parece necesario que asista a esta edad","Mapuche","Mujer",34,"2017",1107
"Alto Hospicio","No me parece necesario que asista a esta edad","No pertenece a ningún pueblo indígena","Mujer",431,"2017",1107
"Alto Hospicio","No me parece necesario que asista a esta edad","Quechua","Hombre",92,"2017",1107
"Alto Hospicio","Dada su discapacidad, prefiero que no asista","Aimara","Hombre",36,"2017",1107
"Alto Hospicio","No me parece necesario que asista a esta edad","Aimara","Mujer",120,"2017",1107
"Alto Hospicio","Desconfío del cuidado que recibiría","No pertenece a ningún pueblo indígena","Mujer",111,"2017",1107
"Alto Hospicio","Se enfermaría mucho","No pertenece a ningún pueblo indígena","Mujer",29,"2017",1107
"Alto Hospicio","No me parece necesario que asista a esta edad","Mapuche","Hombre",45,"2017",1107
"Alto Hospicio","No es necesario porque lo(a) cuidan en la casa","No pertenece a ningún pueblo indígena","Hombre",1302,"2017",1107
"Alto Hospicio","No es necesario porque lo(a) cuidan en la casa","No pertenece a ningún pueblo indígena","Mujer",1408,"2017",1107
"Alto Hospicio","Dada su discapacidad, el establecimiento educacional no lo a","No pertenece a ningún pueblo indígena","Mujer",25,"2017",1107
"Ancud","No es necesario porque lo(a) cuidan en la casa","Mapuche","Hombre",194,"2017",10202
"Ancud","No me parece necesario que asista a esta edad","No pertenece a ningún pueblo indígena","Mujer",250,"2017",10202
"Ancud","No me parece necesario que asista a esta edad","Mapuche","Hombre",46,"2017",10202
"Ancud","Desconfío del cuidado que recibiría","No pertenece a ningún pueblo indígena","Mujer",50,"2017",10202
"Ancud","No me parece necesario que asista a esta edad","No pertenece a ningún pueblo indígena","Hombre",92,"2017",10202
