"unlist.a.","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"algarrobo","sí","no pertenece a ningún pueblo indígena","hombre",4324,"2009",5602
"algarrobo","no","no pertenece a ningún pueblo indígena","hombre",146,"2009",5602
"algarrobo","sí","mapuche","hombre",156,"2009",5602
"algarrobo","no","mapuche","hombre",59,"2009",5602
"algarrobo","no","no pertenece a ningún pueblo indígena","mujer",302,"2009",5602
"algarrobo","sí","mapuche","mujer",401,"2009",5602
"algarrobo","sí","no pertenece a ningún pueblo indígena","mujer",4197,"2009",5602
"alhué","no","no pertenece a ningún pueblo indígena","hombre",143,"2009",13502
"alhué","sí","aymara","mujer",6,"2009",13502
"alhué","sí","mapuche","mujer",21,"2009",13502
"alhué","no","no pertenece a ningún pueblo indígena","mujer",103,"2009",13502
"alhué","sí","mapuche","hombre",34,"2009",13502
"alhué","sí","no pertenece a ningún pueblo indígena","hombre",1589,"2009",13502
"alhué","sí","no pertenece a ningún pueblo indígena","mujer",1549,"2009",13502
"alhué","sí","aymara","hombre",18,"2009",13502
"alto bío bío","sí","no pertenece a ningún pueblo indígena","hombre",978,"2009",8314
"alto bío bío","no","no pertenece a ningún pueblo indígena","mujer",161,"2009",8314
"alto bío bío","sí","quechua","hombre",7,"2009",8314
"alto bío bío","sí","mapuche","mujer",1768,"2009",8314
"alto bío bío","sí","no pertenece a ningún pueblo indígena","mujer",810,"2009",8314
"alto bío bío","sí","mapuche","hombre",2245,"2009",8314
"alto bío bío","no","mapuche","hombre",636,"2009",8314
"alto bío bío","no","mapuche","mujer",893,"2009",8314
"alto bío bío","no","no pertenece a ningún pueblo indígena","hombre",117,"2009",8314
"alto del carmen","sí","aymara","hombre",8,"2009",3302
"alto del carmen","sí","diaguita","mujer",461,"2009",3302
"alto del carmen","sí","kawésqar","mujer",18,"2009",3302
"alto del carmen","sí","no pertenece a ningún pueblo indígena","hombre",1214,"2009",3302
"alto del carmen","no","no pertenece a ningún pueblo indígena","hombre",115,"2009",3302
"alto del carmen","no","no pertenece a ningún pueblo indígena","mujer",105,"2009",3302
"alto del carmen","no","diaguita","mujer",47,"2009",3302
"alto del carmen","no","diaguita","hombre",36,"2009",3302
"alto del carmen","sí","diaguita","hombre",366,"2009",3302
"alto del carmen","sí","no pertenece a ningún pueblo indígena","mujer",1190,"2009",3302
"alto del carmen","sí","aymara","mujer",8,"2009",3302
"alto hospicio","sí","kawésqar","hombre",64,"2009",1107
"alto hospicio","sí","aymara","mujer",4277,"2009",1107
"alto hospicio","sí","atacameño","hombre",46,"2009",1107
"alto hospicio","sí","aymara","hombre",2672,"2009",1107
"alto hospicio","no","mapuche","mujer",45,"2009",1107
"alto hospicio","sí","mapuche","hombre",957,"2009",1107
"alto hospicio","sí","no pertenece a ningún pueblo indígena","mujer",23789,"2009",1107
"alto hospicio","sí","quechua","hombre",64,"2009",1107
"alto hospicio","no","aymara","mujer",456,"2009",1107
