;Comuna;Educacion;Etnia;Sexo;Freq;anio;codigo;;
1;algarrobo;terminó estudiar;no pertenece a ningún pueblo indígena;mujer;291;2011;5602;;
2;algarrobo;terminó estudiar;mapuche;hombre;194;2011;5602;;
3;algarrobo;ayuda en la casa o quehaceres del hogar;no pertenece a ningún pueblo indígena;mujer;235;2011;5602;;
4;algarrobo;terminó estudiar;mapuche;mujer;194;2011;5602;;
5;algarrobo;embarazo, maternidad o paternidad;no pertenece a ningún pueblo indígena;mujer;197;2011;5602;;
6;algarrobo;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;hombre;51;2011;5602;;
7;alhué;ayuda en la casa o quehaceres del hogar;no pertenece a ningún pueblo indígena;mujer;36;2011;13502;;
8;alhué;terminó estudiar;no pertenece a ningún pueblo indígena;mujer;66;2011;13502;;
9;alhué;problemas de rendimiento;no pertenece a ningún pueblo indígena;hombre;22;2011;13502;;
10;alhué;dificultad económica;no pertenece a ningún pueblo indígena;mujer;44;2011;13502;;
11;alhué;terminó estudiar;no pertenece a ningún pueblo indígena;hombre;44;2011;13502;;
12;alhué;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;hombre;319;2011;13502;;
13;alhué;dificultad económica;no pertenece a ningún pueblo indígena;hombre;27;2011;13502;;
14;alhué;otra razón;no pertenece a ningún pueblo indígena;hombre;18;2011;13502;;
15;alhué;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;mujer;231;2011;13502;;
16;alhué;embarazo, maternidad o paternidad;no pertenece a ningún pueblo indígena;mujer;59;2011;13502;;
17;alhué;enfermedad que lo inhabilita;no pertenece a ningún pueblo indígena;mujer;18;2011;13502;;
18;alhué;trabaja o busca trabajo;mapuche;mujer;27;2011;13502;;
19;alto biobío;terminó estudiar;mapuche;mujer;260;2011;8314;;
20;alto biobío;dificultad económica;no pertenece a ningún pueblo indígena;hombre;14;2011;8314;;
21;alto biobío;dificultad económica;mapuche;mujer;172;2011;8314;;
22;alto biobío;dificultad económica;mapuche;hombre;215;2011;8314;;
23;alto biobío;problemas familiares;no pertenece a ningún pueblo indígena;mujer;9;2011;8314;;
24;alto biobío;no le interesa;mapuche;hombre;43;2011;8314;;
25;alto biobío;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;hombre;95;2011;8314;;
