;Comuna;Educacion;Etnia;Sexo;Freq;anio;codigo
1;alto hospicio;embarazo, maternidad o paternidad;aimara;hombre;63;2015;1107
2;alto hospicio;ayuda en la casa o quehaceres del hogar;diaguita;hombre;35;2015;1107
3;alto hospicio;embarazo, maternidad o paternidad;quechua;mujer;63;2015;1107
4;alto hospicio;enfermedad que lo inhabilita;aimara;hombre;52;2015;1107
5;alto hospicio;problemas de rendimiento;no pertenece a ningún pueblo indígena;hombre;159;2015;1107
6;alto hospicio;expulsión o cancelación de matrícula;no pertenece a ningún pueblo indígena;hombre;88;2015;1107
7;alto hospicio;sin dato;no pertenece a ningún pueblo indígena;mujer;42;2015;1107
8;alto hospicio;terminó estudiar;quechua;hombre;156;2015;1107
9;alto hospicio;terminó estudiar;aimara;hombre;290;2015;1107
10;alto hospicio;embarazo, maternidad o paternidad;mapuche;mujer;78;2015;1107
11;alto hospicio;dificultad económica;aimara;mujer;58;2015;1107
12;alto hospicio;ayuda en la casa o quehaceres del hogar;aimara;mujer;236;2015;1107
13;alto hospicio;terminó estudiar;aimara;mujer;562;2015;1107
14;alto hospicio;tiene una discapacidad o requiere establecimiento de educación especial;aimara;mujer;46;2015;1107
15;alto hospicio;terminó estudiar;mapuche;hombre;113;2015;1107
16;alto hospicio;embarazo, maternidad o paternidad;aimara;mujer;117;2015;1107
17;alto hospicio;dificultad económica;no pertenece a ningún pueblo indígena;hombre;320;2015;1107
18;alto hospicio;trabaja o busca trabajo;quechua;hombre;140;2015;1107
19;alto hospicio;trabaja o busca trabajo;aimara;mujer;193;2015;1107
20;alto hospicio;problemas familiares;no pertenece a ningún pueblo indígena;mujer;82;2015;1107
21;alto hospicio;dificultad económica;no pertenece a ningún pueblo indígena;mujer;416;2015;1107
22;alto hospicio;ayuda en la casa o quehaceres del hogar;no pertenece a ningún pueblo indígena;mujer;781;2015;1107
23;alto hospicio;sin dato;quechua;hombre;38;2015;1107
24;alto hospicio;trabaja o busca trabajo;aimara;hombre;403;2015;1107
25;alto hospicio;problemas familiares;mapuche;mujer;32;2015;1107
26;alto hospicio;trabaja o busca trabajo;diaguita;hombre;108;2015;1107
27;alto hospicio;trabaja o busca trabajo;mapuche;hombre;101;2015;1107
28;alto hospicio;enfermedad que lo inhabilita;no pertenece a ningún pueblo indígena;hombre;214;2015;1107
29;alto hospicio;no le interesa;no pertenece a ningún pueblo indígena;hombre;738;2015;1107
30;alto hospicio;terminó estudiar;no pertenece a ningún pueblo indígena;hombre;4819;2015;1107
31;alto hospicio;embarazo, maternidad o paternidad;no pertenece a ningún pueblo indígena;mujer;1190;2015;1107
32;alto hospicio;terminó estudiar;diaguita;hombre;59;2015;1107
33;alto hospicio;no le interesa;aimara;mujer;40;2015;1107
34;alto hospicio;terminó estudiar;no pertenece a ningún pueblo indígena;mujer;4161;2015;1107
35;alto hospicio;problemas familiares;no pertenece a ningún pueblo indígena;hombre;78;2015;1107
36;alto hospicio;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;mujer;1633;2015;1107
37;alto hospicio;sin dato;no pertenece a ningún pueblo indígena;hombre;138;2015;1107
38;alto hospicio;enfermedad que lo inhabilita;no pertenece a ningún pueblo indígena;mujer;23;2015;1107
39;alto hospicio;ayuda en la casa o quehaceres del hogar;no pertenece a ningún pueblo indígena;hombre;72;2015;1107
40;alto hospicio;a su edad no le sirve estudiar o no conoce la manera para completar sus estudios;no pertenece a ningún pueblo indígena;hombre;60;2015;1107
41;alto hospicio;terminó estudiar;atacameño (likán-antai);hombre;31;2015;1107
42;alto hospicio;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;hombre;3042;2015;1107
43;alto hospicio;problemas familiares;mapuche;hombre;30;2015;1107
44;alto hospicio;embarazo, maternidad o paternidad;no pertenece a ningún pueblo indígena;hombre;729;2015;1107
45;alto hospicio;no le interesa;diaguita;mujer;32;2015;1107
46;alto hospicio;tiene una discapacidad o requiere establecimiento de educación especial;no pertenece a ningún pueblo indígena;hombre;42;2015;1107
47;alto hospicio;terminó estudiar;mapuche;mujer;75;2015;1107
48;alto hospicio;ayuda en la casa o quehaceres del hogar;mapuche;mujer;31;2015;1107
49;alto hospicio;trabaja o busca trabajo;mapuche;mujer;152;2015;1107
50;alto hospicio;no le interesa;no pertenece a ningún pueblo indígena;mujer;460;2015;1107
51;alto hospicio;enfermedad que lo inhabilita;aimara;mujer;97;2015;1107
52;alto hospicio;trabaja o busca trabajo;quechua;mujer;226;2015;1107
53;ancud;no le interesa;mapuche;hombre;54;2015;10202
54;ancud;tiene una discapacidad o requiere establecimiento de educación especial;mapuche;hombre;30;2015;10202
55;ancud;terminó estudiar;kawashkar o alacalufes;mujer;29;2015;10202
56;ancud;trabaja o busca trabajo;mapuche;hombre;194;2015;10202
57;ancud;trabaja o busca trabajo;mapuche;mujer;79;2015;10202
