;Comuna;Educacion;Etnia;Sexo;Freq;anio;codigo
1;Algarrobo;Ayuda en la casa o quehaceres del hogar;No pertenece a ningún pueblo indígena;Hombre;99;2017;5602
2;Algarrobo;Trabaja o busca trabajo;No pertenece a ningún pueblo indígena;Hombre;135;2017;5602
3;Algarrobo;Embarazo, maternidad o paternidad;No pertenece a ningún pueblo indígena;Mujer;99;2017;5602
4;Algarrobo;Terminó de estudiar;No pertenece a ningún pueblo indígena;Hombre;211;2017;5602
5;Algarrobo;Trabaja o busca trabajo;No pertenece a ningún pueblo indígena;Mujer;135;2017;5602
6;Algarrobo;Terminó de estudiar;No pertenece a ningún pueblo indígena;Mujer;554;2017;5602
7;Alhué;No sabe/no responde;No pertenece a ningún pueblo indígena;Hombre;100;2017;13502
8;Alhué;Otra razón. Especifique;No pertenece a ningún pueblo indígena;Mujer;25;2017;13502
9;Alhué;Ayuda en la casa o quehaceres del hogar;Mapuche;Hombre;16;2017;13502
10;Alhué;Terminó de estudiar;No pertenece a ningún pueblo indígena;Mujer;34;2017;13502
11;Alhué;Trabaja o busca trabajo;No pertenece a ningún pueblo indígena;Mujer;104;2017;13502
12;Alhué;Ayuda en la casa o quehaceres del hogar;No pertenece a ningún pueblo indígena;Mujer;17;2017;13502
13;Alhué;Dificultad económica;No pertenece a ningún pueblo indígena;Hombre;17;2017;13502
14;Alhué;Terminó de estudiar;No pertenece a ningún pueblo indígena;Hombre;48;2017;13502
15;Alhué;Embarazo, maternidad o paternidad;No pertenece a ningún pueblo indígena;Mujer;47;2017;13502
16;Alhué;Trabaja o busca trabajo;No pertenece a ningún pueblo indígena;Hombre;199;2017;13502
17;Alto Biobío;Enfermedad que lo inhabilita;No pertenece a ningún pueblo indígena;Mujer;8;2017;8314
18;Alto Biobío;Tiene una discapacidad o requiere establecimiento de educaci;No pertenece a ningún pueblo indígena;Mujer;12;2017;8314
19;Alto Biobío;Trabaja o busca trabajo;No pertenece a ningún pueblo indígena;Mujer;146;2017;8314
20;Alto Biobío;No sabe/no responde;No pertenece a ningún pueblo indígena;Mujer;8;2017;8314
21;Alto Biobío;Terminó de estudiar;Mapuche;Hombre;8;2017;8314
22;Alto Biobío;Trabaja o busca trabajo;No pertenece a ningún pueblo indígena;Hombre;146;2017;8314
23;Alto Biobío;Terminó de estudiar;Mapuche;Mujer;70;2017;8314
24;Alto Biobío;No le interesa;Mapuche;Mujer;20;2017;8314
25;Alto Biobío;Trabaja o busca trabajo;Mapuche;Mujer;90;2017;8314
26;Alto Biobío;Se encuentra preparando la PSU por su cuenta;Mapuche;Mujer;58;2017;8314
27;Alto Biobío;No sabe/no responde;No pertenece a ningún pueblo indígena;Hombre;32;2017;8314
28;Alto Biobío;No le interesa;Mapuche;Hombre;8;2017;8314
29;Alto Biobío;Problemas de rendimiento;No pertenece a ningún pueblo indígena;Hombre;12;2017;8314
30;Alto Biobío;Embarazo, maternidad o paternidad;Mapuche;Mujer;50;2017;8314
31;Alto Biobío;Trabaja o busca trabajo;Mapuche;Hombre;112;2017;8314
32;Alto Biobío;Terminó de estudiar;No pertenece a ningún pueblo indígena;Mujer;20;2017;8314
33;Alto Biobío;Ayuda en la casa o quehaceres del hogar;Mapuche;Hombre;50;2017;8314
34;Alto Biobío;No sabe/no responde;Mapuche;Mujer;62;2017;8314
35;Alto del Carmen;Terminó de estudiar;No pertenece a ningún pueblo indígena;Mujer;31;2017;3302
36;Alto del Carmen;Otra razón. Especifique;Diaguita;Hombre;31;2017;3302
37;Alto del Carmen;No sabe/no responde;Diaguita;Mujer;31;2017;3302
38;Alto del Carmen;Otra razón. Especifique;No pertenece a ningún pueblo indígena;Hombre;70;2017;3302
39;Alto del Carmen;Otra razón. Especifique;Kawashkar o Alacalufes;Mujer;101;2017;3302
40;Alto del Carmen;Otra razón. Especifique;No pertenece a ningún pueblo indígena;Mujer;70;2017;3302
41;Alto del Carmen;Trabaja o busca trabajo;No pertenece a ningún pueblo indígena;Mujer;31;2017;3302
42;Alto del Carmen;Trabaja o busca trabajo;Diaguita;Mujer;27;2017;3302
43;Alto del Carmen;Trabaja o busca trabajo;Diaguita;Hombre;93;2017;3302
44;Alto del Carmen;Embarazo, maternidad o paternidad;Diaguita;Mujer;70;2017;3302
45;Alto Hospicio;Problemas familiares;No pertenece a ningún pueblo indígena;Mujer;66;2017;1107
46;Alto Hospicio;No sabe/no responde;Quechua;Mujer;88;2017;1107
47;Alto Hospicio;No sabe/no responde;Aimara;Hombre;44;2017;1107
48;Alto Hospicio;Trabaja o busca trabajo;No pertenece a ningún pueblo indígena;Mujer;3161;2017;1107
49;Alto Hospicio;Tiene una discapacidad o requiere establecimiento de educaci;Aimara;Hombre;54;2017;1107
50;Alto Hospicio;No sabe/no responde;No pertenece a ningún pueblo indígena;Hombre;384;2017;1107
51;Alto Hospicio;Trabaja o busca trabajo;Aimara;Hombre;342;2017;1107
52;Alto Hospicio;Otra razón. Especifique;Aimara;Mujer;37;2017;1107
53;Alto Hospicio;Dificultad económica;No pertenece a ningún pueblo indígena;Hombre;590;2017;1107
54;Alto Hospicio;Enfermedad que lo inhabilita;No pertenece a ningún pueblo indígena;Hombre;136;2017;1107
55;Alto Hospicio;Enfermedad que lo inhabilita;No pertenece a ningún pueblo indígena;Mujer;114;2017;1107
56;Alto Hospicio;Tiene una discapacidad o requiere establecimiento de educaci;No pertenece a ningún pueblo indígena;Hombre;54;2017;1107
57;Alto Hospicio;Dificultad económica;No pertenece a ningún pueblo indígena;Mujer;425;2017;1107
58;Alto Hospicio;Terminó de estudiar;Mapuche;Mujer;190;2017;1107
59;Alto Hospicio;Trabaja o busca trabajo;Mapuche;Mujer;25;2017;1107
60;Alto Hospicio;Dificultad económica;Quechua;Hombre;29;2017;1107
61;Alto Hospicio;Terminó de estudiar;Quechua;Hombre;37;2017;1107
62;Alto Hospicio;Problemas familiares;Aimara;Mujer;94;2017;1107
63;Alto Hospicio;No sabe/no responde;No pertenece a ningún pueblo indígena;Mujer;408;2017;1107
64;Alto Hospicio;Embarazo, maternidad o paternidad;Aimara;Hombre;37;2017;1107
65;Alto Hospicio;Embarazo, maternidad o paternidad;Aimara;Mujer;99;2017;1107
66;Alto Hospicio;Problemas de rendimiento;No pertenece a ningún pueblo indígena;Hombre;25;2017;1107
67;Alto Hospicio;Ayuda en la casa o quehaceres del hogar;No pertenece a ningún pueblo indígena;Mujer;797;2017;1107
68;Alto Hospicio;No sabe/no responde;Aimara;Mujer;44;2017;1107
69;Alto Hospicio;Terminó de estudiar;Aimara;Hombre;471;2017;1107
