;Comuna;Educacion;Etnia;Sexo;Freq;anio;codigo
1;algarrobo;no le interesa;mapuche;mujer;59;2009;5602
2;algarrobo;enfermedad que lo inhabilita ;no pertenece a ningún pueblo indígena;hombre;12;2009;5602
3;algarrobo;problemas familiares;no pertenece a ningún pueblo indígena;mujer;14;2009;5602
4;algarrobo;embarazo;no pertenece a ningún pueblo indígena;mujer;28;2009;5602
5;algarrobo;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;hombre;1413;2009;5602
6;algarrobo;prepara prueba selección universitaria psu;no pertenece a ningún pueblo indígena;mujer;8;2009;5602
7;algarrobo;prepara prueba selección universitaria psu;no pertenece a ningún pueblo indígena;hombre;10;2009;5602
8;algarrobo;maternidad o paternidad;no pertenece a ningún pueblo indígena;hombre;32;2009;5602
9;algarrobo;a mi edad ya no sirve estudiar;no pertenece a ningún pueblo indígena;mujer;12;2009;5602
10;algarrobo;maternidad o paternidad;no pertenece a ningún pueblo indígena;mujer;137;2009;5602
11;algarrobo;terminó de estudiar;no pertenece a ningún pueblo indígena;hombre;212;2009;5602
12;algarrobo;ayuda en la casa o quehacer del hogar;no pertenece a ningún pueblo indígena;mujer;272;2009;5602
13;algarrobo;dificultad económica;no pertenece a ningún pueblo indígena;hombre;46;2009;5602
14;algarrobo;terminó de estudiar;no pertenece a ningún pueblo indígena;mujer;304;2009;5602
15;algarrobo;dificultad económica;no pertenece a ningún pueblo indígena;mujer;200;2009;5602
16;algarrobo;trabaja o busca trabajo;mapuche;mujer;81;2009;5602
17;algarrobo;no le interesa;no pertenece a ningún pueblo indígena;hombre;79;2009;5602
18;algarrobo;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;mujer;639;2009;5602
19;algarrobo;requiere establecimiento de educación especial;no pertenece a ningún pueblo indígena;hombre;8;2009;5602
20;algarrobo;enfermedad que lo inhabilita ;no pertenece a ningún pueblo indígena;mujer;81;2009;5602
21;alhué;a mi edad ya no sirve estudiar;no pertenece a ningún pueblo indígena;hombre;5;2009;13502
22;alhué;tiene una discapacidad;no pertenece a ningún pueblo indígena;mujer;5;2009;13502
23;alhué;ayuda en la casa o quehacer del hogar;no pertenece a ningún pueblo indígena;mujer;144;2009;13502
24;alhué;terminó de estudiar;no pertenece a ningún pueblo indígena;hombre;93;2009;13502
25;alhué;dificultad económica;no pertenece a ningún pueblo indígena;hombre;78;2009;13502
26;alhué;dificultad de acceso o movilización;no pertenece a ningún pueblo indígena;mujer;5;2009;13502
27;alhué;trabaja o busca trabajo;mapuche;mujer;6;2009;13502
28;alhué;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;mujer;208;2009;13502
29;alhué;no le interesa;no pertenece a ningún pueblo indígena;mujer;17;2009;13502
30;alhué;ayuda en la casa o quehacer del hogar;no pertenece a ningún pueblo indígena;hombre;11;2009;13502
31;alhué;terminó de estudiar;no pertenece a ningún pueblo indígena;mujer;84;2009;13502
32;alhué;maternidad o paternidad;mapuche;mujer;6;2009;13502
33;alhué;dificultad económica;aymara;hombre;9;2009;13502
34;alhué;dificultad económica;mapuche;hombre;9;2009;13502
35;alhué;maternidad o paternidad;no pertenece a ningún pueblo indígena;hombre;10;2009;13502
36;alhué;trabaja o busca trabajo;mapuche;hombre;12;2009;13502
37;alhué;maternidad o paternidad;no pertenece a ningún pueblo indígena;mujer;84;2009;13502
38;alhué;está realizando el servicio militar;no pertenece a ningún pueblo indígena;hombre;4;2009;13502
39;alhué;dificultad económica;no pertenece a ningún pueblo indígena;mujer;113;2009;13502
40;alhué;no le interesa;no pertenece a ningún pueblo indígena;hombre;53;2009;13502
