;Educacion;Educacion;Etnia;Sexo;Freq;anio;codigo
1;algarrobo;dificultad económica;mapuche;hombre;32;2013;5602
2;algarrobo;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;hombre;198;2013;5602
3;algarrobo;embarazo, maternidad o paternidad;no pertenece a ningún pueblo indígena;mujer;30;2013;5602
4;algarrobo;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;mujer;81;2013;5602
5;algarrobo;trabaja o busca trabajo;mapuche;mujer;19;2013;5602
6;algarrobo;terminó estudiar;no pertenece a ningún pueblo indígena;hombre;486;2013;5602
7;algarrobo;terminó estudiar;mapuche;mujer;131;2013;5602
8;algarrobo;dificultad económica;no pertenece a ningún pueblo indígena;mujer;38;2013;5602
9;algarrobo;terminó estudiar;no pertenece a ningún pueblo indígena;mujer;677;2013;5602
10;algarrobo;dificultad económica;mapuche;mujer;32;2013;5602
11;algarrobo;dificultad económica;no pertenece a ningún pueblo indígena;hombre;19;2013;5602
12;alhué;ns/nr;no pertenece a ningún pueblo indígena;hombre;48;2013;13502
13;alhué;no le interesa;no pertenece a ningún pueblo indígena;hombre;19;2013;13502
14;alhué;terminó estudiar;no pertenece a ningún pueblo indígena;mujer;18;2013;13502
15;alhué;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;mujer;104;2013;13502
16;alhué;ayuda en la casa o quehaceres del hogar;no pertenece a ningún pueblo indígena;mujer;32;2013;13502
17;alhué;trabaja o busca trabajo;no pertenece a ningún pueblo indígena;hombre;141;2013;13502
18;alhué;ns/nr;no pertenece a ningún pueblo indígena;mujer;48;2013;13502
19;alhué;embarazo, maternidad o paternidad;no pertenece a ningún pueblo indígena;mujer;174;2013;13502
20;alhué;otra razón. especifique;no pertenece a ningún pueblo indígena;hombre;19;2013;13502
21;alhué;terminó estudiar;no pertenece a ningún pueblo indígena;hombre;46;2013;13502
22;alhué;enfermedad que lo inhabilita;no pertenece a ningún pueblo indígena;hombre;33;2013;13502
23;alto biobío;ns/nr;mapuche;hombre;14;2013;8314
24;alto biobío;ns/nr;no pertenece a ningún pueblo indígena;hombre;14;2013;8314
25;alto biobío;embarazo, maternidad o paternidad;no pertenece a ningún pueblo indígena;mujer;58;2013;8314
26;alto biobío;no existe establecimiento cercano;mapuche;hombre;14;2013;8314
27;alto biobío;dificultad económica;no pertenece a ningún pueblo indígena;mujer;13;2013;8314
