;Comuna;Educacion;Etnia;Sexo;Freq;anio;codigo
1;aisén ;no lo aceptan;mapuche ;hombre;31;2006;11201
2;aisén ;otra razón;no pertenece a ningún pueblo indígena;hombre;84;2006;11201
3;aisén ;no es necesario porque lo(a) cuidan en la casa.;mapuche ;hombre;134;2006;11201
4;aisén ;no veo utilidad en que asista a esta edad;no pertenece a ningún pueblo indígena;mujer;36;2006;11201
5;aisén ;no lo aceptan;no pertenece a ningún pueblo indígena;mujer;35;2006;11201
6;aisén ;sin dato;no pertenece a ningún pueblo indígena;hombre;24;2006;11201
7;aisén ;el horario no me acomoda;no pertenece a ningún pueblo indígena;hombre;39;2006;11201
8;aisén ;desconfío del cuidado que recibiría ;no pertenece a ningún pueblo indígena;hombre;39;2006;11201
9;aisén ;no existe establecimiento cercano;no pertenece a ningún pueblo indígena;hombre;49;2006;11201
10;aisén ;no lo aceptan;mapuche ;mujer;31;2006;11201
11;aisén ;se enfermaría mucho;no pertenece a ningún pueblo indígena;mujer;35;2006;11201
12;aisén ;no es necesario porque lo(a) cuidan en la casa.;no pertenece a ningún pueblo indígena;hombre;409;2006;11201
13;aisén ;no es necesario porque lo(a) cuidan en la casa.;no pertenece a ningún pueblo indígena;mujer;530;2006;11201
14;aisén ;no hay matrícula (vacantes);mapuche ;mujer;34;2006;11201
15;aisén ;otra razón;no pertenece a ningún pueblo indígena;mujer;92;2006;11201
16;aisén ;dificultad económica;no pertenece a ningún pueblo indígena;mujer;14;2006;11201
17;aisén ;no existe establecimiento cercano;no pertenece a ningún pueblo indígena;mujer;75;2006;11201
18;aisén ;desconfío del cuidado que recibiría ;no pertenece a ningún pueblo indígena;mujer;39;2006;11201
19;aisén ;se enfermaría mucho;no pertenece a ningún pueblo indígena;hombre;34;2006;11201
20;aisén ;no es necesario porque lo(a) cuidan en la casa.;mapuche ;mujer;105;2006;11201
21;algarrobo ;dificultad de acceso o movilización;no pertenece a ningún pueblo indígena;mujer;34;2006;5602
22;algarrobo ;no es necesario porque lo(a) cuidan en la casa.;no pertenece a ningún pueblo indígena;hombre;179;2006;5602
23;algarrobo ;no lo aceptan;no pertenece a ningún pueblo indígena;hombre;16;2006;5602
24;algarrobo ;no es necesario porque lo(a) cuidan en la casa.;no pertenece a ningún pueblo indígena;mujer;210;2006;5602
25;algarrobo ;no lo aceptan;no pertenece a ningún pueblo indígena;mujer;13;2006;5602
26;algarrobo ;desconfío del cuidado que recibiría ;no pertenece a ningún pueblo indígena;hombre;3;2006;5602
27;algarrobo ;no veo utilidad en que asista a esta edad;no pertenece a ningún pueblo indígena;hombre;45;2006;5602
28;algarrobo ;se enfermaría mucho;atacameño;hombre;15;2006;5602
29;algarrobo ;dificultad de acceso o movilización;no pertenece a ningún pueblo indígena;hombre;34;2006;5602
30;algarrobo ;no existe establecimiento cercano;no pertenece a ningún pueblo indígena;mujer;34;2006;5602
31;alhué ;no veo utilidad en que asista a esta edad;no pertenece a ningún pueblo indígena;hombre;14;2006;13502
32;alhué ;desconfío del cuidado que recibiría ;no pertenece a ningún pueblo indígena;mujer;5;2006;13502
33;alhué ;desconfío del cuidado que recibiría ;no pertenece a ningún pueblo indígena;hombre;15;2006;13502
34;alhué ;sin dato;no pertenece a ningún pueblo indígena;mujer;12;2006;13502
35;alhué ;se enfermaría mucho;no pertenece a ningún pueblo indígena;mujer;6;2006;13502
36;alhué ;sin dato;no pertenece a ningún pueblo indígena;hombre;5;2006;13502
37;alhué ;no es necesario porque lo(a) cuidan en la casa.;no pertenece a ningún pueblo indígena;hombre;105;2006;13502
38;alhué ;tiene una discapacidad;mapuche ;hombre;6;2006;13502
39;alhué ;no es necesario porque lo(a) cuidan en la casa.;no pertenece a ningún pueblo indígena;mujer;56;2006;13502
40;alhué ;no es necesario porque lo(a) cuidan en la casa.;mapuche ;hombre;4;2006;13502
41;alto bío bío ;no veo utilidad en que asista a esta edad;mapuche ;mujer;42;2006;8314
42;alto bío bío ;no existe establecimiento cercano;no pertenece a ningún pueblo indígena;mujer;25;2006;8314
43;alto bío bío ;sin dato;mapuche ;hombre;18;2006;8314
44;alto bío bío ;no veo utilidad en que asista a esta edad;mapuche ;hombre;53;2006;8314
45;alto bío bío ;se enfermaría mucho;mapuche ;hombre;15;2006;8314
46;alto bío bío ;no es necesario porque lo(a) cuidan en la casa.;no pertenece a ningún pueblo indígena;mujer;146;2006;8314
47;alto bío bío ;dificultad de acceso o movilización;mapuche ;hombre;8;2006;8314
48;alto bío bío ;sin dato;no pertenece a ningún pueblo indígena;hombre;10;2006;8314
49;alto bío bío ;no existe establecimiento cercano;mapuche ;hombre;43;2006;8314
50;alto bío bío ;no veo utilidad en que asista a esta edad;no pertenece a ningún pueblo indígena;hombre;27;2006;8314
51;alto bío bío ;no es necesario porque lo(a) cuidan en la casa.;mapuche ;hombre;451;2006;8314
52;alto bío bío ;no es necesario porque lo(a) cuidan en la casa.;mapuche ;mujer;288;2006;8314
53;alto bío bío ;sin dato;mapuche ;mujer;9;2006;8314
54;alto bío bío ;no es necesario porque lo(a) cuidan en la casa.;no pertenece a ningún pueblo indígena;hombre;39;2006;8314
55;alto bío bío ;dificultad económica;mapuche ;hombre;15;2006;8314
56;alto bío bío ;no veo utilidad en que asista a esta edad;no pertenece a ningún pueblo indígena;mujer;9;2006;8314
57;alto bío bío ;no existe establecimiento cercano;no pertenece a ningún pueblo indígena;hombre;28;2006;8314
58;alto bío bío ;no existe establecimiento cercano;mapuche ;mujer;87;2006;8314
59;alto del carmen ;no existe establecimiento cercano;no pertenece a ningún pueblo indígena;mujer;27;2006;3302
60;alto del carmen ;no es necesario porque lo(a) cuidan en la casa.;diaguita;hombre;35;2006;3302
61;alto del carmen ;no veo utilidad en que asista a esta edad;diaguita;mujer;7;2006;3302
62;alto del carmen ;se enfermaría mucho;diaguita;mujer;7;2006;3302
63;alto del carmen ;el horario no me acomoda;diaguita;mujer;2;2006;3302
64;alto del carmen ;no veo utilidad en que asista a esta edad;no pertenece a ningún pueblo indígena;mujer;18;2006;3302
65;alto del carmen ;desconfío del cuidado que recibiría ;no pertenece a ningún pueblo indígena;mujer;2;2006;3302
66;alto del carmen ;no lo aceptan;no pertenece a ningún pueblo indígena;hombre;7;2006;3302
67;alto del carmen ;no es necesario porque lo(a) cuidan en la casa.;diaguita;mujer;23;2006;3302
68;alto del carmen ;no existe establecimiento cercano;no pertenece a ningún pueblo indígena;hombre;11;2006;3302
69;alto del carmen ;no es necesario porque lo(a) cuidan en la casa.;no pertenece a ningún pueblo indígena;mujer;43;2006;3302
70;alto del carmen ;dificultad de acceso o movilización;no pertenece a ningún pueblo indígena;hombre;2;2006;3302
71;alto del carmen ;no veo utilidad en que asista a esta edad;no pertenece a ningún pueblo indígena;hombre;32;2006;3302
72;alto del carmen ;se enfermaría mucho;no pertenece a ningún pueblo indígena;mujer;2;2006;3302
73;alto del carmen ;no es necesario porque lo(a) cuidan en la casa.;no pertenece a ningún pueblo indígena;hombre;66;2006;3302
74;alto hospicio ;no veo utilidad en que asista a esta edad;aymara;mujer;73;2006;1107
75;alto hospicio ;no es necesario porque lo(a) cuidan en la casa.;no pertenece a ningún pueblo indígena;hombre;2136;2006;1107
76;alto hospicio ;dificultad de acceso o movilización;aymara;mujer;71;2006;1107
77;alto hospicio ;no lo aceptan;no pertenece a ningún pueblo indígena;hombre;308;2006;1107
78;alto hospicio ;no es necesario porque lo(a) cuidan en la casa.;sin dato;hombre;308;2006;1107
79;alto hospicio ;no es necesario porque lo(a) cuidan en la casa.;aymara;mujer;681;2006;1107
80;alto hospicio ;no veo utilidad en que asista a esta edad;no pertenece a ningún pueblo indígena;hombre;219;2006;1107
81;alto hospicio ;no es necesario porque lo(a) cuidan en la casa.;mapuche ;hombre;190;2006;1107
82;alto hospicio ;el horario no me acomoda;aymara;mujer;42;2006;1107
83;alto hospicio ;tiene una discapacidad;no pertenece a ningún pueblo indígena;hombre;103;2006;1107
84;alto hospicio ;no es necesario porque lo(a) cuidan en la casa.;sin dato;mujer;308;2006;1107
85;alto hospicio ;no veo utilidad en que asista a esta edad;no pertenece a ningún pueblo indígena;mujer;134;2006;1107
86;alto hospicio ;no es necesario porque lo(a) cuidan en la casa.;no pertenece a ningún pueblo indígena;mujer;563;2006;1107
87;alto hospicio ;no lo aceptan;no pertenece a ningún pueblo indígena;mujer;61;2006;1107
88;alto hospicio ;sin dato;no pertenece a ningún pueblo indígena;mujer;36;2006;1107
89;alto hospicio ;no hay matrícula (vacantes);mapuche ;hombre;42;2006;1107
90;alto hospicio ;no es necesario porque lo(a) cuidan en la casa.;aymara;hombre;330;2006;1107
91;alto hospicio ;dificultad económica;no pertenece a ningún pueblo indígena;mujer;103;2006;1107
92;alto hospicio ;dificultad económica;aymara;hombre;148;2006;1107
93;alto hospicio ;desconfío del cuidado que recibiría ;no pertenece a ningún pueblo indígena;hombre;148;2006;1107
94;alto hospicio ;otra razón;no pertenece a ningún pueblo indígena;mujer;230;2006;1107
95;alto hospicio ;no veo utilidad en que asista a esta edad;aymara;hombre;73;2006;1107
96;alto hospicio ;desconfío del cuidado que recibiría ;no pertenece a ningún pueblo indígena;mujer;356;2006;1107
97;ancud ;no es necesario porque lo(a) cuidan en la casa.;no pertenece a ningún pueblo indígena;mujer;409;2006;10202
98;ancud ;no es necesario porque lo(a) cuidan en la casa.;no pertenece a ningún pueblo indígena;hombre;450;2006;10202
99;ancud ;otra razón;mapuche ;mujer;66;2006;10202
100;ancud ;desconfío del cuidado que recibiría ;mapuche ;mujer;53;2006;10202
101;ancud ;no es necesario porque lo(a) cuidan en la casa.;mapuche ;mujer;46;2006;10202
