"unlist.a.","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"aisén ","mapudungún","mapuche ","hombre",107,"2006",11201
"alto bío bío ","mapudungún","mapuche ","mujer",2317,"2006",8314
"alto bío bío ","mapudungún","mapuche ","hombre",2051,"2006",8314
"alto hospicio ","quechua","aymara","hombre",42,"2006",1107
"alto hospicio ","quechua","quechua ","mujer",75,"2006",1107
"alto hospicio ","quechua","aymara","mujer",126,"2006",1107
"alto hospicio ","aymara","aymara","mujer",3115,"2006",1107
"alto hospicio ","mapudungún","mapuche ","mujer",75,"2006",1107
"alto hospicio ","aymara","aymara","hombre",2321,"2006",1107
"ancud ","mapudungún","mapuche ","mujer",229,"2006",10202
"ancud ","mapudungún","mapuche ","hombre",39,"2006",10202
"angol ","mapudungún","mapuche ","hombre",402,"2006",9201
"angol ","mapudungún","mapuche ","mujer",294,"2006",9201
"antofagasta ","mapudungún","mapuche ","hombre",611,"2006",2101
"antuco ","mapudungún","mapuche ","mujer",10,"2006",8302
"arica ","mapudungún","mapuche ","hombre",477,"2006",15101
"arica ","aymara","aymara","hombre",3597,"2006",15101
"arica ","aymara","aymara","mujer",4092,"2006",15101
"buin ","mapudungún","mapuche ","hombre",383,"2006",13402
"buin ","mapudungún","mapuche ","mujer",320,"2006",13402
"bulnes ","mapudungún","mapuche ","hombre",40,"2006",16102
"bulnes ","mapudungún","mapuche ","mujer",38,"2006",16102
"cabo de hornos ","mapudungún","mapuche ","hombre",9,"2006",12201
"cabo de hornos ","mapudungún","mapuche ","mujer",6,"2006",12201
"cabo de hornos ","yagán","yagan","mujer",3,"2006",12201
"cabrero ","mapudungún","mapuche ","hombre",37,"2006",8303
"calama ","quechua","quechua ","hombre",1408,"2006",2201
"calama ","aymara","aymara","hombre",255,"2006",2201
"calama ","mapudungún","mapuche ","hombre",246,"2006",2201
"calama ","aymara","atacameño","hombre",6,"2006",2201
"calama ","quechua","atacameño","hombre",155,"2006",2201
"calama ","mapudungún","mapuche ","mujer",4,"2006",2201
"calama ","aymara","atacameño","mujer",6,"2006",2201
"calama ","aymara","aymara","mujer",255,"2006",2201
"calama ","quechua","atacameño","mujer",158,"2006",2201
"calama ","quechua","quechua ","mujer",1565,"2006",2201
"calbuco ","mapudungún","mapuche ","mujer",202,"2006",10102
"calbuco ","mapudungún","mapuche ","hombre",172,"2006",10102
"caldera ","mapudungún","mapuche ","mujer",28,"2006",3102
"caldera ","aymara","aymara","hombre",22,"2006",3102
"calera de tango ","mapudungún","mapuche ","hombre",23,"2006",13403
"calera de tango ","aymara","aymara","hombre",17,"2006",13403
"calera de tango ","mapudungún","mapuche ","mujer",20,"2006",13403
"camarones ","aymara","aymara","hombre",126,"2006",15102
"camarones ","quechua","quechua ","hombre",3,"2006",15102
"camarones ","aymara","aymara","mujer",114,"2006",15102
"camiña ","aymara","aymara","hombre",233,"2006",1402
"camiña ","aymara","aymara","mujer",210,"2006",1402
"camiña ","mapudungún","aymara","hombre",4,"2006",1402
"camiña ","quechua","aymara","hombre",2,"2006",1402
"camiña ","mapudungún","aymara","mujer",4,"2006",1402
"canela ","mapudungún","mapuche ","mujer",10,"2006",4202
"cañete ","mapudungún","mapuche ","hombre",992,"2006",8203
"cañete ","mapudungún","mapuche ","mujer",786,"2006",8203
"carahue ","mapudungún","mapuche ","mujer",1597,"2006",9102
"carahue ","mapudungún","aymara","mujer",74,"2006",9102
"carahue ","mapudungún","mapuche ","hombre",1658,"2006",9102
"carahue ","aymara","mapuche ","mujer",25,"2006",9102
"carahue ","aymara","aymara","mujer",37,"2006",9102
"cartagena ","mapudungún","mapuche ","hombre",142,"2006",5603
"cartagena ","mapudungún","mapuche ","mujer",111,"2006",5603
"casablanca ","mapudungún","mapuche ","mujer",207,"2006",5102
"casablanca ","mapudungún","mapuche ","hombre",104,"2006",5102
"castro ","mapudungún","mapuche ","hombre",60,"2006",10201
"catemu ","mapudungún","mapuche ","hombre",12,"2006",5702
"cerrillos ","aymara","aymara","hombre",80,"2006",13102
"cerrillos ","mapudungún","mapuche ","mujer",235,"2006",13102
"cerrillos ","mapudungún","mapuche ","hombre",280,"2006",13102
"cerro navia ","mapudungún","mapuche ","hombre",2325,"2006",13103
"cerro navia ","mapudungún","mapuche ","mujer",2640,"2006",13103
"cerro navia ","aymara","atacameño","hombre",105,"2006",13103
"chaitén ","mapudungún","mapuche ","hombre",16,"2006",10401
"chanco ","quechua","quechua ","hombre",40,"2006",7202
"chañaral ","mapudungún","mapuche ","mujer",22,"2006",3201
"chañaral ","yagán","coya","mujer",22,"2006",3201
"chile chico ","mapudungún","mapuche ","mujer",19,"2006",11401
"chimbarongo ","mapudungún","mapuche ","mujer",74,"2006",6303
"cholchol ","mapudungún","mapuche ","mujer",2421,"2006",9121
"cholchol ","mapudungún","mapuche ","hombre",2167,"2006",9121
"chonchi ","mapudungún","mapuche ","hombre",70,"2006",10203
"chonchi ","mapudungún","mapuche ","mujer",63,"2006",10203
"codegua ","mapudungún","mapuche ","hombre",30,"2006",6102
"coinco ","mapudungún","mapuche ","mujer",4,"2006",6103
"colbún ","mapudungún","aymara","mujer",14,"2006",7402
"colbún ","aymara","mapuche ","mujer",63,"2006",7402
"colchane ","aymara","aymara","mujer",540,"2006",1403
"colchane ","quechua","aymara","mujer",2,"2006",1403
"colchane ","aymara","quechua ","mujer",2,"2006",1403
"colchane ","aymara","aymara","hombre",556,"2006",1403
"colchane ","quechua","quechua ","mujer",6,"2006",1403
"colchane ","quechua","quechua ","hombre",8,"2006",1403
"colina ","mapudungún","mapuche ","hombre",337,"2006",13301
"colina ","quechua","aymara","hombre",118,"2006",13301
"colina ","mapudungún","mapuche ","mujer",233,"2006",13301
"collipulli ","mapudungún","aymara","mujer",18,"2006",9202
"collipulli ","mapudungún","mapuche ","mujer",715,"2006",9202
"collipulli ","mapudungún","mapuche ","hombre",669,"2006",9202
"coltauco ","mapudungún","mapuche ","hombre",10,"2006",6104
"coltauco ","mapudungún","mapuche ","mujer",29,"2006",6104
"concepción ","mapudungún","mapuche ","hombre",362,"2006",8101
"conchalí ","mapudungún","mapuche ","hombre",402,"2006",13104
"conchalí ","mapudungún","aymara","hombre",87,"2006",13104
"conchalí ","mapudungún","mapuche ","mujer",198,"2006",13104
"concón ","mapudungún","mapuche ","hombre",76,"2006",5103
"concón ","mapudungún","mapuche ","mujer",150,"2006",5103
"concón ","aymara","aymara","hombre",65,"2006",5103
"concón ","aymara","aymara","mujer",65,"2006",5103
"constitución ","mapudungún","mapuche ","hombre",66,"2006",7102
"constitución ","mapudungún","mapuche ","mujer",33,"2006",7102
"contulmo ","mapudungún","mapuche ","mujer",359,"2006",8204
"contulmo ","mapudungún","mapuche ","hombre",432,"2006",8204
"copiapó ","mapudungún","coya","mujer",17,"2006",3101
"coquimbo ","mapudungún","mapuche ","mujer",151,"2006",4102
"coquimbo ","mapudungún","mapuche ","hombre",359,"2006",4102
"coronel ","mapudungún","mapuche ","hombre",164,"2006",8102
"coronel ","mapudungún","mapuche ","mujer",188,"2006",8102
"corral ","mapudungún","mapuche ","hombre",56,"2006",14102
"corral ","mapudungún","mapuche ","mujer",39,"2006",14102
"coyhaique ","mapudungún","mapuche ","mujer",22,"2006",10509
"coyhaique ","mapudungún","mapuche ","hombre",13,"2006",10509
