"","a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"1","alto hospicio","no tiene con quien dejar a los niños","no pertenece a ningún pueblo indígena","mujer",1093,"2015",1107
"2","alto hospicio","tiene otra fuente de ingreso (seguro cesantía, mesadas, rentas, transferencias del estado, etc.)","aimara","mujer",48,"2015",1107
"3","alto hospicio","no tiene interés en trabajar","aimara","hombre",52,"2015",1107
"4","alto hospicio","otra razón","mapuche","hombre",30,"2015",1107
"5","alto hospicio","está esperando resultado de gestiones ya emprendidas","aimara","mujer",47,"2015",1107
"6","alto hospicio","jubilado(a), pensionado(a) o montepiado(a)","aimara","hombre",77,"2015",1107
"7","alto hospicio","quehaceres del hogar","sin dato","mujer",27,"2015",1107
"8","alto hospicio","quehaceres del hogar","atacameño (likán-antai)","mujer",68,"2015",1107
"9","alto hospicio","estudiante","aimara","mujer",1552,"2015",1107
"10","alto hospicio","otra razón","no pertenece a ningún pueblo indígena","hombre",763,"2015",1107
"11","alto hospicio","estudiante","mapuche","hombre",243,"2015",1107
"12","alto hospicio","estudiante","mapuche","mujer",164,"2015",1107
"13","alto hospicio","estudiante","atacameño (likán-antai)","mujer",92,"2015",1107
"14","alto hospicio","consiguió trabajo que empezará pronto o iniciará pronto una actividad por cuenta propia","aimara","mujer",37,"2015",1107
"15","alto hospicio","estudiante","quechua","mujer",55,"2015",1107
"16","alto hospicio","estudiante","diaguita","hombre",74,"2015",1107
"17","alto hospicio","estudiante","no pertenece a ningún pueblo indígena","hombre",6941,"2015",1107
"18","alto hospicio","no tiene con quien dejar a otro familiar","no pertenece a ningún pueblo indígena","hombre",48,"2015",1107
"19","alto hospicio","estudiante","atacameño (likán-antai)","hombre",42,"2015",1107
"20","alto hospicio","estudiante","collas","hombre",38,"2015",1107
"21","alto hospicio","está enfermo o tiene una discapacidad","no pertenece a ningún pueblo indígena","mujer",679,"2015",1107
"22","alto hospicio","está esperando resultado de gestiones ya emprendidas","no pertenece a ningún pueblo indígena","hombre",84,"2015",1107
"23","alto hospicio","quehaceres del hogar","aimara","mujer",1162,"2015",1107
"24","alto hospicio","quehaceres del hogar","no pertenece a ningún pueblo indígena","mujer",10069,"2015",1107
"25","alto hospicio","otra razón","aimara","mujer",114,"2015",1107
"26","alto hospicio","está enfermo o tiene una discapacidad","aimara","mujer",113,"2015",1107
"27","alto hospicio","está enfermo o tiene una discapacidad","mapuche","hombre",38,"2015",1107
"28","alto hospicio","estudiante","quechua","hombre",142,"2015",1107
"29","alto hospicio","otra razón","no pertenece a ningún pueblo indígena","mujer",541,"2015",1107
"30","alto hospicio","quehaceres del hogar","diaguita","mujer",120,"2015",1107
"31","alto hospicio","no tiene con quien dejar a otro familiar","no pertenece a ningún pueblo indígena","mujer",39,"2015",1107
"32","alto hospicio","estudiante","diaguita","mujer",76,"2015",1107
"33","alto hospicio","se cansó de buscar o cree que no hay trabajo disponible","no pertenece a ningún pueblo indígena","hombre",47,"2015",1107
"34","alto hospicio","está enfermo o tiene una discapacidad","quechua","hombre",44,"2015",1107
"35","alto hospicio","busca cuando lo necesita o tiene trabajo esporádico","no pertenece a ningún pueblo indígena","hombre",100,"2015",1107
"36","alto hospicio","estudiante","sin dato","hombre",27,"2015",1107
"37","alto hospicio","está esperando resultado de gestiones ya emprendidas","no pertenece a ningún pueblo indígena","mujer",60,"2015",1107
"38","alto hospicio","jubilado(a), pensionado(a) o montepiado(a)","no pertenece a ningún pueblo indígena","mujer",1823,"2015",1107
"39","alto hospicio","jubilado(a), pensionado(a) o montepiado(a)","quechua","mujer",44,"2015",1107
"40","alto hospicio","estudiante","no pertenece a ningún pueblo indígena","mujer",6457,"2015",1107
"41","alto hospicio","jubilado(a), pensionado(a) o montepiado(a)","mapuche","hombre",22,"2015",1107
"42","alto hospicio","no tiene interés en trabajar","no pertenece a ningún pueblo indígena","mujer",420,"2015",1107
"43","alto hospicio","otra razón","mapuche","mujer",104,"2015",1107
"44","alto hospicio","no tiene interés en trabajar","no pertenece a ningún pueblo indígena","hombre",347,"2015",1107
"45","alto hospicio","tiene otra fuente de ingreso (seguro cesantía, mesadas, rentas, transferencias del estado, etc.)","no pertenece a ningún pueblo indígena","mujer",76,"2015",1107
"46","alto hospicio","busca cuando lo necesita o tiene trabajo esporádico","no pertenece a ningún pueblo indígena","mujer",212,"2015",1107
"47","alto hospicio","quehaceres del hogar","mapuche","mujer",313,"2015",1107
"48","alto hospicio","está enfermo o tiene una discapacidad","no pertenece a ningún pueblo indígena","hombre",742,"2015",1107
"49","alto hospicio","no tiene interés en trabajar","mapuche","hombre",52,"2015",1107
"50","alto hospicio","jubilado(a), pensionado(a) o montepiado(a)","no pertenece a ningún pueblo indígena","hombre",1392,"2015",1107
"51","alto hospicio","quehaceres del hogar","quechua","mujer",115,"2015",1107
"52","alto hospicio","está enfermo o tiene una discapacidad","aimara","hombre",46,"2015",1107
"53","alto hospicio","jubilado(a), pensionado(a) o montepiado(a)","aimara","mujer",128,"2015",1107
"54","alto hospicio","quehaceres del hogar","no pertenece a ningún pueblo indígena","hombre",168,"2015",1107
"55","alto hospicio","piensa que nadie le dará trabajo (porque no cuenta con la capacitación requerida, por su edad, etc.)","no pertenece a ningún pueblo indígena","hombre",43,"2015",1107
"56","alto hospicio","estudiante","aimara","hombre",638,"2015",1107
"57","alto hospicio","consiguió trabajo que empezará pronto o iniciará pronto una actividad por cuenta propia","no pertenece a ningún pueblo indígena","hombre",38,"2015",1107
"58","alto hospicio","piensa que nadie le dará trabajo (porque no cuenta con la capacitación requerida, por su edad, etc.)","no pertenece a ningún pueblo indígena","mujer",123,"2015",1107
"59","ancud","no tiene con quien dejar a los niños","no pertenece a ningún pueblo indígena","hombre",39,"2015",10202
"60","ancud","jubilado(a), pensionado(a) o montepiado(a)","mapuche","mujer",359,"2015",10202
"61","ancud","no tiene con quien dejar a los niños","no pertenece a ningún pueblo indígena","mujer",825,"2015",10202
"62","ancud","piensa que nadie le dará trabajo (porque no cuenta con la capacitación requerida, por su edad, etc.)","no pertenece a ningún pueblo indígena","hombre",32,"2015",10202
"63","ancud","no tiene con quien dejar a adultos mayores","mapuche","mujer",62,"2015",10202
"64","ancud","estudiante","mapuche","mujer",698,"2015",10202
"65","ancud","está enfermo o tiene una discapacidad","no pertenece a ningún pueblo indígena","hombre",359,"2015",10202
"66","ancud","está enfermo o tiene una discapacidad","no pertenece a ningún pueblo indígena","mujer",591,"2015",10202
"67","ancud","tiene otra fuente de ingreso (seguro cesantía, mesadas, rentas, transferencias del estado, etc.)","no pertenece a ningún pueblo indígena","hombre",46,"2015",10202
"68","ancud","ofrecen sueldos muy bajos","no pertenece a ningún pueblo indígena","mujer",26,"2015",10202
"69","ancud","no tiene interés en trabajar","mapuche","mujer",32,"2015",10202
"70","ancud","otra razón","mapuche","mujer",29,"2015",10202
"71","ancud","no tiene interés en trabajar","no pertenece a ningún pueblo indígena","mujer",87,"2015",10202
"72","ancud","quehaceres del hogar","mapuche","hombre",30,"2015",10202
"73","ancud","jubilado(a), pensionado(a) o montepiado(a)","no pertenece a ningún pueblo indígena","mujer",2142,"2015",10202
"74","ancud","jubilado(a), pensionado(a) o montepiado(a)","mapuche","hombre",220,"2015",10202
"75","ancud","otra razón","mapuche","hombre",72,"2015",10202
"76","ancud","está enfermo o tiene una discapacidad","mapuche","mujer",182,"2015",10202
"77","ancud","quehaceres del hogar","no pertenece a ningún pueblo indígena","hombre",28,"2015",10202
"78","ancud","otra razón","no pertenece a ningún pueblo indígena","hombre",177,"2015",10202
"79","ancud","quehaceres del hogar","aimara","mujer",28,"2015",10202
"80","ancud","se cansó de buscar o cree que no hay trabajo disponible","no pertenece a ningún pueblo indígena","hombre",23,"2015",10202
"81","ancud","jubilado(a), pensionado(a) o montepiado(a)","no pertenece a ningún pueblo indígena","hombre",1733,"2015",10202
"82","ancud","está esperando resultado de gestiones ya emprendidas","mapuche","mujer",27,"2015",10202
