"","a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"1","algarrobo","algarrobo","ecuador","mujer",32,"2013",5602
"2","algarrobo","santiago","ecuador","mujer",32,"2013",5602
"3","alto hospicio","iquique","bolivia","mujer",21,"2013",1107
"4","alto hospicio","alto hospicio","bolivia","hombre",131,"2013",1107
"5","alto hospicio","iquique","colombia","mujer",54,"2013",1107
"6","alto hospicio","alto hospicio","colombia","mujer",21,"2013",1107
"7","alto hospicio","alto hospicio","ecuador","hombre",24,"2013",1107
"8","alto hospicio","alto hospicio","ecuador","mujer",24,"2013",1107
"9","alto hospicio","iquique","perú","hombre",78,"2013",1107
"10","alto hospicio","alto hospicio","paraguay","mujer",17,"2013",1107
"11","alto hospicio","alto hospicio","bolivia","mujer",188,"2013",1107
"12","alto hospicio","alto hospicio","colombia","hombre",42,"2013",1107
"13","alto hospicio","alto hospicio","perú","hombre",48,"2013",1107
"14","alto hospicio","iquique","argentina","mujer",28,"2013",1107
"15","alto hospicio","alto hospicio","perú","mujer",118,"2013",1107
"16","alto hospicio","iquique","perú","mujer",44,"2013",1107
"17","antofagasta","antofagasta","colombia","hombre",160,"2013",2101
"18","antofagasta","antofagasta","argentina","hombre",161,"2013",2101
"19","antofagasta","antofagasta","colombia","mujer",389,"2013",2101
"20","antofagasta","antofagasta","suecia","mujer",46,"2013",2101
"21","antofagasta","antofagasta","argentina","mujer",143,"2013",2101
"22","antofagasta","antofagasta","perú","mujer",228,"2013",2101
"23","antofagasta","antofagasta","brasil","hombre",51,"2013",2101
"24","antofagasta","antofagasta","perú","hombre",342,"2013",2101
"25","antofagasta","no contesta","colombia","mujer",174,"2013",2101
"26","arica","arica","brasil","hombre",6,"2013",15101
"27","arica","arica","bolivia","hombre",84,"2013",15101
"28","arica","arica","argentina","hombre",13,"2013",15101
"29","arica","arica","perú","hombre",198,"2013",15101
"30","arica","extranjero","perú","hombre",6,"2013",15101
"31","arica","arica","perú","mujer",220,"2013",15101
"32","arica","extranjero","perú","mujer",15,"2013",15101
"33","arica","arica","bolivia","mujer",173,"2013",15101
"34","arica","chillán","bolivia","mujer",48,"2013",15101
"35","aysén","aysén","república dominicana","hombre",9,"2013",11201
"36","aysén","aysén","alemania","mujer",7,"2013",11201
"37","aysén","aysén","colombia","mujer",18,"2013",11201
"38","calama","calama","bolivia","hombre",331,"2013",2201
"39","calama","calama","colombia","mujer",58,"2013",2201
"40","calama","calama","argentina","hombre",45,"2013",2201
"41","calama","extranjero","bolivia","hombre",40,"2013",2201
"42","calama","calama","argentina","mujer",45,"2013",2201
"43","calama","calama","bolivia","mujer",253,"2013",2201
"44","calama","calama","perú","mujer",36,"2013",2201
"45","calama","combarbalá","bolivia","hombre",86,"2013",2201
"46","calama","no contesta","bolivia","mujer",99,"2013",2201
"47","calama","calama","colombia","hombre",86,"2013",2201
"48","calama","extranjero","perú","mujer",40,"2013",2201
"49","cerro navia","cerro navia","colombia","hombre",152,"2013",13103
"50","chañaral","chañaral","perú","hombre",58,"2013",3201
"51","chañaral","antofagasta","perú","mujer",58,"2013",3201
"52","chiguayante","san pedro de la paz","estados unidos","hombre",51,"2013",8103
"53","chile chico","chile chico","venezuela","hombre",35,"2013",11401
"54","chile chico","chile chico","colombia","hombre",16,"2013",11401
"55","chile chico","chile chico","colombia","mujer",16,"2013",11401
"56","chillán","chillán","brasil","hombre",64,"2013",16101
"57","cisnes","cisnes","argentina","mujer",53,"2013",11202
"58","colina","colina","perú","mujer",266,"2013",13301
"59","conchalí","recoleta","bolivia","hombre",292,"2013",13104
"60","conchalí","huechuraba","perú","mujer",91,"2013",13104
"61","conchalí","conchalí","perú","mujer",388,"2013",13104
"62","conchalí","conchalí","perú","hombre",163,"2013",13104
"63","conchalí","santiago","perú","mujer",91,"2013",13104
"64","conchalí","santiago","argentina","hombre",67,"2013",13104
"65","conchalí","el bosque","república dominicana","hombre",68,"2013",13104
"66","concón","viña del mar","francia","mujer",92,"2013",5103
"67","concón","viña del mar","francia","hombre",92,"2013",5103
"68","copiapó","copiapó","perú","hombre",32,"2013",3101
"69","copiapó","copiapó","bolivia","hombre",29,"2013",3101
"70","copiapó","copiapó","colombia","mujer",31,"2013",3101
"71","copiapó","copiapó","colombia","hombre",136,"2013",3101
"72","coquimbo","coquimbo","brasil","hombre",119,"2013",4102
"73","coyhaique","coyhaique","colombia","hombre",21,"2013",11101
"74","coyhaique","coyhaique","argentina","mujer",13,"2013",11101
"75","curacaví","curacaví","argentina","mujer",137,"2013",13503
"76","el bosque","el bosque","colombia","hombre",140,"2013",13105
"77","el monte","el monte","perú","mujer",88,"2013",13602
"78","el monte","el monte","perú","hombre",88,"2013",13602
