"","a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"1","alhué","alhué","argentina","hombre",54,"2011",13502
"2","alto hospicio","iquique","perú","mujer",11,"2011",1107
"3","alto hospicio","iquique","colombia","hombre",9,"2011",1107
"4","alto hospicio","iquique","bolivia","mujer",26,"2011",1107
"5","alto hospicio","alto hospicio","argentina","mujer",85,"2011",1107
"6","alto hospicio","alto hospicio","ecuador","mujer",12,"2011",1107
"7","alto hospicio","alto hospicio","bolivia","mujer",90,"2011",1107
"8","alto hospicio","alto hospicio","perú","hombre",167,"2011",1107
"9","alto hospicio","alto hospicio","india","mujer",15,"2011",1107
"10","alto hospicio","alto hospicio","bolivia","hombre",100,"2011",1107
"11","alto hospicio","iquique","perú","hombre",35,"2011",1107
"12","alto hospicio","alto hospicio","argentina","hombre",11,"2011",1107
"13","alto hospicio","alto hospicio","ecuador","hombre",24,"2011",1107
"14","alto hospicio","extranjero","perú","mujer",12,"2011",1107
"15","alto hospicio","iquique","bolivia","hombre",10,"2011",1107
"16","alto hospicio","iquique","colombia","mujer",25,"2011",1107
"17","antofagasta","antofagasta","venezuela","mujer",17,"2011",2101
"18","antofagasta","antofagasta","colombia","mujer",73,"2011",2101
"19","antofagasta","antofagasta","bolivia","hombre",60,"2011",2101
"20","antofagasta","antofagasta","noruega","mujer",12,"2011",2101
"21","antofagasta","antofagasta","argentina","hombre",53,"2011",2101
"22","antofagasta","antofagasta","perú","hombre",185,"2011",2101
"23","antofagasta","antofagasta","méxico","hombre",34,"2011",2101
"24","antofagasta","antofagasta","ecuador","hombre",16,"2011",2101
"25","antofagasta","antofagasta","estados unidos","hombre",12,"2011",2101
"26","antofagasta","antofagasta","colombia","hombre",57,"2011",2101
"27","antofagasta","antofagasta","méxico","mujer",34,"2011",2101
"28","antofagasta","antofagasta","argentina","mujer",126,"2011",2101
"29","antofagasta","ns/nr","perú","hombre",30,"2011",2101
"30","antofagasta","antofagasta","noruega","hombre",39,"2011",2101
"31","antofagasta","antofagasta","perú","mujer",92,"2011",2101
"32","antofagasta","antofagasta","bolivia","mujer",58,"2011",2101
"33","antofagasta","antofagasta","no contesta","mujer",42,"2011",2101
"34","arica","arica","perú","hombre",316,"2011",15101
"35","arica","arica","estados unidos","hombre",8,"2011",15101
"36","arica","arica","bolivia","hombre",177,"2011",15101
"37","arica","arica","colombia","hombre",16,"2011",15101
"38","arica","arica","no contesta","hombre",10,"2011",15101
"39","arica","arica","perú","mujer",161,"2011",15101
"40","arica","arica","ecuador","mujer",11,"2011",15101
"41","arica","ns/nr","perú","hombre",13,"2011",15101
"42","arica","arica","ecuador","hombre",11,"2011",15101
"43","arica","arica","brasil","hombre",26,"2011",15101
"44","arica","arica","brasil","mujer",144,"2011",15101
"45","arica","arica","argentina","hombre",12,"2011",15101
"46","arica","arica","bolivia","mujer",97,"2011",15101
"47","arica","arica","argentina","mujer",12,"2011",15101
"48","arica","ns/nr","bolivia","hombre",10,"2011",15101
"49","aysén","aysén","argentina","mujer",9,"2011",11201
"50","aysén","aysén","colombia","hombre",16,"2011",11201
"51","aysén","aysén","colombia","mujer",7,"2011",11201
"52","aysén","aysén","argentina","hombre",11,"2011",11201
"53","calama","calama","perú","mujer",19,"2011",2201
