",""a"",""unlist.b."",""unlist.c."",""unlist.d."",""Freq"",""anio"",""codigo"""
"1,""Algarrobo"",""Quehaceres del hogar"",""Mapuche"",""Mujer"",89,""2017"",5602"
"2,""Algarrobo"",""No tiene con quien dejar a los niños"",""No pertenece a ningún pueblo indígena"",""Mujer"",41,""2017"",5602"
"3,""Algarrobo"",""Quehaceres del hogar"",""No pertenece a ningún pueblo indígena"",""Mujer"",99,""2017"",5602"
"4,""Algarrobo"",""Jubilado(a), pensionado(a) o montepiado(a)"",""No pertenece a ningún pueblo indígena"",""Mujer"",41,""2017"",5602"
"5,""Algarrobo"",""Está enfermo o tiene una discapacidad"",""No pertenece a ningún pueblo indígena"",""Mujer"",41,""2017"",5602"
"6,""Alhué"",""No tiene interés en trabajar"",""No pertenece a ningún pueblo indígena"",""Hombre"",17,""2017"",13502"
"7,""Alhué"",""Está enfermo o tiene una discapacidad"",""No pertenece a ningún pueblo indígena"",""Hombre"",17,""2017"",13502"
"8,""Alhué"",""No tiene con quien dejar a los niños"",""No pertenece a ningún pueblo indígena"",""Mujer"",63,""2017"",13502"
"9,""Alhué"",""Está enfermo o tiene una discapacidad"",""No pertenece a ningún pueblo indígena"",""Mujer"",50,""2017"",13502"
"10,""Alto del Carmen"",""Está enfermo o tiene una discapacidad"",""No pertenece a ningún pueblo indígena"",""Mujer"",70,""2017"",3302"
"11,""Alto Hospicio"",""Está enfermo o tiene una discapacidad"",""Aimara"",""Hombre"",37,""2017"",1107"
"12,""Alto Hospicio"",""Tiene otra fuente de ingreso (seguro de cesantía, mesadas, r"",""No pertenece a ningún pueblo indígena"",""Mujer"",89,""2017"",1107"
"13,""Alto Hospicio"",""Jubilado(a), pensionado(a) o montepiado(a)"",""No pertenece a ningún pueblo indígena"",""Mujer"",166,""2017"",1107"
"14,""Alto Hospicio"",""Tiene otra fuente de ingreso (seguro de cesantía, mesadas, r"",""No pertenece a ningún pueblo indígena"",""Hombre"",71,""2017"",1107"
"15,""Alto Hospicio"",""No tiene con quien dejar a los niños"",""No pertenece a ningún pueblo indígena"",""Mujer"",365,""2017"",1107"
"16,""Alto Hospicio"",""Quehaceres del hogar"",""No pertenece a ningún pueblo indígena"",""Mujer"",312,""2017"",1107"
"17,""Alto Hospicio"",""No tiene interés en trabajar"",""No pertenece a ningún pueblo indígena"",""Mujer"",129,""2017"",1107"
"18,""Alto Hospicio"",""No tiene con quien dejar a otro familiar"",""No pertenece a ningún pueblo indígena"",""Hombre"",74,""2017"",1107"
"19,""Alto Hospicio"",""Jubilado(a), pensionado(a) o montepiado(a)"",""No pertenece a ningún pueblo indígena"",""Hombre"",42,""2017"",1107"
"20,""Alto Hospicio"",""Otra razón"",""No pertenece a ningún pueblo indígena"",""Mujer"",134,""2017"",1107"
"21,""Alto Hospicio"",""No tiene con quien dejar a otro familiar"",""No pertenece a ningún pueblo indígena"",""Mujer"",35,""2017"",1107"
"22,""Alto Hospicio"",""Otra razón"",""Aimara"",""Mujer"",52,""2017"",1107"
"23,""Alto Hospicio"",""No tiene con quien dejar a los niños"",""No pertenece a ningún pueblo indígena"",""Hombre"",57,""2017"",1107"
"24,""Alto Hospicio"",""Se cansó de buscar o cree que no hay trabajo disponible"",""No pertenece a ningún pueblo indígena"",""Mujer"",42,""2017"",1107"
"25,""Alto Hospicio"",""Quehaceres del hogar"",""Aimara"",""Mujer"",44,""2017"",1107"
"26,""Alto Hospicio"",""Consiguió trabajo que empezará pronto o iniciará pronto una"",""No pertenece a ningún pueblo indígena"",""Hombre"",30,""2017"",1107"
"27,""Alto Hospicio"",""Está enfermo o tiene una discapacidad"",""No pertenece a ningún pueblo indígena"",""Hombre"",35,""2017"",1107"
"28,""Alto Hospicio"",""Está enfermo o tiene una discapacidad"",""No pertenece a ningún pueblo indígena"",""Mujer"",82,""2017"",1107"
"29,""Ancud"",""Jubilado(a), pensionado(a) o montepiado(a)"",""No pertenece a ningún pueblo indígena"",""Mujer"",472,""2017"",10202"
"30,""Ancud"",""Quehaceres del hogar"",""Mapuche"",""Mujer"",96,""2017"",10202"
"31,""Ancud"",""Está enfermo o tiene una discapacidad"",""No pertenece a ningún pueblo indígena"",""Hombre"",236,""2017"",10202"
"32,""Ancud"",""No tiene con quien dejar a los niños"",""No pertenece a ningún pueblo indígena"",""Mujer"",46,""2017"",10202"
"33,""Ancud"",""Otra razón"",""Mapuche"",""Mujer"",103,""2017"",10202"
"34,""Ancud"",""Jubilado(a), pensionado(a) o montepiado(a)"",""Mapuche"",""Mujer"",103,""2017"",10202"
"35,""Ancud"",""Quehaceres del hogar"",""No pertenece a ningún pueblo indígena"",""Mujer"",92,""2017"",10202"
"36,""Andacollo"",""Jubilado(a), pensionado(a) o montepiado(a)"",""No pertenece a ningún pueblo indígena"",""Hombre"",7,""2017"",4103"
"37,""Andacollo"",""No tiene con quien dejar a los niños"",""No pertenece a ningún pueblo indígena"",""Mujer"",77,""2017"",4103"
"38,""Andacollo"",""Se cansó de buscar o cree que no hay trabajo disponible"",""No pertenece a ningún pueblo indígena"",""Mujer"",24,""2017"",4103"
"39,""Andacollo"",""Jubilado(a), pensionado(a) o montepiado(a)"",""No pertenece a ningún pueblo indígena"",""Mujer"",7,""2017"",4103"
"40,""Andacollo"",""Busca cuando realmente lo necesita o tiene trabajo esporádic"",""No pertenece a ningún pueblo indígena"",""Mujer"",13,""2017"",4103"
"41,""Andacollo"",""Quehaceres del hogar"",""No pertenece a ningún pueblo indígena"",""Mujer"",20,""2017"",4103"
"42,""Angol"",""Ofrecen sueldos muy bajos"",""No pertenece a ningún pueblo indígena"",""Mujer"",54,""2017"",9201"
"43,""Angol"",""Jubilado(a), pensionado(a) o montepiado(a)"",""No pertenece a ningún pueblo indígena"",""Mujer"",735,""2017"",9201"
"44,""Angol"",""Las reglas, horarios y distancias de los trabajos no le acom"",""Mapuche"",""Mujer"",58,""2017"",9201"
"45,""Angol"",""No tiene con quien dejar a otro familiar"",""No pertenece a ningún pueblo indígena"",""Mujer"",20,""2017"",9201"
"46,""Angol"",""Consiguió trabajo que empezará pronto o iniciará pronto una"",""No pertenece a ningún pueblo indígena"",""Hombre"",75,""2017"",9201"
"47,""Angol"",""No tiene con quien dejar a los niños"",""No pertenece a ningún pueblo indígena"",""Mujer"",131,""2017"",9201"
"48,""Angol"",""Quehaceres del hogar"",""No pertenece a ningún pueblo indígena"",""Mujer"",809,""2017"",9201"
"49,""Angol"",""Otra razón"",""No pertenece a ningún pueblo indígena"",""Mujer"",102,""2017"",9201"
"50,""Angol"",""Se cansó de buscar o cree que no hay trabajo disponible"",""No pertenece a ningún pueblo indígena"",""Hombre"",43,""2017"",9201"
"51,""Angol"",""Las reglas, horarios y distancias de los trabajos no le acom"",""No pertenece a ningún pueblo indígena"",""Mujer"",47,""2017"",9201"
"52,""Angol"",""No tiene con quien dejar a adultos mayores"",""No pertenece a ningún pueblo indígena"",""Mujer"",63,""2017"",9201"
"53,""Angol"",""Jubilado(a), pensionado(a) o montepiado(a)"",""No pertenece a ningún pueblo indígena"",""Hombre"",130,""2017"",9201"
"54,""Angol"",""Está enfermo o tiene una discapacidad"",""No pertenece a ningún pueblo indígena"",""Mujer"",172,""2017"",9201"
"55,""Angol"",""Está enfermo o tiene una discapacidad"",""No pertenece a ningún pueblo indígena"",""Hombre"",227,""2017"",9201"
"56,""Angol"",""Quehaceres del hogar"",""No pertenece a ningún pueblo indígena"",""Hombre"",41,""2017"",9201"
"57,""Angol"",""Jubilado(a), pensionado(a) o montepiado(a)"",""Mapuche"",""Hombre"",30,""2017"",9201"
"58,""Angol"",""Piensa que nadie le dará trabajo (porque no cuenta con la ca"",""No pertenece a ningún pueblo indígena"",""Hombre"",65,""2017"",9201"
"59,""Antofagasta"",""No tiene con quien dejar a otro familiar"",""Mapuche"",""Mujer"",73,""2017"",2101"
"60,""Antofagasta"",""No tiene con quien dejar a los niños"",""Aimara"",""Mujer"",249,""2017"",2101"
"61,""Antofagasta"",""Tiene otra fuente de ingreso (seguro de cesantía, mesadas, r"",""No pertenece a ningún pueblo indígena"",""Hombre"",71,""2017"",2101"
"62,""Antofagasta"",""Jubilado(a), pensionado(a) o montepiado(a)"",""No pertenece a ningún pueblo indígena"",""Hombre"",382,""2017"",2101"
"63,""Antofagasta"",""Tiene otra fuente de ingreso (seguro de cesantía, mesadas, r"",""No pertenece a ningún pueblo indígena"",""Mujer"",290,""2017"",2101"
"64,""Antofagasta"",""Piensa que nadie le dará trabajo (porque no cuenta con la ca"",""Aimara"",""Hombre"",67,""2017"",2101"
"65,""Antofagasta"",""Estudiante"",""No pertenece a ningún pueblo indígena"",""Mujer"",39,""2017"",2101"
"66,""Antofagasta"",""No tiene con quien dejar a otro familiar"",""No pertenece a ningún pueblo indígena"",""Mujer"",50,""2017"",2101"
"67,""Antofagasta"",""Jubilado(a), pensionado(a) o montepiado(a)"",""No pertenece a ningún pueblo indígena"",""Mujer"",656,""2017"",2101"
"68,""Antofagasta"",""Piensa que nadie le dará trabajo (porque no cuenta con la ca"",""No pertenece a ningún pueblo indígena"",""Mujer"",279,""2017"",2101"
"69,""Antofagasta"",""Quehaceres del hogar"",""No pertenece a ningún pueblo indígena"",""Mujer"",1824,""2017"",2101"
"70,""Antofagasta"",""No tiene interés en trabajar"",""No pertenece a ningún pueblo indígena"",""Mujer"",535,""2017"",2101"
"71,""Antofagasta"",""No tiene con quien dejar a otro familiar"",""Mapuche"",""Hombre"",73,""2017"",2101"
"72,""Antofagasta"",""Piensa que nadie le dará trabajo (porque no cuenta con la ca"",""No pertenece a ningún pueblo indígena"",""Hombre"",86,""2017"",2101"
"73,""Antofagasta"",""Las reglas, horarios y distancias de los trabajos no le acom"",""No pertenece a ningún pueblo indígena"",""Mujer"",173,""2017"",2101"
"74,""Antofagasta"",""No tiene con quien dejar a adultos mayores"",""No pertenece a ningún pueblo indígena"",""Hombre"",75,""2017"",2101"
"75,""Antofagasta"",""No tiene con quien dejar a adultos mayores"",""No pertenece a ningún pueblo indígena"",""Mujer"",256,""2017"",2101"
"76,""Antofagasta"",""Otra razón"",""No pertenece a ningún pueblo indígena"",""Mujer"",415,""2017"",2101"
"77,""Antofagasta"",""No tiene con quien dejar a los niños"",""No pertenece a ningún pueblo indígena"",""Mujer"",879,""2017"",2101"
"78,""Antofagasta"",""Está enfermo o tiene una discapacidad"",""No pertenece a ningún pueblo indígena"",""Hombre"",412,""2017"",2101"
