Origen,Corregido,,,,
atacameño (likan-antai),Atacameño (Likan-Antai),,,alto bío bío,Alto Biobío
aymara,Aymara,,,aisén ,Aysén
colla,Colla,,,algarrobo,Algarrobo
diaguita,Diaguita,,,algarrobo ,Algarrobo
kawashkar o alacalufes,Kawashkar (Alacalufes),,,alhué,Alhué
mapuche,Mapuche,,,alhué ,Alhué
mapuche ,Mapuche,,,alto biobío,Alto Biobío
no pertenece a ningún pueblo indígena,No pertenece a ningún pueblo indígena,,,alto del carmen,Alto del Carmen
No Sabe/No Responde,Ns/Nr,,,alto del carmen ,Alto del Carmen
quechua,Quechua,,,alto hospicio,Alto Hospicio
quechua ,Quechua,,,alto hospicio ,Alto Hospicio
rapa nui o pascuense,Rapa Nui (Pascuense),,,ancud,Ancud
sin dato,Sin dato,,,ancud ,Ancud
yagán o yámana,Yagán (Yámana),,,andacollo,Andacollo
,,,,andacollo ,Andacollo
,,,,angol,Angol
,,,,angol ,Angol
,,,,antofagasta,Antofagasta
atacameño (likán-antai),Atacameño (Likan-Antai),,,antofagasta ,Antofagasta
aymara,Aymara,,,antuco,Antuco
colla,Colla,,,antuco ,Antuco
diaguita,Diaguita,,,arauco,Arauco
kawashkar o alacalufes,Kawashkar (Alacalufes),,,arauco ,Arauco
mapuche,Mapuche,,,arica,Arica
no pertenece a ningún pueblo indígena,No indígena,,,arica ,Arica
No sabe/no responde,Ns/Nr,,,aysén,Aysén
quechua,Quechua,,,buin,Buin
rapa-nui o pascuenses,Rapa Nui (Pascuenses),,,buin ,Buin
sin dato,Sin Dato,,,bulnes,Bulnes
yámana o yagán,Yagán (Yámana),,,bulnes ,Bulnes
,,,,cabildo,Cabildo
,,,,cabildo ,Cabildo
,,,,cabo de hornos,Cabo de Hornos
,,,,cabo de hornos ,Cabo de Hornos
,,,,cabrero,Cabrero
,,,,cabrero ,Cabrero
,,,,calama,Calama
,,,,calama ,Calama
,,,,calbuco,Calbuco
,,,,calbuco ,Calbuco
,,,,caldera,Caldera
,,,,caldera ,Caldera
,,,,calera,Calera
,,,,calera de tango,Calera de Tango
,,,,calera de tango ,Calera de Tango
,,,,calle larga,Calle Larga
,,,,calle larga ,Calle Larga
,,,,camarones,Camarones
,,,,camarones ,Camarones
,,,,camiña,Camiña
,,,,camiña ,Camiña
,,,,canela,Canela
,,,,canela ,Canela
