"a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"Algarrobo","Asalariado","Mapuche","Mujer",88,"2017",5602
"Algarrobo","Asalariado","No pertenece a ningún pueblo indígena","Hombre",2400,"2017",5602
"Algarrobo","Familiar no Remunerado/ Inactivos y Desocupados","No pertenece a ningún pueblo indígena","Mujer",4093,"2017",5602
"Algarrobo","Patrón o empleador/ Trabajador Cuenta Propia","No pertenece a ningún pueblo indígena","Hombre",1114,"2017",5602
"Algarrobo","Menores de 12 años","No pertenece a ningún pueblo indígena","Hombre",1134,"2017",5602
"Algarrobo","Asalariado","No sabe/no responde","Hombre",99,"2017",5602
"Algarrobo","Menores de 12 años","No pertenece a ningún pueblo indígena","Mujer",1390,"2017",5602
"Algarrobo","Menores de 12 años","Mapuche","Mujer",129,"2017",5602
"Algarrobo","Patrón o empleador/ Trabajador Cuenta Propia","No pertenece a ningún pueblo indígena","Mujer",971,"2017",5602
"Algarrobo","Familiar no Remunerado/ Inactivos y Desocupados","Mapuche","Mujer",327,"2017",5602
"Algarrobo","Familiar no Remunerado/ Inactivos y Desocupados","Mapuche","Hombre",274,"2017",5602
"Algarrobo","Familiar no Remunerado/ Inactivos y Desocupados","No pertenece a ningún pueblo indígena","Hombre",2182,"2017",5602
"Algarrobo","Asalariado","Mapuche","Hombre",99,"2017",5602
"Algarrobo","Asalariado","No pertenece a ningún pueblo indígena","Mujer",1636,"2017",5602
"Alhué","Familiar no Remunerado/ Inactivos y Desocupados","Mapuche","Mujer",15,"2017",13502
"Alhué","Menores de 12 años","No pertenece a ningún pueblo indígena","Hombre",415,"2017",13502
"Alhué","Menores de 12 años","Mapuche","Hombre",56,"2017",13502
"Alhué","Patrón o empleador/ Trabajador Cuenta Propia","No pertenece a ningún pueblo indígena","Hombre",164,"2017",13502
"Alhué","Familiar no Remunerado/ Inactivos y Desocupados","Aimara","Mujer",16,"2017",13502
"Alhué","Patrón o empleador/ Trabajador Cuenta Propia","No pertenece a ningún pueblo indígena","Mujer",163,"2017",13502
"Alhué","Familiar no Remunerado/ Inactivos y Desocupados","No pertenece a ningún pueblo indígena","Hombre",692,"2017",13502
"Alhué","Asalariado","No pertenece a ningún pueblo indígena","Mujer",557,"2017",13502
"Alhué","Asalariado","Mapuche","Hombre",16,"2017",13502
"Alhué","Asalariado","No pertenece a ningún pueblo indígena","Hombre",1075,"2017",13502
"Alhué","Familiar no Remunerado/ Inactivos y Desocupados","No pertenece a ningún pueblo indígena","Mujer",982,"2017",13502
"Alhué","Menores de 12 años","No pertenece a ningún pueblo indígena","Mujer",364,"2017",13502
"Alto Biobío","Familiar no Remunerado/ Inactivos y Desocupados","Mapuche","Mujer",1586,"2017",8314
"Alto Biobío","Familiar no Remunerado/ Inactivos y Desocupados","No sabe/no responde","Mujer",12,"2017",8314
"Alto Biobío","Patrón o empleador/ Trabajador Cuenta Propia","No sabe/no responde","Hombre",12,"2017",8314
"Alto Biobío","Patrón o empleador/ Trabajador Cuenta Propia","Mapuche","Mujer",270,"2017",8314
"Alto Biobío","Patrón o empleador/ Trabajador Cuenta Propia","Mapuche","Hombre",210,"2017",8314
"Alto Biobío","Familiar no Remunerado/ Inactivos y Desocupados","No sabe/no responde","Hombre",12,"2017",8314
"Alto Biobío","Patrón o empleador/ Trabajador Cuenta Propia","No pertenece a ningún pueblo indígena","Hombre",150,"2017",8314
"Alto Biobío","Familiar no Remunerado/ Inactivos y Desocupados","No pertenece a ningún pueblo indígena","Mujer",792,"2017",8314
"Alto Biobío","Asalariado","No pertenece a ningún pueblo indígena","Hombre",392,"2017",8314
"Alto Biobío","Familiar no Remunerado/ Inactivos y Desocupados","Quechua","Hombre",102,"2017",8314
"Alto Biobío","Asalariado","No sabe/no responde","Mujer",12,"2017",8314
"Alto Biobío","Menores de 12 años","No sabe/no responde","Mujer",12,"2017",8314
"Alto Biobío","Menores de 12 años","No pertenece a ningún pueblo indígena","Mujer",488,"2017",8314
"Alto Biobío","Patrón o empleador/ Trabajador Cuenta Propia","No pertenece a ningún pueblo indígena","Mujer",32,"2017",8314
"Alto Biobío","Asalariado","Mapuche","Mujer",576,"2017",8314
"Alto Biobío","Menores de 12 años","Mapuche","Hombre",484,"2017",8314
"Alto Biobío","Menores de 12 años","No pertenece a ningún pueblo indígena","Hombre",266,"2017",8314
"Alto Biobío","Asalariado","No pertenece a ningún pueblo indígena","Mujer",364,"2017",8314
"Alto Biobío","Familiar no Remunerado/ Inactivos y Desocupados","No pertenece a ningún pueblo indígena","Hombre",358,"2017",8314
"Alto Biobío","Menores de 12 años","Mapuche","Mujer",914,"2017",8314
"Alto Biobío","Familiar no Remunerado/ Inactivos y Desocupados","Mapuche","Hombre",2080,"2017",8314
"Alto Biobío","Asalariado","Mapuche","Hombre",292,"2017",8314
"Alto del Carmen","Patrón o empleador/ Trabajador Cuenta Propia","No pertenece a ningún pueblo indígena","Mujer",140,"2017",3302
"Alto del Carmen","Familiar no Remunerado/ Inactivos y Desocupados","No pertenece a ningún pueblo indígena","Mujer",799,"2017",3302
"Alto del Carmen","Asalariado","No pertenece a ningún pueblo indígena","Mujer",167,"2017",3302
"Alto del Carmen","Patrón o empleador/ Trabajador Cuenta Propia","Diaguita","Mujer",155,"2017",3302
"Alto del Carmen","Patrón o empleador/ Trabajador Cuenta Propia","Kawashkar o Alacalufes","Mujer",70,"2017",3302
"Alto del Carmen","Asalariado","Diaguita","Mujer",256,"2017",3302
"Alto del Carmen","Menores de 12 años","Diaguita","Hombre",194,"2017",3302
"Alto del Carmen","Asalariado","No pertenece a ningún pueblo indígena","Hombre",384,"2017",3302
"Alto del Carmen","Menores de 12 años","No pertenece a ningún pueblo indígena","Mujer",70,"2017",3302
"Alto del Carmen","Asalariado","Diaguita","Hombre",275,"2017",3302
"Alto del Carmen","Familiar no Remunerado/ Inactivos y Desocupados","Kawashkar o Alacalufes","Mujer",31,"2017",3302
"Alto del Carmen","Familiar no Remunerado/ Inactivos y Desocupados","Mapuche","Hombre",31,"2017",3302
"Alto del Carmen","Familiar no Remunerado/ Inactivos y Desocupados","Diaguita","Mujer",426,"2017",3302
"Alto del Carmen","Menores de 12 años","No pertenece a ningún pueblo indígena","Hombre",124,"2017",3302
"Alto del Carmen","Patrón o empleador/ Trabajador Cuenta Propia","No pertenece a ningún pueblo indígena","Hombre",225,"2017",3302
"Alto del Carmen","Familiar no Remunerado/ Inactivos y Desocupados","Diaguita","Hombre",174,"2017",3302
