Comuna,Trabajo,Etnia,Sexo,Freq,anio,codigo
Algarrobo,No,No pertenece a ningún pueblo indígena,Mujer,3036,2017,5602
Algarrobo,Si ahora mismo,No pertenece a ningún pueblo indígena,Mujer,707,2017,5602
Algarrobo,Sí en otra época del año,No pertenece a ningún pueblo indígena,Mujer,309,2017,5602
Algarrobo,Si ahora mismo,Mapuche,Mujer,88,2017,5602
Algarrobo,No,No pertenece a ningún pueblo indígena,Hombre,1353,2017,5602
Algarrobo,Si ahora mismo,Mapuche,Hombre,185,2017,5602
Algarrobo,Sí en otra época del año,No pertenece a ningún pueblo indígena,Hombre,41,2017,5602
Algarrobo,No,Mapuche,Hombre,89,2017,5602
Algarrobo,No,Mapuche,Mujer,239,2017,5602
Algarrobo,Si ahora mismo,No pertenece a ningún pueblo indígena,Hombre,788,2017,5602
Alhué,Sí en otra época del año,Aimara,Mujer,16,2017,13502
Alhué,Si ahora mismo,No pertenece a ningún pueblo indígena,Hombre,155,2017,13502
Alhué,No,Mapuche,Mujer,15,2017,13502
Alhué,Si ahora mismo,No pertenece a ningún pueblo indígena,Mujer,142,2017,13502
Alhué,No sabe/no responde,No pertenece a ningún pueblo indígena,Hombre,16,2017,13502
Alhué,No sabe/no responde,No pertenece a ningún pueblo indígena,Mujer,15,2017,13502
Alhué,No,No pertenece a ningún pueblo indígena,Hombre,489,2017,13502
Alhué,Sí en otra época del año,No pertenece a ningún pueblo indígena,Mujer,82,2017,13502
Alhué,No,No pertenece a ningún pueblo indígena,Mujer,729,2017,13502
Alhué,Sí en otra época del año,No pertenece a ningún pueblo indígena,Hombre,32,2017,13502
Alto Biobío,No,Quechua,Hombre,102,2017,8314
Alto Biobío,Si ahora mismo,No pertenece a ningún pueblo indígena,Hombre,190,2017,8314
Alto Biobío,Sí en otra época del año,No pertenece a ningún pueblo indígena,Hombre,8,2017,8314
Alto Biobío,No,No sabe/no responde,Hombre,12,2017,8314
Alto Biobío,No,No pertenece a ningún pueblo indígena,Mujer,578,2017,8314
Alto Biobío,No,Mapuche,Hombre,1438,2017,8314
Alto Biobío,Si ahora mismo,No pertenece a ningún pueblo indígena,Mujer,166,2017,8314
Alto Biobío,No,No pertenece a ningún pueblo indígena,Hombre,160,2017,8314
Alto Biobío,Si ahora mismo,Mapuche,Mujer,374,2017,8314
Alto Biobío,Si ahora mismo,Mapuche,Hombre,438,2017,8314
Alto Biobío,Sí en otra época del año,Mapuche,Mujer,140,2017,8314
