Comuna,Trabajo,Etnia,Sexo,Freq,anio,codigo
alto hospicio,sí en otra época del año,quechua,hombre,21,2015,1107
alto hospicio,no,atacameño (likán-antai),mujer,30,2015,1107
alto hospicio,no,collas,hombre,38,2015,1107
alto hospicio,no,quechua,hombre,165,2015,1107
alto hospicio,sí en otra época del año,quechua,mujer,27,2015,1107
alto hospicio,no,diaguita,mujer,158,2015,1107
alto hospicio,sí ahora mismo,aimara,mujer,491,2015,1107
alto hospicio,sí ahora mismo,atacameño (likán-antai),mujer,69,2015,1107
alto hospicio,sí en otra época del año,mapuche,mujer,37,2015,1107
alto hospicio,no,mapuche,hombre,202,2015,1107
alto hospicio,no,aimara,mujer,2669,2015,1107
alto hospicio,no,mapuche,mujer,499,2015,1107
alto hospicio,sí ahora mismo,quechua,mujer,78,2015,1107
alto hospicio,sí en otra época del año,aimara,hombre,37,2015,1107
alto hospicio,no,no pertenece a ningún pueblo indígena,hombre,8803,2015,1107
alto hospicio,sí ahora mismo,aimara,hombre,147,2015,1107
alto hospicio,sí ahora mismo,quechua,hombre,78,2015,1107
alto hospicio,sí en otra época del año,mapuche,hombre,123,2015,1107
alto hospicio,sí ahora mismo,sin dato,mujer,27,2015,1107
alto hospicio,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,3241,2015,1107
alto hospicio,sí ahora mismo,diaguita,hombre,71,2015,1107
alto hospicio,sí en otra época del año,aimara,mujer,303,2015,1107
alto hospicio,no,sin dato,hombre,27,2015,1107
alto hospicio,no,no pertenece a ningún pueblo indígena,mujer,16453,2015,1107
alto hospicio,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,2589,2015,1107
alto hospicio,no,aimara,hombre,776,2015,1107
alto hospicio,sí ahora mismo,mapuche,mujer,117,2015,1107
alto hospicio,no,diaguita,hombre,74,2015,1107
alto hospicio,sí en otra época del año,atacameño (likán-antai),mujer,92,2015,1107
alto hospicio,no,quechua,mujer,137,2015,1107
alto hospicio,sí en otra época del año,diaguita,mujer,38,2015,1107
alto hospicio,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,3896,2015,1107
alto hospicio,sí ahora mismo,mapuche,hombre,60,2015,1107
alto hospicio,sí ahora mismo,atacameño (likán-antai),hombre,31,2015,1107
alto hospicio,no,atacameño (likán-antai),hombre,42,2015,1107
alto hospicio,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,1308,2015,1107
ancud,sí ahora mismo,aimara,hombre,28,2015,10202
ancud,sí en otra época del año,mapuche,mujer,525,2015,10202
ancud,no,mapuche,hombre,1083,2015,10202
ancud,sí ahora mismo,mapuche,hombre,248,2015,10202
ancud,no,kawashkar o alacalufes,mujer,29,2015,10202
ancud,no,mapuche,mujer,1599,2015,10202
ancud,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,697,2015,10202
ancud,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,565,2015,10202
ancud,sí en otra época del año,mapuche,hombre,211,2015,10202
ancud,sí ahora mismo,aimara,mujer,28,2015,10202
ancud,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,764,2015,10202
ancud,no,no pertenece a ningún pueblo indígena,mujer,6159,2015,10202
ancud,sí ahora mismo,mapuche,mujer,421,2015,10202
ancud,no,aimara,mujer,28,2015,10202
ancud,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,1496,2015,10202
ancud,no,no pertenece a ningún pueblo indígena,hombre,3580,2015,10202
angol,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,1942,2015,9201
angol,no,atacameño (likán-antai),mujer,23,2015,9201
angol,sí en otra época del año,aimara,mujer,46,2015,9201
angol,sí en otra época del año,mapuche,hombre,56,2015,9201
angol,no,no pertenece a ningún pueblo indígena,mujer,9938,2015,9201
angol,sí en otra época del año,mapuche,mujer,156,2015,9201
angol,no,collas,hombre,172,2015,9201
angol,no,no pertenece a ningún pueblo indígena,hombre,3916,2015,9201
angol,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,2549,2015,9201
angol,sí ahora mismo,mapuche,hombre,39,2015,9201
angol,no,aimara,hombre,34,2015,9201
angol,sin dato,no pertenece a ningún pueblo indígena,mujer,30,2015,9201
angol,no,aimara,mujer,22,2015,9201
angol,no,mapuche,hombre,197,2015,9201
angol,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,1204,2015,9201
angol,no,mapuche,mujer,368,2015,9201
angol,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,825,2015,9201
angol,sí ahora mismo,mapuche,mujer,250,2015,9201
antofagasta,sí ahora mismo,aimara,mujer,84,2015,2101
antofagasta,sí en otra época del año,mapuche,hombre,712,2015,2101
antofagasta,no,quechua,mujer,102,2015,2101
antofagasta,sí en otra época del año,diaguita,mujer,1422,2015,2101
antofagasta,no,no pertenece a ningún pueblo indígena,hombre,21295,2015,2101
antofagasta,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,43802,2015,2101
antofagasta,sí en otra época del año,diaguita,hombre,96,2015,2101
antofagasta,sí en otra época del año,aimara,hombre,307,2015,2101
antofagasta,sí en otra época del año,aimara,mujer,204,2015,2101
antofagasta,no,mapuche,hombre,1052,2015,2101
antofagasta,no,no pertenece a ningún pueblo indígena,mujer,43827,2015,2101
antofagasta,no,mapuche,mujer,715,2015,2101
antofagasta,no,aimara,mujer,84,2015,2101
antofagasta,sí ahora mismo,mapuche,mujer,250,2015,2101
antofagasta,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,5451,2015,2101
antofagasta,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,9038,2015,2101
antofagasta,no,atacameño (likán-antai),hombre,88,2015,2101
antofagasta,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,18963,2015,2101
antofagasta,no,atacameño (likán-antai),mujer,219,2015,2101
antofagasta,no,diaguita,mujer,412,2015,2101
antofagasta,no,diaguita,hombre,96,2015,2101
antofagasta,sí en otra época del año,mapuche,mujer,748,2015,2101
arauco,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,875,2015,8202
arauco,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,3002,2015,8202
arauco,sí ahora mismo,mapuche,hombre,48,2015,8202
arauco,sí ahora mismo,mapuche,mujer,73,2015,8202
arauco,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,1535,2015,8202
arauco,sí en otra época del año,mapuche,mujer,111,2015,8202
arauco,no,no pertenece a ningún pueblo indígena,mujer,9384,2015,8202
arauco,no,no pertenece a ningún pueblo indígena,hombre,6031,2015,8202
arauco,no,mapuche,hombre,554,2015,8202
arauco,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,1481,2015,8202
arauco,sí en otra época del año,mapuche,hombre,186,2015,8202
arauco,no,mapuche,mujer,739,2015,8202
arica,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,1885,2015,15101
arica,sí en otra época del año,quechua,mujer,101,2015,15101
arica,sí ahora mismo,collas,hombre,86,2015,15101
arica,sí ahora mismo,collas,mujer,86,2015,15101
arica,sí ahora mismo,aimara,hombre,373,2015,15101
arica,sí en otra época del año,diaguita,mujer,80,2015,15101
arica,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,4719,2015,15101
arica,no,mapuche,hombre,498,2015,15101
arica,sí en otra época del año,mapuche,hombre,122,2015,15101
arica,sí en otra época del año,mapuche,mujer,149,2015,15101
arica,sí ahora mismo,mapuche,hombre,102,2015,15101
arica,no,collas,mujer,77,2015,15101
arica,no,aimara,hombre,4103,2015,15101
arica,no,no pertenece a ningún pueblo indígena,mujer,24407,2015,15101
arica,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,3803,2015,15101
arica,no,aimara,mujer,5103,2015,15101
arica,no,diaguita,hombre,96,2015,15101
arica,sí en otra época del año,aimara,mujer,529,2015,15101
arica,no,collas,hombre,77,2015,15101
arica,no,quechua,hombre,288,2015,15101
arica,no,quechua,mujer,454,2015,15101
arica,no,no pertenece a ningún pueblo indígena,hombre,15157,2015,15101
arica,sí ahora mismo,diaguita,mujer,61,2015,15101
arica,no,mapuche,mujer,382,2015,15101
arica,no,diaguita,mujer,368,2015,15101
arica,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,2391,2015,15101
arica,sí en otra época del año,aimara,hombre,802,2015,15101
arica,sí ahora mismo,diaguita,hombre,58,2015,15101
arica,sí ahora mismo,aimara,mujer,1441,2015,15101
aysén,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,970,2015,11201
aysén,sí ahora mismo,mapuche,mujer,86,2015,11201
aysén,no,quechua,mujer,21,2015,11201
aysén,no,no pertenece a ningún pueblo indígena,mujer,2689,2015,11201
aysén,no,no pertenece a ningún pueblo indígena,hombre,1327,2015,11201
aysén,sí ahora mismo,mapuche,hombre,285,2015,11201
aysén,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,375,2015,11201
aysén,no,mapuche,mujer,1236,2015,11201
aysén,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,459,2015,11201
aysén,sí en otra época del año,mapuche,mujer,619,2015,11201
aysén,no,aimara,mujer,41,2015,11201
aysén,no,mapuche,hombre,508,2015,11201
aysén,sí en otra época del año,mapuche,hombre,332,2015,11201
aysén,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,1399,2015,11201
calama,no,quechua,mujer,920,2015,2201
calama,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,5292,2015,2201
calama,sí ahora mismo,atacameño (likán-antai),mujer,341,2015,2201
calama,no,atacameño (likán-antai),mujer,3595,2015,2201
calama,no,no pertenece a ningún pueblo indígena,hombre,7857,2015,2201
calama,sí en otra época del año,mapuche,mujer,235,2015,2201
calama,sí ahora mismo,aimara,hombre,152,2015,2201
calama,sí en otra época del año,quechua,hombre,268,2015,2201
calama,sí en otra época del año,aimara,hombre,146,2015,2201
calama,no,diaguita,mujer,176,2015,2201
calama,sí en otra época del año,atacameño (likán-antai),hombre,112,2015,2201
calama,sí en otra época del año,diaguita,mujer,131,2015,2201
calama,sí ahora mismo,mapuche,mujer,144,2015,2201
calama,no,mapuche,hombre,256,2015,2201
calama,no,mapuche,mujer,673,2015,2201
calama,no,no pertenece a ningún pueblo indígena,mujer,17613,2015,2201
calama,no,quechua,hombre,840,2015,2201
calama,sí ahora mismo,atacameño (likán-antai),hombre,783,2015,2201
calama,sí en otra época del año,mapuche,hombre,115,2015,2201
calama,sin dato,atacameño (likán-antai),mujer,89,2015,2201
calama,sí en otra época del año,atacameño (likán-antai),mujer,659,2015,2201
calama,no,diaguita,hombre,353,2015,2201
