Comuna,Trabajo,Etnia,Sexo,Freq,anio,codigo
algarrobo,no,no pertenece a ningún pueblo indígena,hombre,1113,2011,5602
algarrobo,no,no pertenece a ningún pueblo indígena,mujer,2196,2011,5602
algarrobo,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,515,2011,5602
algarrobo,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,1848,2011,5602
algarrobo,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,228,2011,5602
algarrobo,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,684,2011,5602
alhué,no,no pertenece a ningún pueblo indígena,mujer,486,2011,13502
alhué,no,no pertenece a ningún pueblo indígena,hombre,285,2011,13502
alhué,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,230,2011,13502
alhué,no,mapuche,mujer,27,2011,13502
alhué,sí en otra época del año,mapuche,mujer,18,2011,13502
alhué,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,260,2011,13502
alhué,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,183,2011,13502
alhué,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,117,2011,13502
alto biobío,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,100,2011,8314
alto biobío,no,no pertenece a ningún pueblo indígena,hombre,7,2011,8314
alto biobío,no,mapuche,mujer,592,2011,8314
alto biobío,sí en otra época del año,mapuche,hombre,451,2011,8314
alto biobío,no,no pertenece a ningún pueblo indígena,mujer,55,2011,8314
alto biobío,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,278,2011,8314
alto biobío,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,111,2011,8314
alto biobío,sí en otra época del año,mapuche,mujer,1123,2011,8314
alto biobío,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,172,2011,8314
alto biobío,sí ahora mismo,mapuche,hombre,441,2011,8314
alto biobío,sí ahora mismo,mapuche,mujer,1395,2011,8314
alto biobío,no,mapuche,hombre,287,2011,8314
alto del carmen,no,no pertenece a ningún pueblo indígena,hombre,220,2011,3302
alto del carmen,no,no pertenece a ningún pueblo indígena,mujer,483,2011,3302
alto del carmen,sí en otra época del año,diaguita,hombre,15,2011,3302
alto del carmen,no,diaguita,hombre,122,2011,3302
alto del carmen,sí ahora mismo,diaguita,hombre,57,2011,3302
alto del carmen,no,diaguita,mujer,363,2011,3302
alto del carmen,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,33,2011,3302
alto del carmen,sí ahora mismo,diaguita,mujer,72,2011,3302
alto del carmen,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,43,2011,3302
alto del carmen,sí en otra época del año,diaguita,mujer,18,2011,3302
alto del carmen,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,232,2011,3302
alto del carmen,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,81,2011,3302
alto hospicio,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,1551,2011,1107
alto hospicio,sí en otra época del año,aymara,hombre,596,2011,1107
alto hospicio,no,quechua,hombre,76,2011,1107
alto hospicio,sí en otra época del año,mapuche,hombre,129,2011,1107
alto hospicio,sí en otra época del año,mapuche,mujer,248,2011,1107
alto hospicio,no,diaguita,hombre,88,2011,1107
alto hospicio,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,4974,2011,1107
alto hospicio,sí ahora mismo,diaguita,mujer,19,2011,1107
alto hospicio,sí ahora mismo,mapuche,mujer,191,2011,1107
alto hospicio,sí ahora mismo,mapuche,hombre,27,2011,1107
alto hospicio,no,diaguita,mujer,154,2011,1107
alto hospicio,no,atacameño (likán antai),hombre,34,2011,1107
alto hospicio,sí ahora mismo,aymara,hombre,304,2011,1107
alto hospicio,sí ahora mismo,quechua,hombre,10,2011,1107
alto hospicio,no,quechua,mujer,179,2011,1107
alto hospicio,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,2238,2011,1107
alto hospicio,sí en otra época del año,quechua,mujer,135,2011,1107
alto hospicio,sí en otra época del año,diaguita,hombre,8,2011,1107
alto hospicio,sí en otra época del año,atacameño (likán antai),mujer,26,2011,1107
alto hospicio,no,aymara,mujer,1827,2011,1107
alto hospicio,no,mapuche,mujer,478,2011,1107
alto hospicio,no,mapuche,hombre,188,2011,1107
alto hospicio,sí en otra época del año,quechua,hombre,8,2011,1107
alto hospicio,no,no pertenece a ningún pueblo indígena,hombre,6627,2011,1107
alto hospicio,sí en otra época del año,aymara,mujer,751,2011,1107
