;Comuna;Trabajo;Etnia;Sexo;Freq;anio;codigo
1;aisén ;sí, en otra época del año;mapuche ;mujer;149;2006;11201
2;aisén ;no;kawaskar;hombre;35;2006;11201
3;aisén ;si, ahora mismo;no pertenece a ningún pueblo indígena;hombre;151;2006;11201
4;aisén ;sí, en otra época del año;no pertenece a ningún pueblo indígena;mujer;1781;2006;11201
5;aisén ;sí, en otra época del año;no pertenece a ningún pueblo indígena;hombre;848;2006;11201
6;aisén ;no;mapuche ;hombre;202;2006;11201
7;aisén ;sí, en otra época del año;mapuche ;hombre;53;2006;11201
8;aisén ;no;no pertenece a ningún pueblo indígena;hombre;1508;2006;11201
9;aisén ;si, ahora mismo;mapuche ;mujer;35;2006;11201
10;aisén ;no;no pertenece a ningún pueblo indígena;mujer;3227;2006;11201
11;aisén ;no;mapuche ;mujer;526;2006;11201
12;aisén ;si, ahora mismo;no pertenece a ningún pueblo indígena;mujer;168;2006;11201
13;algarrobo ;sí, en otra época del año;no pertenece a ningún pueblo indígena;mujer;421;2006;5602
14;algarrobo ;si, ahora mismo;no pertenece a ningún pueblo indígena;mujer;238;2006;5602
15;algarrobo ;si, ahora mismo;no pertenece a ningún pueblo indígena;hombre;118;2006;5602
16;algarrobo ;no;no pertenece a ningún pueblo indígena;hombre;1118;2006;5602
17;algarrobo ;no;mapuche ;mujer;53;2006;5602
18;algarrobo ;sí, en otra época del año;no pertenece a ningún pueblo indígena;hombre;173;2006;5602
19;algarrobo ;no;no pertenece a ningún pueblo indígena;mujer;2077;2006;5602
20;algarrobo ;sí, en otra época del año;mapuche ;mujer;16;2006;5602
21;alhué ;sí, en otra época del año;no pertenece a ningún pueblo indígena;hombre;14;2006;13502
22;alhué ;si, ahora mismo;no pertenece a ningún pueblo indígena;mujer;72;2006;13502
23;alhué ;no;mapuche ;hombre;22;2006;13502
24;alhué ;sí, en otra época del año;no pertenece a ningún pueblo indígena;mujer;44;2006;13502
25;alhué ;no;no pertenece a ningún pueblo indígena;mujer;1112;2006;13502
26;alhué ;si, ahora mismo;mapuche ;mujer;8;2006;13502
27;alhué ;no;no pertenece a ningún pueblo indígena;hombre;559;2006;13502
28;alhué ;si, ahora mismo;no pertenece a ningún pueblo indígena;hombre;54;2006;13502
29;alhué ;no;mapuche ;mujer;20;2006;13502
30;alto bío bío ;si, ahora mismo;no pertenece a ningún pueblo indígena;mujer;14;2006;8314
31;alto bío bío ;no;mapuche ;mujer;1951;2006;8314
32;alto bío bío ;no;mapuche ;hombre;689;2006;8314
33;alto bío bío ;no;no pertenece a ningún pueblo indígena;mujer;616;2006;8314
34;alto bío bío ;si, ahora mismo;mapuche ;mujer;45;2006;8314
35;alto bío bío ;sí, en otra época del año;mapuche ;hombre;37;2006;8314
36;alto bío bío ;no;no pertenece a ningún pueblo indígena;hombre;274;2006;8314
37;alto bío bío ;si, ahora mismo;no pertenece a ningún pueblo indígena;hombre;8;2006;8314
38;alto bío bío ;sí, en otra época del año;no pertenece a ningún pueblo indígena;mujer;26;2006;8314
39;alto bío bío ;si, ahora mismo;mapuche ;hombre;56;2006;8314
40;alto bío bío ;sí, en otra época del año;mapuche ;mujer;68;2006;8314
41;alto bío bío ;sí, en otra época del año;no pertenece a ningún pueblo indígena;hombre;36;2006;8314
42;alto del carmen ;no;no pertenece a ningún pueblo indígena;hombre;446;2006;3302
43;alto del carmen ;no;diaguita;mujer;184;2006;3302
44;alto del carmen ;no;diaguita;hombre;144;2006;3302
45;alto del carmen ;no;aymara;mujer;9;2006;3302
46;alto del carmen ;si, ahora mismo;no pertenece a ningún pueblo indígena;hombre;27;2006;3302
47;alto del carmen ;sí, en otra época del año;diaguita;hombre;14;2006;3302
48;alto del carmen ;si, ahora mismo;no pertenece a ningún pueblo indígena;mujer;8;2006;3302
49;alto del carmen ;sí, en otra época del año;no pertenece a ningún pueblo indígena;hombre;13;2006;3302
50;alto del carmen ;no;sin dato;mujer;7;2006;3302
51;alto del carmen ;no;aymara;hombre;9;2006;3302
52;alto del carmen ;no;no pertenece a ningún pueblo indígena;mujer;708;2006;3302
53;alto del carmen ;sí, en otra época del año;diaguita;mujer;32;2006;3302
54;alto del carmen ;sí, en otra época del año;no pertenece a ningún pueblo indígena;mujer;60;2006;3302
55;alto hospicio ;sí, en otra época del año;aymara;hombre;74;2006;1107
56;alto hospicio ;si, ahora mismo;no pertenece a ningún pueblo indígena;mujer;705;2006;1107
57;alto hospicio ;si, ahora mismo;mapuche ;mujer;308;2006;1107
58;alto hospicio ;no;mapuche ;mujer;265;2006;1107
59;alto hospicio ;no;aymara;hombre;879;2006;1107
60;alto hospicio ;no;quechua ;mujer;74;2006;1107
61;alto hospicio ;sí, en otra época del año;sin dato;hombre;308;2006;1107
62;alto hospicio ;no;aymara;mujer;2226;2006;1107
63;alto hospicio ;no;mapuche ;hombre;74;2006;1107
64;alto hospicio ;sí, en otra época del año;aymara;mujer;71;2006;1107
65;alto hospicio ;no;no pertenece a ningún pueblo indígena;hombre;6223;2006;1107
66;alto hospicio ;sí, en otra época del año;sin dato;mujer;616;2006;1107
67;alto hospicio ;sí, en otra época del año;no pertenece a ningún pueblo indígena;mujer;3282;2006;1107
68;alto hospicio ;si, ahora mismo;no pertenece a ningún pueblo indígena;hombre;36;2006;1107
69;alto hospicio ;no;no pertenece a ningún pueblo indígena;mujer;9172;2006;1107
70;alto hospicio ;sí, en otra época del año;no pertenece a ningún pueblo indígena;hombre;747;2006;1107
71;ancud ;sí, en otra época del año;mapuche ;hombre;216;2006;10202
72;ancud ;no;mapuche ;hombre;485;2006;10202
73;ancud ;sí, en otra época del año;no pertenece a ningún pueblo indígena;hombre;946;2006;10202
74;ancud ;no;no pertenece a ningún pueblo indígena;mujer;5943;2006;10202
75;ancud ;no;no pertenece a ningún pueblo indígena;hombre;3082;2006;10202
76;ancud ;no;mapuche ;mujer;1417;2006;10202
77;ancud ;sí, en otra época del año;no pertenece a ningún pueblo indígena;mujer;1688;2006;10202
78;ancud ;si, ahora mismo;no pertenece a ningún pueblo indígena;hombre;302;2006;10202
79;ancud ;sí, en otra época del año;mapuche ;mujer;403;2006;10202
80;ancud ;si, ahora mismo;no pertenece a ningún pueblo indígena;mujer;494;2006;10202
81;andacollo ;no;no pertenece a ningún pueblo indígena;hombre;890;2006;4103
82;andacollo ;no;no pertenece a ningún pueblo indígena;mujer;2356;2006;4103
83;andacollo ;sí, en otra época del año;no pertenece a ningún pueblo indígena;hombre;361;2006;4103
84;andacollo ;sí, en otra época del año;no pertenece a ningún pueblo indígena;mujer;684;2006;4103
85;andacollo ;si, ahora mismo;no pertenece a ningún pueblo indígena;mujer;85;2006;4103
86;andacollo ;si, ahora mismo;no pertenece a ningún pueblo indígena;hombre;45;2006;4103
87;angol ;no;no pertenece a ningún pueblo indígena;hombre;5681;2006;9201
88;angol ;no;mapuche ;hombre;235;2006;9201
89;angol ;no;no pertenece a ningún pueblo indígena;mujer;8181;2006;9201
90;angol ;si, ahora mismo;mapuche ;hombre;118;2006;9201
91;angol ;si, ahora mismo;no pertenece a ningún pueblo indígena;hombre;363;2006;9201
92;angol ;sí, en otra época del año;no pertenece a ningún pueblo indígena;mujer;1737;2006;9201
93;angol ;no;mapuche ;mujer;685;2006;9201
