Comuna,Trabajo,Etnia,Sexo,Freq,anio,codigo
algarrobo,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,160,2013,5602
algarrobo,sí ahora mismo,mapuche,mujer,32,2013,5602
algarrobo,no,no pertenece a ningún pueblo indígena,hombre,607,2013,5602
algarrobo,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,864,2013,5602
algarrobo,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,877,2013,5602
algarrobo,no,mapuche,mujer,132,2013,5602
algarrobo,no,no pertenece a ningún pueblo indígena,mujer,3206,2013,5602
algarrobo,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,302,2013,5602
alhué,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,115,2013,13502
alhué,no,no pertenece a ningún pueblo indígena,mujer,683,2013,13502
alhué,no,no pertenece a ningún pueblo indígena,hombre,279,2013,13502
alhué,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,593,2013,13502
alhué,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,136,2013,13502
alhué,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,451,2013,13502
alto biobío,no,aymara,mujer,113,2013,8314
alto biobío,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,37,2013,8314
alto biobío,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,25,2013,8314
alto biobío,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,37,2013,8314
alto biobío,no,mapuche,mujer,2885,2013,8314
alto biobío,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,75,2013,8314
alto biobío,sí ahora mismo,mapuche,mujer,286,2013,8314
alto biobío,no,no pertenece a ningún pueblo indígena,mujer,293,2013,8314
alto biobío,no,mapuche,hombre,2511,2013,8314
alto biobío,sí en otra época del año,mapuche,mujer,13,2013,8314
alto biobío,no,no pertenece a ningún pueblo indígena,hombre,104,2013,8314
alto biobío,sí ahora mismo,aymara,hombre,12,2013,8314
alto biobío,no,aymara,hombre,12,2013,8314
alto biobío,sí en otra época del año,mapuche,hombre,125,2013,8314
alto biobío,sí ahora mismo,mapuche,hombre,147,2013,8314
alto del carmen,sí en otra época del año,diaguita,hombre,36,2013,3302
alto del carmen,no,mapuche,mujer,18,2013,3302
alto del carmen,no,no pertenece a ningún pueblo indígena,hombre,73,2013,3302
alto del carmen,no,no pertenece a ningún pueblo indígena,mujer,194,2013,3302
alto del carmen,no,diaguita,mujer,961,2013,3302
alto del carmen,sí ahora mismo,diaguita,hombre,36,2013,3302
alto del carmen,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,12,2013,3302
alto del carmen,sí en otra época del año,diaguita,mujer,30,2013,3302
alto del carmen,sí ahora mismo,diaguita,mujer,121,2013,3302
alto del carmen,no,diaguita,hombre,656,2013,3302
alto hospicio,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,1867,2013,1107
alto hospicio,ns/nr,no pertenece a ningún pueblo indígena,hombre,38,2013,1107
alto hospicio,sí ahora mismo,diaguita,hombre,23,2013,1107
alto hospicio,sí ahora mismo,coya,hombre,17,2013,1107
alto hospicio,sí ahora mismo,aymara,hombre,372,2013,1107
alto hospicio,no,aymara,mujer,2351,2013,1107
alto hospicio,no,ns/nr,mujer,20,2013,1107
alto hospicio,no,no pertenece a ningún pueblo indígena,hombre,8104,2013,1107
alto hospicio,sí en otra época del año,mapuche,hombre,40,2013,1107
alto hospicio,no,diaguita,hombre,215,2013,1107
alto hospicio,no,mapuche,hombre,668,2013,1107
alto hospicio,no,mapuche,mujer,992,2013,1107
alto hospicio,sí ahora mismo,mapuche,hombre,109,2013,1107
alto hospicio,sí en otra época del año,quechua,mujer,79,2013,1107
alto hospicio,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,1865,2013,1107
alto hospicio,sí en otra época del año,diaguita,mujer,115,2013,1107
alto hospicio,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,2486,2013,1107
alto hospicio,no,coya,mujer,51,2013,1107
alto hospicio,ns/nr,no pertenece a ningún pueblo indígena,mujer,36,2013,1107
alto hospicio,sí en otra época del año,mapuche,mujer,104,2013,1107
alto hospicio,ns/nr,mapuche,mujer,28,2013,1107
alto hospicio,sí ahora mismo,mapuche,mujer,183,2013,1107
alto hospicio,ns/nr,mapuche,hombre,28,2013,1107
alto hospicio,sí en otra época del año,aymara,hombre,231,2013,1107
alto hospicio,no,diaguita,mujer,173,2013,1107
alto hospicio,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,1217,2013,1107
