0,Comuna,Trabajo,Etnia,Sexo,Freq,anio,codigo
1,algarrobo,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,144,2009,5602
2,algarrobo,no,mapuche,mujer,239,2009,5602
3,algarrobo,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,36,2009,5602
4,algarrobo,no,no pertenece a ningún pueblo indígena,mujer,2190,2009,5602
5,algarrobo,sí ahora mismo,mapuche,mujer,14,2009,5602
6,algarrobo,no,mapuche,hombre,59,2009,5602
7,algarrobo,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,83,2009,5602
8,algarrobo,no,no pertenece a ningún pueblo indígena,hombre,1183,2009,5602
9,alhué,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,12,2009,13502
10,alhué,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,63,2009,13502
11,alhué,no,no pertenece a ningún pueblo indígena,mujer,995,2009,13502
12,alhué,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,92,2009,13502
13,alhué,sí ahora mismo,mapuche,mujer,4,2009,13502
14,alhué,no,no pertenece a ningún pueblo indígena,hombre,555,2009,13502
15,alhué,sí ahora mismo,aymara,mujer,6,2009,13502
16,alhué,no,mapuche,mujer,5,2009,13502
17,alhué,sí ahora mismo,mapuche,hombre,4,2009,13502
18,alhué,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,68,2009,13502
19,alhué,no,mapuche,hombre,5,2009,13502
20,alto bío bío,sí en otra época del año,mapuche,mujer,137,2009,8314
21,alto bío bío,no,no pertenece a ningún pueblo indígena,hombre,406,2009,8314
22,alto bío bío,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,74,2009,8314
23,alto bío bío,no,mapuche,hombre,1115,2009,8314
24,alto bío bío,no,no pertenece a ningún pueblo indígena,mujer,522,2009,8314
25,alto bío bío,sí ahora mismo,mapuche,mujer,379,2009,8314
26,alto bío bío,sí ahora mismo,mapuche,hombre,587,2009,8314
27,alto bío bío,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,30,2009,8314
28,alto bío bío,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,157,2009,8314
29,alto bío bío,sí en otra época del año,mapuche,hombre,108,2009,8314
30,alto bío bío,no,mapuche,mujer,1950,2009,8314
31,alto del carmen,no,no pertenece a ningún pueblo indígena,mujer,839,2009,3302
32,alto del carmen,sí ahora mismo,diaguita,mujer,8,2009,3302
33,alto del carmen,sí en otra época del año,diaguita,mujer,8,2009,3302
34,alto del carmen,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,19,2009,3302
35,alto del carmen,no,no pertenece a ningún pueblo indígena,hombre,383,2009,3302
36,alto del carmen,sí ahora mismo,no pertenece a ningún pueblo indígena,hombre,8,2009,3302
37,alto del carmen,no,diaguita,hombre,85,2009,3302
38,alto del carmen,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,30,2009,3302
39,alto del carmen,no,kawésqar,mujer,18,2009,3302
40,alto del carmen,sí en otra época del año,no pertenece a ningún pueblo indígena,mujer,68,2009,3302
41,alto del carmen,no,aymara,mujer,8,2009,3302
42,alto del carmen,no,diaguita,mujer,357,2009,3302
43,alto hospicio,no,aymara,mujer,2483,2009,1107
44,alto hospicio,sí en otra época del año,no pertenece a ningún pueblo indígena,hombre,263,2009,1107
45,alto hospicio,no,no pertenece a ningún pueblo indígena,hombre,6288,2009,1107
46,alto hospicio,sí ahora mismo,no pertenece a ningún pueblo indígena,mujer,618,2009,1107
47,alto hospicio,sí en otra época del año,aymara,hombre,110,2009,1107
48,alto hospicio,no,quechua,mujer,178,2009,1107
49,alto hospicio,no,mapuche,hombre,338,2009,1107
50,alto hospicio,sí en otra época del año,aymara,mujer,165,2009,1107
51,alto hospicio,no,no pertenece a ningún pueblo indígena,mujer,14249,2009,1107
52,alto hospicio,no,mapuche,mujer,687,2009,1107
53,alto hospicio,no,rapa nui ,mujer,378,2009,1107
54,alto hospicio,no,aymara,hombre,876,2009,1107
